SportType,HostCountry,ProCyclingStatsRaceId,StartLocation,EndLocation
1,6,255970.0,10,16
1,10,279691.0,80,3
1,10,292879.0,6,65
1,9,,20,50
1,3,,21,48
1,7,248680.0,79,74
1,4,221199.0,32,25
1,6,279914.0,43,42
1,1,112373.0,19,34
1,6,247691.0,77,76
1,6,292959.0,76,69
1,12,280391.0,18,54
1,12,219691.0,65,2
1,11,256487.0,48,40
1,6,,46,45
1,12,280384.0,18,67
1,16,247127.0,1,37
1,6,256784.0,53,78
1,11,,102,39
1,2,171131.0,60,51
1,0,247118.0,29,80
1,0,170978.0,96,0
1,10,279684.0,90,65
1,6,248708.0,17,71
1,11,,100,11
1,6,296693.0,77,76
1,8,163621.0,51,10
1,6,247694.0,28,28
1,12,219692.0,94,54
1,0,138997.0,63,0
1,6,164920.0,12,71
1,6,247209.0,4,1
1,13,113241.0,82,70
1,0,170975.0,64,15
1,11,247272.0,98,11
1,6,263308.0,5,73
1,10,292881.0,24,83
1,1,163622.0,56,34
1,6,293121.0,63,53
1,6,256196.0,67,29
1,2,113420.0,73,63
1,11,268324.0,41,60
1,3,269592.0,7,6
1,0,209887.0,96,7
1,0,180492.0,58,81
1,6,248726.0,85,8
1,6,164927.0,81,78
1,6,173972.0,12,71
1,3,270405.0,97,44
1,2,163627.0,74,64
1,3,164267.0,44,23
1,12,280387.0,47,38
1,0,247120.0,91,81
1,4,221198.0,22,25
1,0,247117.0,64,52
1,9,,62,19
1,6,247693.0,26,28
1,6,247133.0,86,75
1,6,263313.0,5,14
1,6,296695.0,13,12
1,6,279760.0,42,41
1,14,181399.0,31,43
1,11,247273.0,15,13
1,6,269704.0,42,41
1,10,292885.0,54,3
1,11,210032.0,40,13
1,12,219689.0,57,18
1,0,170976.0,58,81
0,6,264764.0,70,58
1,2,279365.0,73,63
1,11,268325.0,45,72
1,2,210069.0,74,64
1,5,293411.0,14,27
1,11,256483.0,92,13
1,6,256763.0,17,71
1,7,248681.0,78,21
1,15,182073.0,39,36
1,3,116758.0,34,19
1,7,281046.0,50,47
1,11,,89,40
1,6,296699.0,69,28
1,14,181403.0,8,9
1,15,175427.0,3,36
1,6,221333.0,12,71
1,4,221196.0,55,32
1,1,171017.0,11,34
1,6,,68,57
0,6,,68,57
1,0,180491.0,64,79
1,12,219693.0,47,54
1,6,269800.0,43,42
1,11,256482.0,84,68
1,11,247277.0,87,40
1,0,247116.0,96,56
1,7,281039.0,50,47
1,16,247126.0,101,24
1,11,162766.0,99,40
1,11,,93,13
1,0,209890.0,0,81
1,7,281042.0,72,62
1,11,268329.0,38,40
1,16,168928.0,52,82
1,12,219688.0,47,67
1,12,280386.0,30,59
1,6,269773.0,77,17
1,10,279686.0,35,83
1,5,293415.0,36,61
1,2,210070.0,60,51
1,14,181368.0,49,46
1,13,256404.0,82,70
1,14,181404.0,27,9
1,5,293410.0,37,31
1,6,181998.0,70,58
1,14,181400.0,25,30
1,16,247125.0,2,37
1,0,163235.0,96,77
1,15,,16,36
1,6,296694.0,77,66
1,2,268441.0,74,64
1,6,172455.0,83,22
1,10,292880.0,61,4
1,6,112714.0,33,49
1,2,181954.0,60,51
1,13,279947.0,23,26
1,2,268474.0,60,51
1,12,280385.0,103,55
1,7,248679.0,75,33
1,6,247692.0,77,66
1,12,256161.0,71,54
1,16,252342.0,66,5
1,12,219690.0,103,35
1,14,256222.0,49,46
1,5,293412.0,88,61
1,6,164252.0,42,41
1,6,255991.0,95,49
1,7,248682.0,59,47
1,11,,40,40
1,6,247359.0,9,20
1,7,248678.0,50,47
