SportType,StageLabel,HostCountry,StageDistanceKm,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,GeneralClassificationLeader,StageDescription
1,71,1,194.2,279127.0,25,8,48,27,51,36,26,,31,8
1,17,7,720.1,270574.0,33,14,32,15,28,61,6,,21,7
1,39,2,201.6,279365.0,44,6,5,27,50,50,25,,2,7
0,47,11,152.5,279218.0,36,26,14,22,32,41,48,4.0,5,6
1,24,4,,270344.0,11,16,16,14,36,61,8,,7,7
1,27,4,128.9,270343.0,42,26,4,13,67,17,35,3.0,7,6
1,2,9,,255955.0,14,19,12,4,19,61,2,,4,7
1,40,1,258.1,279128.0,43,9,42,27,52,37,27,,28,0
1,38,2,221.4,279366.0,37,5,1,27,49,51,24,,0,7
1,25,4,150.9,270341.0,11,27,18,13,17,15,66,1.0,10,6
0,46,11,143.8,279217.0,58,26,32,22,31,40,47,3.0,21,6
1,70,3,188.4,256463.0,26,23,9,0,66,6,64,4.0,28,6
1,53,10,193.8,279115.0,64,26,20,24,38,32,52,2.0,8,6
1,6,12,170.0,255450.0,22,26,21,2,2,2,13,5.0,31,6
1,12,5,148.9,270459.0,21,25,1,7,8,21,21,3.0,0,1
1,20,7,26.1,270570.0,45,24,32,11,13,24,32,4.0,21,10
1,14,4,,,57,13,35,14,25,61,5,,24,7
1,18,7,163.4,270568.0,30,23,31,11,11,22,30,2.0,32,10
1,29,10,171.0,268294.0,51,27,33,18,21,9,66,1.0,22,6
1,0,3,,256465.0,56,3,41,4,4,61,0,,28,7
1,49,11,183.5,279221.0,62,25,42,22,34,43,50,7.0,21,6
1,8,10,224.8,268330.0,50,2,42,17,22,14,4,,28,7
1,9,3,12.2,270408.0,6,24,27,6,5,18,18,2.0,17,6
0,45,11,173.7,279216.0,8,27,7,22,30,39,46,2.0,30,6
1,73,4,180.6,269637.0,5,23,8,10,69,8,68,2.0,6,6
1,56,4,,279680.0,7,28,37,25,64,61,38,,26,2
1,1,4,,256402.0,41,16,34,3,16,61,1,,23,7
1,72,4,151.8,269636.0,28,27,11,10,68,7,67,1.0,6,6
1,5,12,166.0,255448.0,1,26,48,2,1,1,12,3.0,31,6
1,13,6,195.0,268395.0,10,27,29,8,9,10,66,1.0,19,9
1,22,1,174.44,271561.0,59,23,23,12,14,12,66,1.0,13,6
1,69,3,219.2,256462.0,61,23,42,0,65,5,63,3.0,28,6
1,55,10,165.9,279118.0,4,26,46,24,40,34,54,5.0,11,6
1,7,12,168.0,255451.0,40,27,45,2,3,3,14,6.0,31,6
1,65,10,10.0,290137.0,27,24,39,30,60,57,66,1.0,27,6
1,21,1,,271568.0,59,15,43,15,35,61,7,,29,7
1,60,4,165.9,292910.0,23,1,22,31,67,52,42,24.0,12,7
1,58,4,147.5,,47,23,32,28,42,27,56,4.0,21,6
1,68,10,175.9,290141.0,65,25,44,30,63,60,62,5.0,21,6
1,57,4,162.18,,7,27,5,28,67,26,55,1.0,2,6
1,28,0,266.9,272199.0,24,22,42,16,41,25,15,,28,7
1,32,3,,280812.0,0,3,26,26,45,61,17,,16,7
0,44,11,12.7,279215.0,15,24,47,22,29,38,66,1.0,30,6
1,19,7,188.4,270569.0,46,23,0,11,12,23,31,3.0,32,10
1,30,8,253.6,279124.0,34,0,48,27,43,35,16,,31,4
1,31,3,211.0,288582.0,0,11,32,19,44,44,66,,21,6
1,66,4,190.9,290139.0,17,25,40,30,61,58,60,3.0,27,6
1,61,4,177.6,290082.0,60,27,6,29,54,54,57,2.0,15,6
1,23,1,200.89,271564.0,13,27,10,12,15,13,33,4.0,29,6
1,51,4,179.0,,35,23,32,23,37,28,51,2.0,14,6
1,43,4,181.8,279258.0,12,27,19,21,27,46,45,4.0,0,6
1,41,13,196.9,280963.0,55,10,32,26,53,49,28,,21,7
1,50,4,515.0,279728.0,48,18,24,25,58,61,36,,14,3
1,26,4,142.5,270342.0,49,25,16,13,18,16,34,2.0,7,6
1,59,4,189.0,292911.0,66,7,28,31,67,53,41,,18,7
1,36,4,168.5,279753.0,23,1,23,26,47,29,22,,13,7
1,52,10,,279121.0,65,20,21,27,59,61,37,,11,7
1,48,11,211.0,279219.0,20,26,22,22,33,42,49,5.0,21,6
1,15,4,188.7,,52,26,35,9,10,11,29,3.0,24,6
1,42,10,193.5,279257.0,4,27,19,21,26,45,44,3.0,0,6
1,3,12,,255453.0,2,21,48,5,20,61,3,,31,7
1,34,3,178.4,280808.0,31,27,13,20,24,48,40,4.0,21,6
1,11,3,167.3,270410.0,54,27,19,6,7,20,20,4.0,17,6
1,4,12,13.0,255447.0,3,24,15,2,0,0,11,2.0,31,6
1,16,4,,269642.0,9,17,36,15,57,61,10,,25,7
1,62,4,198.2,290086.0,53,25,32,29,55,55,58,6.0,3,6
1,37,10,203.0,279947.0,18,4,17,26,48,31,23,,9,7
1,63,4,104.0,290087.0,38,26,2,29,56,56,59,7.0,3,6
1,64,4,,290096.0,32,12,30,32,67,61,43,,20,5
1,10,3,239.3,270409.0,39,27,38,6,6,19,19,3.0,17,6
1,35,4,191.5,279754.0,66,7,3,26,46,30,65,,1,7
1,54,10,153.9,279116.0,16,25,21,24,39,33,53,3.0,11,6
1,74,4,124.01,256401.0,29,25,34,1,67,4,9,3.0,23,6
1,67,10,157.5,290140.0,19,25,25,30,62,59,61,4.0,21,6
1,33,3,209.0,280807.0,63,23,32,20,23,47,39,3.0,21,6
