SportType,StageLabel,HostCountry,StageDistanceKm,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,GeneralClassificationLeader,StageDescription
1,6,4,196.3,164923.0,21,4,23,4,6,4,6,,18,6
1,15,11,180.0,,12,20,19,9,11,13,17,3.0,5,5
1,7,0,200.4,164914.0,6,9,9,4,7,3,7,,6,2
1,30,3,195.0,268395.0,8,20,20,17,27,24,35,1.0,15,7
1,5,1,878.3,150655.0,33,0,5,2,5,37,5,,3,6
1,27,1,12.2,270408.0,2,18,18,16,24,26,27,2.0,14,2
1,13,11,167.0,,12,20,6,9,9,11,35,1.0,4,3
1,35,1,178.4,280808.0,17,20,8,21,29,36,30,4.0,16,2
1,24,4,198.0,247145.0,9,20,26,15,22,22,23,2.0,21,2
1,39,8,186.3,279710.0,27,19,17,25,34,32,33,2.0,13,2
1,10,12,185.9,170971.0,32,5,1,8,14,8,10,,0,6
1,8,9,257.5,172294.0,11,16,27,5,8,5,8,,22,6
1,42,5,169.8,171098.0,7,20,27,6,38,9,35,1.0,22,0
1,22,4,291.0,209918.0,20,7,15,14,21,21,19,,11,6
1,26,1,222.6,270407.0,18,20,25,16,23,25,35,1.0,20,2
1,14,11,190.0,,12,20,7,9,10,12,16,2.0,4,4
1,9,0,198.3,170951.0,15,8,13,8,13,7,9,,10,6
1,0,1,837.0,133071.0,29,0,31,0,0,37,0,,25,6
1,38,2,32.2,279073.0,10,21,0,22,32,35,32,3.0,13,2
1,16,11,172.0,,12,17,29,9,12,14,18,4.0,5,1
1,23,7,156.5,218509.0,28,17,2,13,20,20,22,2.0,0,2
1,31,10,165.0,269684.0,22,20,17,18,40,23,35,1.0,13,2
1,20,12,181.0,,24,17,21,10,16,19,21,3.0,13,8
1,37,2,163.7,279072.0,4,20,16,22,31,34,31,2.0,12,2
1,4,5,196.0,,13,15,22,1,4,1,4,,17,6
1,17,0,180.5,180813.0,25,2,32,12,39,16,13,,26,6
1,3,6,877.0,138833.0,5,12,1,1,3,37,3,,0,2
1,32,13,196.9,270514.0,31,6,28,20,30,29,25,,23,6
1,29,1,167.3,270410.0,30,20,14,16,26,28,29,4.0,14,2
1,25,1,,270414.0,18,0,4,20,28,37,24,,2,6
1,12,11,841.0,180567.0,12,1,7,11,40,37,12,,5,6
1,34,1,,280812.0,0,0,16,24,36,37,26,,12,6
1,41,11,147.0,168924.0,19,20,11,3,40,6,35,1.0,8,2
1,21,0,264.7,180844.0,1,13,24,12,19,17,15,,19,6
1,11,6,267.5,179734.0,26,16,27,7,17,10,11,,22,6
1,36,8,190.0,279692.0,34,3,3,23,37,31,35,,1,2
1,18,4,291.0,180735.0,20,7,30,12,18,15,14,,24,6
1,1,6,175.3,119991.0,16,11,10,0,1,0,1,,7,2
0,33,4,194.1,,35,14,12,19,33,30,35,,9,2
1,2,6,173.9,138490.0,16,10,17,1,2,2,2,,13,2
1,19,12,149.0,,3,17,17,10,15,18,20,2.0,13,8
1,40,8,203.1,279711.0,14,20,17,25,35,33,34,3.0,13,2
1,28,1,239.3,270409.0,23,20,25,16,25,27,28,3.0,14,2
