GeneInstanceType,GeneDescription,GenomicEndPosition,GeneLabel,GeneDbId,EncodedProtein,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,16460955,206,213,6,16457260,0,9
0,0,138161,112,119,22,134502,0,6
0,0,203930,61,66,19,200193,0,5
0,0,4553753,0,46,6,4549992,0,5
0,0,4840,6,0,27,914,1,0
0,0,9779285,169,176,6,9775560,0,7
0,0,334096,65,70,19,330365,0,5
0,0,3840387,81,88,19,3836677,0,6
0,0,1195742,5,53,1,1191876,1,5
0,0,8918600,165,172,6,8914875,0,7
0,0,1910663,196,203,19,1906803,0,9
0,0,1668281,32,29,19,1666599,0,5
0,0,2060217,118,125,31,2056039,0,6
0,0,4813930,136,143,6,4810370,0,7
0,0,65541,105,112,19,61918,1,6
0,0,2103880,123,130,6,2100152,0,6
0,0,10591984,174,181,7,10589706,0,7
0,0,4340768,39,36,19,4339005,0,5
0,0,83566,50,55,32,79856,1,5
0,0,20151480,207,214,20,20150096,1,9
0,0,11683010,175,182,7,11680997,0,7
0,0,44719,18,19,27,40601,1,4
1,0,11229,109,116,17,7763,1,6
0,0,239685,16,17,12,237098,0,4
0,0,4000548,147,154,6,3997084,1,7
0,0,2481188,79,85,19,2479680,0,5
0,0,12013049,177,184,6,12009273,1,7
0,0,12740701,179,186,6,12737024,0,7
0,0,338864,66,71,19,335124,0,5
0,0,10244238,172,179,6,10240936,1,7
0,0,3815,84,91,4,90,1,6
0,0,628721,43,41,19,624993,1,5
0,0,47239,9,3,29,43805,1,0
0,0,4278879,148,155,6,4275136,1,7
0,0,4939976,151,158,6,4936233,1,7
0,0,154797,58,63,19,150979,0,5
0,0,587534,130,137,33,585909,0,8
0,0,4522804,40,37,19,4521833,0,5
0,0,9462057,166,173,6,9458497,1,7
0,0,27954,107,114,19,24217,0,6
0,0,279004,124,131,32,275159,0,8
0,0,1147490,101,108,26,1145631,1,6
0,0,7120666,157,164,6,7119032,0,7
1,0,1139483,98,105,21,1135756,1,6
0,0,5598267,152,159,6,5595391,0,7
0,0,1143911,99,106,19,1140042,1,6
0,0,583704,129,136,32,582196,0,8
0,0,1703058,33,30,19,1701376,1,5
0,0,3105,104,111,24,838,1,6
0,0,4513,26,23,32,785,0,5
0,0,990197,94,101,19,986493,1,6
0,0,4293498,38,35,19,4292311,1,5
0,0,1152291,102,109,15,1148608,1,6
0,0,1678839,88,95,15,1675105,1,6
0,0,2259949,192,199,7,2258465,1,7
0,0,77533,19,20,29,73331,1,4
0,0,422887,103,110,19,419138,1,6
0,0,3622347,85,92,19,3618703,0,6
0,0,5954817,154,161,6,5951374,1,7
0,0,15794397,187,194,7,15790722,0,7
0,0,2626786,37,34,19,2624759,0,5
0,0,1698923,113,120,19,1695120,1,6
0,0,129819,57,62,19,126013,1,5
0,0,16013824,188,195,6,16010084,1,7
0,0,10462169,173,180,6,10459962,1,7
0,0,278985,131,138,32,276142,0,8
0,0,4527437,87,94,5,4523676,0,6
0,0,39991,8,2,33,37926,1,0
0,0,78806,22,14,29,75012,1,3
0,0,209762,106,113,19,205917,0,6
0,0,2452752,4,86,13,2449024,0,5
0,0,3071,191,198,7,1,1,7
0,0,6072691,155,162,6,6068918,1,7
0,0,1313993,31,28,34,1312530,0,5
0,0,2385281,141,148,7,2382667,0,7
0,0,3663817,3,42,11,3660173,0,5
0,0,5949017,153,160,7,5946681,1,7
0,0,1171908,5,49,1,1168174,1,5
0,0,324588,63,68,19,320857,0,5
0,0,89469,56,61,19,85705,0,5
0,0,95167,128,135,32,91325,0,8
0,0,3058427,80,87,19,3054798,0,6
0,0,2318413,75,81,19,2314616,0,5
0,0,72448,17,18,27,68270,1,4
0,0,15575977,182,189,6,15572300,0,7
0,0,7376461,159,166,7,7374150,0,7
0,0,1643702,69,74,19,1639890,1,5
0,0,1066754,209,216,22,1065571,1,9
0,0,7007346,156,163,6,7005166,1,7
0,0,2216609,122,129,19,2212887,0,6
0,0,45538,54,59,19,41732,0,5
0,0,62173,22,9,29,61124,1,2
0,0,3879497,82,89,6,3875733,0,6
0,0,3998549,212,219,9,3996303,0,9
0,0,47179,24,21,19,43448,0,5
0,0,651422,195,202,19,647718,1,9
0,0,970358,91,98,15,968556,1,6
0,0,15188591,181,188,7,15186471,1,7
0,0,95588,125,132,32,91746,0,8
0,0,933349,89,96,19,929525,0,6
0,0,329342,64,69,19,325611,0,5
0,0,333473,27,24,0,329763,1,5
0,0,2401,134,141,6,65,1,7
0,0,9582610,168,175,6,9579467,1,7
0,0,3049087,143,150,7,3047831,0,7
0,0,1021293,48,48,19,1017589,1,5
0,0,50499,13,8,32,46531,1,2
0,0,660379,132,139,32,656534,1,8
0,0,75831,55,60,19,72196,1,5
0,0,7124284,158,165,7,7121353,0,7
0,0,64291,14,12,32,60047,1,3
0,0,128558,110,117,22,125670,0,6
0,0,166154,60,65,19,162348,0,5
0,0,3579565,145,152,7,3578197,1,7
0,0,820521,139,146,6,819496,1,7
0,0,4285337,150,157,6,4284348,1,7
0,0,36414,10,5,28,33385,1,1
0,0,577054,83,90,19,573326,1,6
0,0,388457,28,25,19,386850,1,5
0,0,2071573,121,128,23,2069770,0,6
0,0,1705473,114,121,19,1701874,1,6
0,0,53020,22,4,29,48803,1,0
1,0,431084,194,201,25,427217,1,9
0,0,1849714,34,31,19,1845908,1,5
0,0,2296751,211,218,9,2295359,0,9
0,0,1309324,30,27,19,1307483,0,5
0,0,2151123,1,76,11,2147506,1,5
0,0,9578594,167,174,7,9577091,1,7
0,0,972317,190,197,6,970326,1,7
0,1,1637142,68,73,19,1633333,1,5
0,0,132277,111,118,19,129494,0,6
0,0,15710916,185,192,6,15707113,0,7
0,0,4312155,135,142,6,4308352,0,7
0,0,1402028,52,57,19,1398297,0,5
0,0,1049774,208,215,22,1047327,1,9
0,0,15790203,186,193,6,15786472,0,7
0,0,35572,46,45,19,31850,1,5
0,0,1630586,67,72,19,1626783,1,5
0,0,10008881,171,178,7,10006623,0,7
0,0,7732801,202,209,19,7728989,0,9
0,0,2191903,71,77,19,2188100,0,5
0,0,63847,15,16,32,59612,1,4
0,0,2186645,210,217,6,2182830,0,9
0,0,2804198,198,205,22,2802744,1,9
0,0,726058,138,145,6,722345,1,7
0,0,1657273,70,75,19,1653761,1,5
0,0,431513,86,93,15,427800,0,6
0,0,7801604,163,170,6,7797783,1,7
0,0,9357129,203,210,19,9353467,0,9
0,0,52090,20,13,27,47957,1,3
0,0,1124935,95,102,15,1121207,1,6
0,0,2332044,77,83,19,2328241,0,5
0,0,2065035,119,126,19,2061388,0,6
0,0,53721,25,22,19,49990,0,5
0,0,652903,126,133,32,648881,1,8
0,0,985033,93,100,24,981335,1,6
0,0,2307206,73,79,19,2303436,0,5
0,0,1908029,140,147,7,1905427,0,7
0,0,28839,44,43,14,25132,1,5
0,0,11959711,176,183,7,11956169,0,7
0,0,319829,62,67,19,316098,0,5
0,0,4004773,199,206,20,4003152,0,9
0,0,91293,23,15,29,86278,1,3
0,0,3620418,146,153,6,3616747,1,7
0,0,10005750,170,177,6,10002838,0,7
0,0,9382536,204,211,10,9381414,1,9
0,0,1145528,100,107,26,1144470,1,6
1,0,5331246,41,38,17,5328981,0,5
0,0,447807,45,44,20,446937,0,5
0,0,2191719,115,122,15,2188102,1,6
0,0,2327068,76,82,19,2323274,0,5
1,0,159443,59,64,18,155850,0,5
0,0,977090,47,47,11,973266,0,5
0,0,1181603,5,51,1,1177872,1,5
0,0,3942314,42,40,19,3938604,0,5
1,0,1176752,49,50,2,1173039,1,5
0,0,1957169,117,124,19,1953366,0,6
0,0,1200116,5,54,1,1196301,1,5
1,0,2449393,142,149,8,2446677,1,7
0,0,1966167,36,33,19,1963411,1,5
0,0,62145,12,7,29,61864,1,1
0,0,2069666,120,127,22,2066351,0,6
0,0,2308247,197,204,7,2307577,0,9
0,0,765769,133,140,32,764270,0,8
