Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Twitter_Username,Birth_Place,Uci_Rider_Id,Profile_Description,Weight_Kg,Birth_Date,Sports_Team,Olympedia_People_Id,Last_Name,First_Name,Citizenship_Country,Cycling_Archives_Cyclist_Id,Languages_Spoken,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Sport_Country
1,8,43387.0,14321.0,6,6,,140505.0,6,2,9,422366.0,15,60.0,3,11,133661.0,5,8,10,24864.0,0,2977.0,173.0,6,7
1,7,,,5,10,,240119.0,5,2,16,486724.0,14,,16,5,,1,5,10,156117.0,0,114756.0,,8,4
1,14,57472.0,21342.0,9,11,317302.0,178184.0,13,3,2,91656.0,6,62.0,7,1,142266.0,10,13,2,66785.0,4,23097.0,170.0,8,1
1,3,8760.0,4179.0,7,0,42225.0,140749.0,0,1,13,32691.0,10,78.0,2,2,121169.0,6,0,6,19407.0,4,406.0,181.0,3,4
1,0,7764.0,1237.0,4,3,41367.0,140800.0,3,9,3,29164.0,13,70.0,0,13,120395.0,4,3,9,10911.0,1,706.0,183.0,4,6
1,10,,25466.0,0,10,,194533.0,11,2,12,748934.0,16,,9,3,,9,11,12,76413.0,7,35382.0,,8,4
1,4,62259.0,24110.0,2,1,1447.0,181212.0,1,0,0,250807.0,9,,10,4,,11,1,3,94988.0,2,27301.0,184.0,8,4
1,12,75411.0,,0,4,,202698.0,4,2,10,153299.0,11,,14,8,,10,4,7,122391.0,5,65580.0,,8,4
1,15,66570.0,27708.0,11,13,,202331.0,15,5,6,109775.0,3,58.0,13,16,143137.0,12,15,11,119805.0,1,65025.0,170.0,8,8
1,5,22663.0,5789.0,3,2,1529344.0,140869.0,2,8,8,43936.0,4,69.0,1,7,126950.0,3,2,4,22017.0,3,713.0,186.0,2,2
0,9,48143.0,21971.0,8,8,205449.0,168754.0,10,10,4,79462.0,5,,8,0,145562.0,14,10,5,64280.0,4,16672.0,184.0,7,3
1,13,,29801.0,12,10,,207940.0,16,2,15,163583.0,2,,15,10,,10,16,1,118504.0,4,75468.0,,8,4
1,11,38259.0,13066.0,0,9,26443.0,140384.0,12,7,1,62919.0,1,72.0,4,14,,7,12,0,39964.0,1,2211.0,178.0,5,0
1,1,46381.0,18610.0,1,7,77168.0,137427.0,9,6,11,71557.0,8,62.0,5,12,133837.0,0,9,3,63999.0,2,12474.0,173.0,0,4
1,2,69634.0,26526.0,10,12,5000.0,194619.0,14,4,5,149727.0,12,66.0,12,9,146565.0,13,14,8,115790.0,6,45992.0,176.0,8,5
1,10,72506.0,26775.0,0,10,,207051.0,8,2,14,,7,56.0,11,6,,2,7,2,132960.0,4,68868.0,164.0,8,1
1,6,43348.0,18287.0,0,5,,137562.0,7,2,7,68745.0,0,,6,15,1302744.0,8,6,0,61619.0,1,4778.0,174.0,1,4
