Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Twitter_Username,Birth_Place,Uci_Rider_Id,Profile_Description,Weight_Kg,Birth_Date,Sports_Team,Olympedia_People_Id,Last_Name,First_Name,Citizenship_Country,Cycling_Archives_Cyclist_Id,Languages_Spoken,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Sport_Country
0,3,69634.0,26526,6,9,5000.0,194619,9,2,5,149727,10,66.0,10,5,146565.0,7,9,5,115790,4,45992,176.0,6,6
0,10,51513.0,17627,7,10,69964.0,135523,10,3,3,78566,3,60.0,4,1,133843.0,1,10,1,60103,0,6104,183.0,5,1
0,0,57256.0,23463,5,8,,189196,5,1,6,89712,0,72.0,7,2,,6,5,0,72654,5,34624,180.0,2,0
1,6,41102.0,13411,0,2,,140510,2,1,8,65478,8,,2,9,,3,2,3,37695,2,6223,,1,4
0,8,17747.0,1992,0,3,35988.0,140399,3,4,7,31056,7,63.0,0,7,,9,3,3,11476,2,486,175.0,3,3
0,1,58206.0,20196,0,1,,161575,1,1,0,77425,6,63.0,5,0,,4,1,3,73120,2,20466,172.0,6,3
0,4,19249.0,4898,0,0,,140156,0,1,9,30344,1,63.0,1,2,,8,0,0,17293,5,7760,178.0,0,0
0,9,58116.0,22910,4,7,15237.0,170625,8,7,2,99713,2,78.0,9,3,142862.0,6,8,1,81488,0,27111,186.0,6,4
0,5,61640.0,21812,2,4,10093.0,170183,4,5,1,97091,5,58.0,8,4,144171.0,2,4,3,91127,2,20384,176.0,6,3
0,2,43386.0,14310,3,6,35954.0,140509,7,6,10,53804,9,62.0,3,6,135495.0,5,7,4,36343,3,3991,173.0,4,5
0,7,56436.0,20917,1,5,5649.0,156570,6,0,4,77380,4,78.0,6,8,,0,6,2,71706,1,9746,180.0,6,2
