GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,GenomicStartPosition,StrandOrientation,HostTaxon
0,12460992,117,117,13,39,12457699,0,4
0,21664027,170,170,13,38,21662360,1,4
1,14716347,126,126,13,41,14714348,1,4
1,24261916,182,182,13,22,24259394,0,4
0,16959828,143,143,13,38,16958119,1,4
0,22507853,175,175,13,23,22506750,0,4
0,5694837,86,86,13,38,5693386,0,4
1,4347332,75,75,13,32,4345470,0,4
0,19111241,156,156,13,38,19109871,1,4
0,189059,56,56,13,38,186996,1,4
0,7321944,29,29,1,43,7320766,1,3
0,5535594,82,82,13,38,5533789,1,4
0,16126477,136,136,13,20,16125630,0,4
0,16125431,135,135,13,19,16124496,0,4
0,6407978,88,88,13,19,6406782,1,4
0,22866651,177,177,13,39,22865183,1,4
1,6962,185,185,10,25,4240,1,4
0,22420594,174,174,13,38,22418891,0,4
0,6622485,89,89,13,19,6621288,0,4
0,517377,186,186,11,23,516034,0,4
0,740910,58,58,13,38,739147,1,4
0,4478317,21,21,1,43,4476602,1,3
0,6623857,90,90,13,20,6622859,0,4
0,8304208,99,99,13,26,8302604,1,4
0,1163943,62,62,13,20,1162260,1,4
1,166610,3,3,2,34,159343,0,1
0,12044915,45,45,1,44,12043926,0,3
0,7085743,95,95,13,19,7084628,1,4
1,11814846,113,113,13,21,11812601,0,4
0,14246569,121,121,13,38,14244689,0,4
0,15525233,53,53,1,0,15523344,0,3
0,10367781,108,108,13,38,10366297,1,4
0,19353997,157,157,13,19,19353143,1,4
0,11228364,111,111,13,20,11227465,1,4
0,4821949,22,22,1,3,4818629,0,3
0,802447,11,11,7,19,797690,1,2
0,6404545,26,26,1,2,6402818,0,3
0,3890743,20,20,1,5,3888761,1,3
0,7536063,33,33,1,44,7534078,1,3
0,4110404,74,74,13,36,4109244,0,4
0,6917763,94,94,13,20,6916226,1,4
0,14417657,125,125,13,19,14416290,0,4
0,10471813,41,41,1,6,10470053,1,3
0,17169188,145,145,13,38,17167599,1,4
0,17204565,146,146,13,38,17202847,1,4
0,901193,59,59,13,23,900303,0,4
0,7485958,32,32,1,11,7483058,0,3
0,4986283,79,79,13,20,4984864,1,4
0,11930294,114,114,13,38,11928846,1,4
0,1138017,61,61,13,20,1136944,0,4
0,11141122,110,110,13,20,11139777,0,4
0,3552202,18,18,1,12,3549812,0,3
0,14297622,122,122,13,38,14294152,1,4
0,16271105,138,138,13,35,16270171,1,4
0,19098062,155,155,13,19,19092804,1,4
0,1488889,8,8,3,18,1488146,1,1
0,720767,1,1,0,18,720270,1,0
1,954065,60,60,13,24,950709,1,4
0,8446783,36,36,1,10,8444390,0,3
0,4961093,78,78,13,20,4960051,0,4
1,6731177,91,91,13,25,6730012,0,4
0,11411332,112,112,13,20,11410333,0,4
0,15699505,132,132,13,19,15698438,1,4
1,2395872,70,70,13,41,2393881,0,4
