GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,GenomicStartPosition,StrandOrientation,HostTaxon
0,12460992,118,118,12,39,12457699,0,4
0,21664027,171,171,12,38,21662360,1,4
1,14716347,127,127,12,41,14714348,1,4
1,24261916,183,183,12,22,24259394,0,4
0,16959828,144,144,12,38,16958119,1,4
0,22507853,176,176,12,23,22506750,0,4
0,5808507,87,87,12,20,5806811,1,4
1,4686426,76,76,12,22,4684330,0,4
0,19111241,157,157,12,38,19109871,1,4
0,578294,57,57,12,38,576495,0,4
0,7321944,29,29,1,43,7320766,1,3
0,5564839,83,83,12,39,5563799,0,4
0,16126477,137,137,12,20,16125630,0,4
0,16125431,136,136,12,19,16124496,0,4
0,6496823,89,89,12,24,6495699,1,4
0,22866651,178,178,12,39,22865183,1,4
0,517377,186,186,10,23,516034,0,4
0,22420594,175,175,12,38,22418891,0,4
0,6623857,90,90,12,20,6622859,0,4
0,404271,187,187,11,20,403456,0,4
0,901193,59,59,12,23,900303,0,4
0,4478317,21,21,1,43,4476602,1,3
1,6731177,91,91,12,26,6730012,0,4
0,8345450,100,100,12,19,8343849,0,4
0,1190069,63,63,12,39,1189272,0,4
1,166610,3,3,2,34,159343,0,1
0,12044915,45,45,1,44,12043926,0,3
0,7308392,96,96,12,23,7307190,1,4
1,11814846,114,114,12,21,11812601,0,4
0,14246569,122,122,12,38,14244689,0,4
0,15526762,53,53,1,5,15525344,1,3
0,10367781,109,109,12,38,10366297,1,4
0,19353997,158,158,12,19,19353143,1,4
0,11228364,112,112,12,20,11227465,1,4
0,4821949,22,22,1,3,4818629,0,3
0,802447,11,11,7,19,797690,1,2
0,6404545,26,26,1,2,6402818,0,3
0,3890743,20,20,1,5,3888761,1,3
0,7536063,33,33,1,44,7534078,1,3
1,4347332,75,75,12,32,4345470,0,4
0,7085743,95,95,12,19,7084628,1,4
0,14417657,126,126,12,19,14416290,0,4
0,10471813,41,41,1,6,10470053,1,3
