GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,ChromosomeId,GenomicStartPosition,StrandOrientation
0,301826,242,242,2,90,31,299487,0
1,32772,97,97,1,118,4,29866,1
0,373899,29,29,2,27,5,371611,1
0,736453,77,77,3,72,23,733583,0
0,190552,79,79,2,51,21,188093,1
0,1516533,42,42,2,62,32,1514173,1
0,465591,161,161,2,114,15,462814,0
0,54199,32,32,2,47,58,51578,1
0,988200,206,206,2,35,23,985546,1
0,1062895,233,233,2,86,31,1060310,1
0,246580,86,86,2,6,19,243767,0
0,758419,44,44,2,22,22,756089,0
0,488327,202,202,3,23,23,485541,0
1,322020,236,236,1,94,19,319249,0
0,33755,27,27,2,56,44,30969,0
0,355891,244,244,2,118,6,353552,0
0,993191,43,43,2,62,32,990858,1
1,1150558,192,192,1,89,23,1147775,1
0,1152306,221,221,2,117,24,1149583,0
0,1161129,165,165,2,113,32,1158613,0
1,32977,215,215,1,116,85,30248,1
0,33431,26,26,2,99,55,30843,1
0,184674,6,6,2,96,12,182293,0
0,1757922,188,188,2,34,32,1755496,1
0,553480,173,173,3,66,1,550610,0
0,16153,30,30,2,47,56,13502,0
0,292921,245,245,2,121,6,290183,1
0,256062,178,178,2,123,5,253732,0
0,25495,49,49,2,99,61,22811,0
0,8691,195,195,2,30,78,6085,1
0,180436,212,212,2,45,11,177890,1
0,15222,211,211,2,8,82,12538,1
0,867065,116,116,2,72,23,864531,0
0,1966199,103,103,2,41,31,1963551,1
0,546874,142,142,2,107,15,544250,0
0,1024944,232,232,2,86,31,1022305,0
0,519004,251,251,2,75,7,516413,0
0,1176004,164,164,2,106,32,1173581,0
0,82609,137,137,3,43,19,79808,1
0,447956,176,176,2,65,24,445458,1
0,735391,128,128,2,74,31,733043,0
0,1102343,225,225,2,78,24,1099539,0
0,1314205,89,89,2,113,32,1311887,0
0,1034195,208,208,2,5,23,1031508,1
0,204433,61,61,2,46,14,201761,1
0,1800605,108,108,2,74,31,1797939,1
0,125132,80,80,2,48,4,122370,1
1,17633,22,22,1,65,53,14982,0
0,4209,121,121,2,68,69,1423,0
0,187941,231,231,2,38,5,185287,0
0,1065877,198,198,2,112,26,1063010,0
0,425184,135,135,2,54,16,422410,0
0,513629,257,257,3,83,15,510834,0
0,568671,172,172,2,2,32,566338,1
1,1123469,220,220,1,95,24,1120611,0
1,432436,158,158,1,62,15,429818,0
0,218715,54,54,2,71,17,215884,1
1,86749,152,152,1,69,3,84020,1
0,50888,151,151,2,52,20,48174,1
1,107074,254,254,1,73,2,104540,0
0,622377,40,40,2,10,31,620053,0
1,389747,163,163,1,130,15,387120,0
0,422008,200,200,2,33,17,419294,0
0,185153,24,24,2,132,27,182502,0
0,378614,162,162,2,88,15,375975,0
0,309384,110,110,2,123,5,306937,0
0,585607,81,81,2,121,6,583331,1
0,7162,20,20,2,47,51,4697,0
0,650434,38,38,3,39,14,647633,1
0,23290,217,217,2,74,50,20606,1
0,9867,59,59,2,99,63,7462,0
0,473501,201,201,3,124,23,470631,0
0,1713823,8,8,2,87,30,1711409,0
0,700388,15,15,2,108,15,697620,0
0,14845,46,46,3,51,60,11996,0
0,8092,213,213,2,44,83,5759,0
1,13979,197,197,1,0,80,11352,1
0,1053239,112,112,2,3,23,1050549,0
0,15062,85,85,2,47,66,12438,0
1,1100880,194,194,1,40,23,1098211,1
0,8115,171,171,3,46,49,5269,1
0,379418,169,169,2,52,34,376740,1
0,2047179,184,184,2,81,31,2044399,1
0,665447,72,72,3,23,23,662586,1
0,475012,141,141,2,115,7,472298,0
0,1324430,88,88,2,62,32,1322082,0
0,1156973,235,235,2,31,31,1154469,0
1,9580,196,196,1,39,79,6749,1
0,428427,87,87,3,84,20,425755,0
0,1096585,234,234,2,102,31,1093946,1
0,810651,168,168,2,126,22,808318,0
0,12594,150,150,2,47,76,9967,0
0,9089,216,216,2,24,85,6579,1
1,45075,124,124,1,26,72,42286,0
1,1611964,100,100,1,82,30,1609262,1
0,1828534,107,107,2,86,31,1825916,0
0,483376,96,96,2,109,24,480707,1
0,1865809,105,105,2,74,31,1862957,0
0,139709,253,253,2,91,1,138117,0
0,404584,118,118,2,93,22,402206,0
0,1731005,190,190,3,9,29,1728183,0
