GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,ChromosomeId,GenomicStartPosition,StrandOrientation
1,1662950,12,12,2,16,17,1661937,1
1,395492,78,78,2,8,7,394080,0
0,1957918,59,59,8,49,19,1956215,0
0,740372,21,21,9,21,15,739299,0
0,1356346,50,50,8,28,19,1354634,1
1,428550,45,45,2,40,6,427162,0
1,545819,20,20,23,24,15,544815,0
0,807440,73,73,16,35,13,806025,0
0,223767,43,43,20,29,4,222355,1
0,2350,4,4,13,5,25,965,0
1,503592,26,26,2,36,5,501994,1
0,96204,72,72,5,5,37,95182,1
1,2122182,1,1,2,11,19,2120788,1
1,440871,74,74,2,27,7,439477,0
1,373406,53,53,2,25,20,371496,1
0,375903,6,6,6,4,2,374896,1
0,2133734,57,57,1,0,18,2133172,1
1,1720929,30,30,23,2,17,1719919,0
0,802557,80,80,15,26,12,801154,0
1,464293,18,18,2,45,8,462872,1
1,461547,48,48,2,40,6,460189,0
0,406809,79,79,11,17,19,405529,0
0,432759,17,17,21,7,8,431323,0
0,489416,5,5,0,41,2,489063,0
1,603942,62,62,2,24,15,602953,1
0,649350,2,2,10,23,19,647746,1
0,1053526,27,27,17,12,19,1052240,1
0,434782,75,75,10,33,7,433358,0
1,587224,82,82,2,13,6,585836,0
1,6897,3,3,23,20,24,5479,0
0,421131,40,40,10,14,7,419701,0
1,1480218,10,10,2,52,19,1478512,1
1,1111176,70,70,23,13,16,1109698,0
1,385849,49,49,2,40,6,384458,0
1,413826,41,41,2,27,7,412408,0
1,5338,44,44,23,22,1,4406,1
1,472830,47,47,2,40,6,471442,0
1,190053,64,64,2,12,11,189334,0
1,120630,13,13,23,47,3,119065,0
0,3277,16,16,20,30,21,1805,0
0,488962,25,25,1,41,2,488378,0
0,445437,42,42,11,10,19,444157,0
1,401095,19,19,2,3,9,399644,0
0,5790,23,23,16,32,29,4375,1
1,17774,67,67,2,44,23,16488,1
0,1623870,29,29,10,42,17,1622425,0
0,1178108,71,71,17,3,16,1176633,0
0,1206373,52,52,0,10,19,1204937,0
0,915863,35,35,1,21,15,915636,0
0,10843,65,65,0,48,34,9875,1
0,2077637,31,31,10,38,18,2076276,0
0,161,66,66,1,37,35,3,1
0,4346,60,60,19,6,32,2898,0
1,411951,36,36,2,28,14,410611,0
1,1613551,58,58,2,22,18,1612028,0
1,486119,28,28,23,13,16,484647,1
0,21672,11,11,0,19,28,20227,1
0,848504,0,0,10,24,18,847224,1
0,1885991,14,14,12,28,19,1884423,1
0,224155,34,34,19,50,8,222680,1
0,42175,61,61,19,44,33,40730,0
0,1861827,33,33,13,9,18,1860490,0
1,2138530,56,56,2,22,18,2137184,1
1,6645,69,69,2,18,36,5179,1
1,21584,8,8,2,46,10,19890,1
0,452391,22,22,18,14,7,450994,0
0,129767,81,81,14,31,0,128835,0
0,1181813,55,55,0,43,17,1181490,1
0,384182,76,76,4,11,7,382887,0
0,407538,24,24,0,29,0,407386,1
0,406516,39,39,10,11,7,405110,0
1,19699,9,9,2,15,27,17999,0
1,1461,38,38,2,34,31,1,0
0,1673448,15,15,6,28,19,1672462,0
0,56906,7,7,18,51,26,55425,1
1,5370,63,63,2,44,22,3925,0
1,377047,77,77,2,39,7,375671,0
0,1876953,32,32,20,0,18,1875676,0
0,1345315,51,51,3,28,19,1343381,1
0,401051,46,46,0,1,6,400292,0
0,18574,37,37,1,7,30,17966,0
0,1142020,54,54,22,42,17,1140743,0
0,39044,68,68,7,8,36,37485,1
