Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Genomic_Start_Position
0,0,301826,242,242,0,299487
1,0,32772,97,97,1,29866
1,0,373899,29,29,0,371611
1,0,721934,74,74,0,719244
0,0,428427,87,87,0,425755
1,0,1516533,43,43,0,1514173
0,0,465591,162,162,0,462814
1,0,54199,32,32,0,51578
1,0,988200,207,207,0,985546
1,0,1062895,234,234,0,1060310
1,0,199898,36,36,1,197364
0,0,404584,119,119,0,402206
0,0,473501,203,203,0,470631
0,0,246580,86,86,0,243767
0,0,33755,27,27,0,30969
0,0,355891,244,244,0,353552
1,0,993191,44,44,0,990858
1,0,1150558,193,193,1,1147775
0,0,1152306,222,222,0,1149583
0,0,1161129,167,167,0,1158613
1,0,32977,216,216,1,30248
1,0,33431,26,26,0,30843
0,0,184674,6,6,0,182293
1,0,1757922,189,189,0,1755496
0,0,553480,174,174,0,550610
0,0,16153,30,30,0,13502
1,0,292921,245,245,0,290183
0,0,256062,179,179,0,253732
0,0,25495,50,50,0,22811
1,0,8691,196,196,0,6085
1,0,180436,213,213,0,177890
1,0,15222,212,212,0,12538
0,0,867065,116,116,0,864531
1,0,1966199,103,103,0,1963551
0,0,546874,143,143,0,544250
0,0,1024944,233,233,0,1022305
0,0,519004,251,251,0,516413
0,0,1176004,166,166,0,1173581
1,0,82609,138,138,0,79808
1,0,447956,177,177,0,445458
0,0,735391,129,129,0,733043
0,0,1102343,226,226,0,1099539
0,0,1314205,89,89,0,1311887
1,0,1034195,209,209,0,1031508
1,0,204433,62,62,0,201761
1,0,1800605,108,108,0,1797939
1,0,125132,80,80,0,122370
0,0,17633,22,22,1,14982
0,0,4209,122,122,0,1423
0,0,187941,232,232,0,185287
0,0,1065877,199,199,0,1063010
0,0,425184,136,136,0,422410
0,0,513629,257,257,0,510834
1,0,568671,173,173,0,566338
0,0,1123469,221,221,1,1120611
0,0,432436,159,159,1,429818
1,0,218715,55,55,0,215884
1,0,86749,153,153,1,84020
0,0,396102,69,69,1,393418
0,0,107074,254,254,1,104540
0,0,622377,41,41,0,620053
0,0,389747,164,164,1,387120
0,0,422008,201,201,0,419294
0,0,185153,24,24,0,182502
0,0,378614,163,163,0,375975
0,0,309384,110,110,0,306937
1,0,585607,81,81,0,583331
0,0,7162,20,20,0,4697
1,0,650434,39,39,0,647633
1,0,23290,218,218,0,20606
0,0,9867,60,60,0,7462
1,0,442799,202,202,1,439932
0,0,1713823,8,8,0,1711409
0,0,700388,15,15,0,697620
0,0,14845,47,47,0,11996
0,0,8092,214,214,0,5759
1,0,13979,198,198,1,11352
0,0,1053239,112,112,0,1050549
0,0,15062,85,85,0,12438
1,0,1100880,195,195,1,1098211
1,0,8115,172,172,0,5269
1,0,379418,170,170,0,376740
1,0,2047179,185,185,0,2044399
0,0,585177,205,205,0,582301
0,0,475012,142,142,0,472298
0,0,1324430,88,88,0,1322082
0,0,1156973,236,236,0,1154469
1,0,9580,197,197,1,6749
1,0,50888,152,152,0,48174
1,0,1096585,235,235,0,1093946
0,0,758419,45,45,0,756089
0,0,12594,151,151,0,9967
1,0,9089,217,217,0,6579
0,0,45075,125,125,1,42286
1,0,1611964,100,100,1,1609262
0,0,1828534,107,107,0,1825916
1,0,483376,96,96,0,480707
0,0,1865809,105,105,0,1862957
0,0,139709,253,253,0,138117
0,0,290907,118,118,1,288478
0,0,1731005,191,191,0,1728183
1,0,2060220,184,184,0,2057611
0,0,800723,165,165,0,798375
1,0,12158,11,11,0,9363
0,0,21771,83,83,0,19363
0,0,488327,204,204,0,485541
0,0,454333,158,158,0,451748
0,0,262330,243,243,0,259847
