ENTITY_TYPE,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,PROFESSION,WEIGHT_KG,BIRTH_DATE,OLYMPEDIA_PEOPLE_ID,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,EVENTS_PARTICIPATED,GENDER,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
0,12,,,5,,,2,6,10,,0,,13,7,9,11,,,8,0,,8,5
1,8,50317.0,18455.0,4,2094.0,138294.0,12,4,3,68778.0,2,70.0,5,1,7,2,61900.0,6230.0,4,1,175.0,5,3
0,10,,,7,,,7,6,10,,0,,13,7,9,11,,,9,0,,8,5
1,14,71935.0,28298.0,3,,192457.0,11,6,4,98774.0,2,66.0,10,7,2,1,114071.0,45987.0,6,1,176.0,8,2
1,7,69637.0,27749.0,14,,203132.0,19,6,12,158293.0,2,,11,7,12,9,122235.0,66439.0,6,1,185.0,8,5
1,2,62259.0,24110.0,9,1447.0,181212.0,14,6,0,250807.0,2,,8,7,10,4,94988.0,27301.0,6,1,184.0,8,5
0,10,,,0,,,0,6,10,,0,,13,7,9,11,,,7,0,,8,5
1,3,11009.0,5139.0,10,188233.0,140904.0,15,0,7,55131.0,2,65.0,1,4,8,5,27924.0,581.0,0,1,183.0,0,4
1,11,41076.0,13362.0,17,56034.0,139405.0,21,3,13,65995.0,2,70.0,2,7,0,12,51551.0,3277.0,10,1,177.0,1,6
1,6,53630.0,19651.0,12,40766.0,168753.0,17,6,11,78094.0,2,61.0,6,7,4,7,71432.0,16573.0,3,1,165.0,2,0
1,5,43344.0,16653.0,8,63128.0,140818.0,13,2,2,64670.0,2,78.0,3,0,3,3,52068.0,2337.0,1,1,181.0,4,1
0,10,,,16,,,4,6,10,,0,,13,7,9,11,,,8,0,,8,5
1,15,3083.0,3366.0,18,24074.0,140270.0,22,1,9,30329.0,2,63.0,0,2,1,13,15181.0,568.0,2,1,175.0,3,5
0,10,,,20,,,5,6,10,,0,,13,7,9,11,,,8,0,,8,5
0,1,,,6,,,6,6,10,,0,,13,7,9,11,,,9,0,,8,5
0,0,,,16,,,1,6,10,,0,,13,7,9,11,,,7,0,,8,5
0,10,,,21,,,8,6,10,,0,,13,7,9,11,,,9,0,,8,5
0,10,,,19,,,3,6,10,,0,,13,7,9,11,,,8,0,,8,5
1,13,56666.0,18975.0,2,32176.0,133024.0,10,5,5,70590.0,2,58.0,4,3,11,0,65132.0,20147.0,5,1,172.0,6,7
1,16,49495.0,23426.0,13,29588.0,177246.0,18,6,6,87061.0,2,,9,7,6,8,88470.0,37748.0,6,1,181.0,8,4
1,4,,29474.0,11,,215760.0,16,6,1,638202.0,2,,12,6,5,6,149604.0,92666.0,6,1,184.0,8,5
0,10,,,1,,,9,6,10,,0,,13,7,9,11,,,8,0,,8,5
1,9,48143.0,21971.0,15,205449.0,168754.0,20,6,8,79462.0,1,,7,5,13,10,64280.0,16672.0,6,1,184.0,7,4
