Role,ProfileImage,WeightKg,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,FreebaseId,CyclingArchivesCyclistId,SportCountry
0,5,70,2,7522,2338,1,5,477,179,5,,140519,8,24499.0,5,10562,4
0,3,74,3,16313,3333,8,4,150,181,4,134950.0,140752,5,44513.0,1,18746,1
0,6,78,7,26009,12193,7,7,784,184,7,1940308.0,140797,9,54603.0,6,30229,5
0,4,70,9,50317,18455,2,1,6230,175,1,2094.0,138294,1,68778.0,9,61900,3
0,8,71,6,38789,10148,9,6,2317,179,6,19685.0,140664,4,53516.0,8,17951,5
0,0,68,5,19479,8649,3,0,791,182,0,9972.0,140208,6,54831.0,7,22615,2
0,1,72,0,10506,32,5,2,469,182,2,,117828,7,12922.0,4,5814,0
0,2,62,4,19245,3460,4,3,51,176,3,135899.0,140790,0,32248.0,3,16377,5
1,7,82,8,28088,12276,6,9,800,197,9,130987.0,140886,2,59339.0,2,31595,7
1,9,75,1,3516,1303,0,8,271,190,8,31384.0,140584,3,,0,12756,6
