GENE_SUBCLASS,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
1,21,112659,180,180,2,1,8,111770,1
0,19,839949,138,138,0,0,5,839030,0
0,1,1026191,29,29,0,0,0,1025282,1
0,1,3610921,94,94,0,0,0,3610027,1
1,3,155789,189,189,2,1,10,154923,0
1,0,3118809,82,82,2,1,0,3118143,0
0,1,1174013,34,34,0,0,0,1173317,1
0,7,95815,156,156,0,0,7,95057,1
0,1,583967,14,14,0,0,0,583080,1
1,0,129373,6,6,2,1,0,128459,0
1,17,275737,129,129,2,1,4,274820,1
0,1,2252035,64,64,0,0,0,2251144,0
0,9,2004091,148,148,0,0,6,2003193,0
0,7,2783867,175,175,0,0,7,2782938,0
0,20,199181,128,128,0,0,4,198480,1
0,7,7961,153,153,0,0,7,7128,1
1,5,93377,181,181,2,1,9,92506,0
0,1,3031781,80,80,0,0,0,3030872,1
0,1,616887,16,16,0,0,0,616004,1
0,24,208310,220,220,0,0,13,207430,1
1,0,2870102,74,74,2,1,0,2869325,0
0,1,3882969,102,102,0,0,0,3882101,1
0,20,1767921,132,132,0,0,4,1767010,0
0,1,3868423,101,101,0,0,0,3867484,1
0,18,2607933,196,196,0,0,12,2607058,0
0,1,1893252,53,53,0,0,0,1892656,1
1,15,2212759,163,163,2,1,7,2212110,0
1,0,2537510,66,66,2,1,0,2536628,0
0,1,1194078,35,35,0,0,0,1193275,0
0,18,2545626,194,194,0,0,12,2544759,1
0,7,179067,158,158,0,0,7,178182,1
0,1,1930786,55,55,0,0,0,1929878,1
1,7,42700,193,193,2,1,12,41878,0
1,0,2956805,77,77,2,1,0,2956075,1
0,18,2733039,202,202,0,0,12,2732154,0
0,1,983675,26,26,0,0,0,982762,1
1,15,2646027,172,172,2,1,7,2645141,0
0,1,3168386,83,83,0,0,0,3167475,0
1,0,1613672,45,45,2,1,0,1613054,0
0,20,1786331,133,133,0,0,4,1785448,0
1,17,38833,124,124,2,1,4,38004,1
0,2,64524,121,121,0,0,3,63623,1
0,24,93604,213,213,0,0,13,92715,1
0,16,1291545,118,118,0,0,2,1290640,0
0,18,2801127,205,205,0,0,12,2800200,0
0,16,1318081,119,119,0,0,2,1317200,0
1,7,2698387,201,201,2,1,12,2697497,0
0,1,2307482,65,65,0,0,0,2306646,0
0,20,97344,126,126,0,0,4,96440,1
0,1,46753,2,2,0,0,0,45868,0
0,16,1186857,114,114,0,0,2,1185970,0
0,1,3003728,79,79,0,0,0,3002854,1
0,20,14893,123,123,0,0,4,13998,1
0,7,254865,161,161,0,0,7,253708,1
0,14,43075,178,178,0,0,8,42181,1
0,10,4754,106,106,0,0,1,3889,1
0,20,322301,131,131,0,0,4,321431,1
0,7,2312685,165,165,0,0,7,2311817,1
0,18,2995898,210,210,0,0,12,2995002,0
1,0,3220661,86,86,2,1,0,3220015,1
0,1,2949731,76,76,0,0,0,2948776,1
0,9,38163,140,140,0,0,6,37286,1
0,1,880743,24,24,0,0,0,879833,0
1,0,3347574,87,87,2,1,0,3346878,0
1,0,1417676,41,41,2,1,0,1417041,0
1,17,1801661,134,134,2,1,4,1800772,0
0,7,2367422,166,166,0,0,7,2366716,0
1,6,34996,192,192,2,1,11,34098,1
0,1,105637,5,5,0,0,0,104764,0
0,20,289183,130,130,0,0,4,288291,1
0,1,1908900,54,54,0,0,0,1907989,1
0,14,33425,177,177,0,0,8,32546,0
0,24,61263,211,211,0,0,13,60705,1
0,1,2179730,62,62,0,0,0,2178836,0
0,8,56816,186,186,0,0,10,55936,1
0,1,3550296,92,92,0,0,0,3549573,1
0,18,2821965,206,206,0,0,12,2821073,0
0,1,364621,10,10,0,0,0,363730,0
0,1,1094682,32,32,0,0,0,1093809,0
0,1,857958,23,23,0,0,0,857048,0
1,0,2705515,70,70,2,1,0,2704850,1
0,7,76101,155,155,0,0,7,75205,1
0,1,1770959,48,48,0,0,0,1770066,1
0,1,3910556,104,104,0,0,0,3909665,1
0,18,2634567,198,198,0,0,12,2633713,0
1,7,2926376,208,208,2,1,12,2925636,0
0,1,1248359,38,38,0,0,0,1247462,0
1,17,78507,125,125,2,1,4,77618,1
0,24,80766,212,212,0,0,13,79828,1
0,7,820,152,152,0,0,7,152,1
0,1,815039,21,21,0,0,0,814169,0
1,7,2783215,204,204,2,1,12,2782301,0
0,7,113300,157,157,0,0,7,112144,1
0,8,133377,188,188,0,0,10,132540,1
0,1,11796,0,0,0,0,0,10901,0
1,4,146106,127,127,2,1,4,145433,1
0,10,1284813,110,110,0,0,1,1283955,1
1,0,2877942,75,75,2,1,0,2877270,0
1,0,2726363,71,71,2,1,0,2725684,0
0,10,120842,108,108,0,0,1,119945,1
0,1,1153637,33,33,0,0,0,1152742,1
0,1,2008858,58,58,0,0,0,2007978,1
0,7,2596095,170,170,0,0,7,2595159,0
1,0,759899,20,20,2,1,0,759170,0
1,15,2551606,169,169,2,1,7,2550972,0
1,0,1040077,30,30,2,1,0,1039506,1
0,1,346732,9,9,0,0,0,345835,0
1,7,2932579,209,209,2,1,12,2931935,0
1,17,4378,122,122,2,1,4,3485,1
0,1,826454,22,22,0,0,0,825605,0
0,24,119359,214,214,0,0,13,118488,0
0,1,84763,4,4,0,0,0,83884,0
0,20,1852658,136,136,0,0,4,1851750,0
0,1,1009343,28,28,0,0,0,1008447,1
1,0,3052381,81,81,2,1,0,3051492,0
0,12,2127433,184,184,0,0,9,2126559,0
0,18,2662826,200,200,0,0,12,2661928,0
1,0,2815974,73,73,2,1,0,2815301,1
0,7,43615,154,154,0,0,7,42720,1
0,1,2027332,59,59,0,0,0,2026451,1
0,9,2051827,151,151,0,0,6,2050966,1
0,9,65756,141,141,0,0,6,64848,1
1,7,2652248,199,199,2,1,12,2651353,0
1,0,3659876,96,96,2,1,0,3658970,1
0,1,2564908,67,67,0,0,0,2564013,1
1,0,3954382,105,105,2,1,0,3953716,1
0,1,2157748,61,61,0,0,0,2156854,0
0,1,1347591,40,40,0,0,0,1346693,0
1,0,526126,13,13,2,1,0,525496,1
0,14,10693,176,176,0,0,8,9931,1
0,1,1230850,37,37,1,0,0,1230443,0
0,20,1872146,137,137,0,0,4,1871256,0
1,0,3175328,84,84,2,1,0,3174631,0
0,7,2771720,174,174,0,0,7,2770833,0
0,22,743255,19,19,0,0,0,742382,0
1,0,3379061,88,88,2,1,0,3378314,0
1,0,3182281,85,85,2,1,0,3181624,0
0,1,3482173,90,90,0,0,0,3481283,1
0,1,1210237,36,36,0,0,0,1209330,0
1,0,988351,27,27,2,1,0,987725,1
1,15,324293,162,162,2,1,7,323385,0
0,1,1438969,42,42,0,0,0,1438094,0
0,1,3892299,103,103,0,0,0,3891419,1
1,0,3743061,99,99,2,1,0,3742382,1
1,11,84968,142,142,2,1,6,84024,1
0,12,2097475,183,183,0,0,9,2096692,0
0,1,1327411,39,39,0,0,0,1326527,0
0,7,237285,160,160,0,0,7,236377,1
0,24,171488,218,218,0,0,13,170598,1
1,0,2218472,63,63,2,1,0,2217756,0
0,1,67225,3,3,0,0,0,66335,0
0,16,1205860,115,115,0,0,2,1204942,0
0,1,1827968,50,50,0,0,0,1827078,1
0,9,2021370,149,149,0,0,6,2020462,0
0,1,33872,1,1,0,0,0,33277,0
1,23,77458,107,107,2,1,1,76610,1
0,16,1150468,113,113,0,0,2,1149549,0
0,1,1594881,44,44,0,0,0,1594014,0
0,12,2200677,185,185,0,0,9,2199788,0
0,1,3426722,89,89,0,0,0,3425850,0
1,0,1715761,47,47,2,1,0,1715156,1
0,1,1062170,31,31,0,0,0,1061271,1
1,11,121515,143,143,2,1,6,120611,1
0,1,251301,7,7,0,0,0,250440,0
0,18,2574717,195,195,0,0,12,2573812,0
1,0,906554,25,25,2,1,0,905921,0
1,21,62971,179,179,2,1,8,62301,1
0,2,13000,120,120,0,0,3,12198,1
0,1,3806554,100,100,0,0,0,3805732,1
0,1,3505382,91,91,0,0,0,3504459,1
0,9,209987,144,144,0,0,6,209125,1
0,1,1790274,49,49,0,0,0,1789375,1
0,1,3733654,98,98,0,0,0,3732796,0
0,1,268360,8,8,0,0,0,267451,0
0,1,438609,11,11,0,0,0,437719,0
0,1,1967467,57,57,0,0,0,1966575,1
0,1,3702726,97,97,0,0,0,3701790,1
0,9,1984098,147,147,0,0,6,1983179,0
0,1,601650,15,15,0,0,0,600802,1
0,8,113373,187,187,0,0,10,112520,1
0,1,2621113,69,69,0,0,0,2620236,1
1,7,2888805,207,207,2,1,12,2887907,0
0,9,2042250,150,150,0,0,6,2041355,0
1,11,1386,139,139,2,1,6,484,1
1,0,3596070,93,93,2,1,0,3595390,1
1,3,246982,190,190,2,1,10,246140,1
0,1,2090425,60,60,0,0,0,2089410,1
0,1,1845491,51,51,0,0,0,1844736,1
0,16,1271094,117,117,0,0,2,1270209,0
0,1,1628990,46,46,0,0,0,1628066,0
1,11,1898490,145,145,2,1,6,1897629,0
0,18,2617008,197,197,0,0,12,2616131,0
1,15,191596,159,159,2,1,7,190749,1
0,24,160866,217,217,0,0,13,159967,1
0,1,497244,12,12,0,0,0,496597,0
1,0,1859223,52,52,2,1,0,1858664,1
0,24,127918,215,215,0,0,13,127024,1
1,0,2990646,78,78,2,1,0,2989777,1
