SportType,StageLabel,HostCountry,StageDistanceKm,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,GeneralClassificationLeader,StageDescription,EndLocation
0,49,9,127.5,34,13,30,23,42,32,50,4,18,4,29
0,29,3,209.0,39,12,19,14,23,17,32,3,10,4,16
0,36,8,28.6,42,11,23,15,45,23,39,6,15,4,36
0,7,7,833.1,12,8,18,4,8,35,5,8,10,5,3
0,4,4,176.0,10,13,22,3,2,2,7,3,12,4,28
0,27,8,57.0,25,13,11,12,45,16,29,7,9,4,12
0,43,8,123.8,4,14,3,18,36,29,44,6,12,9,4
0,16,4,161.1,40,12,12,9,12,7,19,0,20,4,35
0,33,8,222.0,6,12,19,15,28,20,36,2,5,4,8
0,5,4,9.6,33,11,22,3,45,3,8,5,12,4,10
0,8,5,132.0,1,12,26,5,5,5,11,1,16,0,23
0,34,8,160.8,47,13,26,15,29,21,37,4,15,4,37
0,11,7,841.0,35,8,0,8,10,35,9,8,0,5,26
0,42,8,170.5,13,13,18,18,35,28,43,5,12,9,2
0,1,1,264.0,8,7,28,1,1,1,1,8,17,5,27
0,13,7,192.7,14,1,35,10,18,6,12,8,22,5,15
0,23,8,646.66,24,4,18,13,25,35,16,8,10,3,17
0,6,8,761.9,27,4,6,4,7,35,4,8,4,6,17
0,35,8,100.0,42,10,19,15,30,22,38,5,15,4,36
0,0,1,203.0,23,0,13,0,0,0,0,8,7,5,21
0,47,8,19.2,20,11,34,22,41,34,49,6,6,9,19
0,46,8,216.6,37,13,8,22,40,33,48,5,6,9,20
0,15,8,711.7,44,4,36,11,20,35,15,8,23,5,24
0,25,8,162.8,45,12,20,12,21,14,27,4,21,4,1
0,22,4,38.4,5,11,32,9,45,13,25,7,15,4,5
0,21,4,164.6,7,10,2,9,17,12,24,5,19,4,13
0,38,7,186.0,14,1,1,19,38,25,31,8,1,5,15
0,12,6,689.9,16,9,16,7,11,35,10,8,8,5,39
0,28,7,852.3,15,8,0,13,31,35,18,8,0,5,14
0,52,8,107.6,28,13,21,21,46,31,52,2,11,8,38
0,51,0,217.4,43,3,24,16,45,24,51,8,13,4,37
0,31,8,1166.3,9,5,26,17,32,35,26,8,15,5,36
0,26,8,16.8,11,11,10,12,22,15,28,6,9,4,12
0,32,8,150.2,5,13,14,15,27,19,35,1,5,4,40
0,44,8,34.1,4,11,27,18,45,30,45,7,12,9,4
0,2,8,695.04,26,4,4,2,3,35,2,8,2,5,11
0,18,4,193.2,18,10,15,9,14,9,21,2,20,4,22
0,3,7,834.6,22,8,25,2,4,35,3,8,14,5,32
0,39,8,1215.4,19,5,22,20,39,35,34,8,12,1,4
0,10,4,195.5,31,10,33,6,6,4,14,5,3,4,7
0,30,3,168.0,2,10,9,14,24,18,33,4,10,4,9
0,41,8,186.0,17,13,29,18,34,27,42,4,12,9,18
0,20,4,193.1,46,14,19,9,16,11,23,4,19,4,6
0,48,9,1253.0,41,6,30,25,45,35,46,8,18,5,33
0,9,2,1447.0,29,2,5,8,9,35,6,8,3,5,30
0,19,4,237.3,37,13,31,9,15,10,22,3,19,4,34
0,24,8,1197.2,3,5,17,13,26,35,17,8,9,5,12
0,45,8,699.52,32,4,21,25,44,35,40,8,11,2,17
0,37,6,770.2,0,9,21,16,37,35,30,8,11,5,0
0,17,4,117.3,38,12,19,9,13,8,20,1,20,4,31
0,50,6,778.6,36,9,30,24,43,35,47,8,18,7,0
0,14,2,1144.7,30,2,22,11,19,35,13,8,12,5,10
0,40,8,155.7,21,13,7,18,33,26,41,3,12,9,25
