Gender,SiblingName,FamilySurname,BirthDate,BiographicalNote,FirstName,DeathDate,FullName,GoogleKnowledgeGraphId,MotherName,PosthumousTitle
1,0,0,31,11,3,7,30,17,17,76
0,0,0,85,11,5,36,66,64,17,61
1,0,0,70,11,3,54,37,31,15,3
1,0,0,28,11,3,26,32,37,27,58
0,0,1,69,11,4,84,7,85,17,37
0,0,1,30,11,4,81,69,49,15,47
0,0,1,83,11,4,75,75,41,15,38
1,0,1,41,11,4,82,46,10,2,64
1,0,0,68,10,3,17,16,47,9,54
1,0,1,0,9,4,85,1,13,15,47
1,2,0,55,11,3,18,26,34,3,24
1,0,0,74,11,3,65,57,39,0,4
1,0,0,46,11,3,34,40,22,15,71
1,0,0,56,11,3,38,29,76,8,79
1,0,1,59,11,4,44,42,2,13,26
0,0,1,66,11,4,80,60,48,10,47
0,0,1,39,13,4,78,77,81,7,35
0,0,1,6,11,4,2,83,71,14,66
0,0,0,14,11,4,57,61,73,17,31
1,0,0,17,4,3,62,45,27,23,15
1,0,0,12,3,3,23,41,6,6,75
1,0,1,80,11,4,77,15,18,10,69
0,0,1,18,11,4,12,84,58,1,59
1,0,0,79,11,3,53,27,19,15,73
0,0,1,43,11,4,47,82,74,9,43
0,0,0,9,13,7,64,14,83,6,32
1,0,0,51,11,3,42,51,35,9,17
0,0,1,67,11,4,27,8,85,0,60
0,0,1,44,11,4,35,63,57,25,55
1,0,0,48,11,3,15,19,33,9,68
0,0,1,4,11,4,0,59,26,14,0
0,0,1,78,11,4,45,12,54,17,29
0,0,1,64,11,4,21,80,66,9,44
1,0,0,40,11,3,13,48,4,1,23
1,1,0,24,11,3,41,47,84,22,1
0,0,1,52,11,4,9,4,42,20,47
1,0,0,49,7,3,50,35,8,3,11
1,0,0,63,11,3,79,44,38,18,47
0,0,1,71,11,4,80,10,52,15,47
1,0,0,37,11,3,48,21,20,11,9
1,1,0,15,15,3,73,43,77,4,65
0,0,1,7,11,4,4,68,1,5,25
1,0,0,2,0,3,46,31,21,22,74
0,0,1,32,11,4,6,73,44,4,22
0,0,1,29,12,4,67,85,80,7,18
0,0,0,5,11,1,37,11,60,14,52
0,0,1,57,11,4,29,65,43,15,72
0,0,1,11,11,4,68,9,50,1,41
1,0,0,38,11,3,31,25,25,5,77
1,0,0,22,6,3,22,52,28,15,49
0,0,1,42,11,4,76,76,63,10,80
1,0,0,35,11,3,85,22,7,15,47
0,0,1,67,11,4,59,67,61,13,39
1,0,1,75,11,4,60,23,75,26,5
0,0,1,19,11,4,74,87,45,11,40
0,0,1,25,11,4,56,5,85,24,36
1,0,0,45,11,3,72,49,30,12,14
1,0,0,53,11,3,39,34,11,13,20
1,0,0,82,11,3,19,33,32,17,47
0,0,1,58,11,4,15,62,68,17,53
1,0,0,47,11,3,55,20,14,26,12
0,0,1,65,11,4,52,71,85,17,42
1,0,0,77,11,3,49,36,12,9,8
0,0,1,20,11,4,40,86,70,5,48
1,0,0,62,11,3,70,56,24,8,6
1,0,0,60,11,3,71,54,29,26,2
0,0,1,72,11,4,28,64,55,13,70
1,0,0,3,1,3,1,24,15,14,50
1,0,0,61,11,3,69,53,5,14,10
0,0,1,54,11,4,24,6,69,25,45
1,0,0,13,16,3,43,39,78,7,63
1,0,0,27,11,0,10,18,23,11,78
1,0,0,23,11,3,5,50,16,2,19
1,1,0,16,8,3,14,16,79,2,16
1,0,0,36,11,3,30,28,3,10,27
0,0,1,32,11,4,20,70,40,3,46
0,0,1,34,11,4,25,2,72,21,57
0,0,1,42,11,4,8,81,62,17,56
0,0,1,81,11,4,83,78,65,0,33
0,0,1,33,11,4,66,72,53,8,47
0,0,0,50,11,2,63,13,46,26,34
1,0,0,8,2,3,51,38,0,11,7
1,0,0,76,11,3,61,17,9,10,13
0,0,1,84,11,4,33,74,51,15,30
0,0,1,10,11,4,32,79,56,19,51
1,0,0,1,14,6,58,58,82,16,67
0,0,1,73,11,4,16,0,67,9,62
1,0,1,21,5,4,11,55,36,15,28
0,0,1,26,11,4,3,3,59,26,21
