Gender,SiblingName,FamilySurname,BirthDate,BiographicalNote,FirstName,DeathDate,FullName,GoogleKnowledgeGraphId,MotherName,PosthumousTitle
0,0,1,68,10,4,27,7,85,0,60
0,0,0,86,10,6,36,66,65,16,62
1,0,0,59,10,3,73,53,29,25,2
1,0,0,28,10,3,26,33,36,26,58
0,0,1,71,10,4,85,6,85,16,38
0,0,1,30,10,4,82,69,50,14,48
0,0,1,78,10,4,86,59,64,16,48
1,0,1,40,10,4,83,46,12,2,66
1,0,0,70,10,3,22,22,31,25,65
1,0,0,35,10,3,87,20,8,14,48
1,2,0,54,10,3,18,24,33,3,26
1,0,0,81,10,3,53,25,19,14,73
1,0,0,46,10,3,55,18,14,25,14
1,0,0,52,10,3,45,31,32,14,11
1,0,0,60,10,3,71,52,5,13,10
0,0,1,67,10,4,81,60,49,10,48
0,0,1,38,13,4,79,77,81,7,36
0,0,1,4,10,4,1,82,72,13,68
0,0,1,85,10,4,34,74,52,14,32
1,0,0,44,10,3,31,35,21,13,76
1,0,0,7,2,5,56,34,17,14,8
1,0,1,82,10,4,78,14,18,10,70
0,0,1,16,10,4,11,83,59,1,59
1,0,0,11,3,3,23,41,6,6,75
0,0,1,42,10,4,47,81,74,9,44
0,0,0,8,13,8,65,13,83,6,33
1,0,0,63,10,3,62,49,9,14,80
0,0,0,18,10,4,9,62,45,14,52
0,0,1,43,10,4,35,63,58,24,56
1,0,1,58,10,4,43,42,2,12,28
0,0,1,2,10,4,0,58,26,13,0
0,0,1,80,10,4,44,11,55,16,31
0,0,1,65,10,4,20,80,67,9,45
1,0,0,39,10,3,13,48,4,1,25
1,1,0,23,10,3,41,47,84,21,1
0,0,1,50,10,4,7,3,42,19,48
1,0,0,21,6,3,21,51,28,14,50
1,0,0,64,10,3,80,44,37,17,48
0,0,1,73,10,4,81,9,53,14,48
1,0,0,37,10,3,48,19,20,11,9
1,1,0,13,15,3,74,43,77,4,67
0,0,1,5,10,4,3,68,1,5,27
1,0,0,15,4,3,63,45,27,22,16
0,0,1,32,10,4,5,73,44,4,23
0,0,1,29,12,4,68,85,80,7,18
0,0,1,27,11,4,30,84,39,20,61
0,0,1,56,10,4,29,65,43,14,72
0,0,1,10,10,4,70,8,51,1,42
1,0,0,45,10,3,69,23,16,10,79
1,0,1,20,5,4,10,54,34,14,30
0,0,1,41,10,4,77,76,63,10,81
1,0,0,62,10,3,6,32,7,3,24
0,0,1,84,10,4,76,75,41,14,39
1,0,0,72,10,3,54,38,30,14,3
0,0,1,17,10,4,75,87,46,11,41
0,0,1,24,10,4,57,4,85,23,37
1,0,0,47,10,3,12,30,23,16,21
1,0,0,61,10,3,72,55,25,8,6
1,0,0,48,7,3,49,37,10,3,13
0,0,1,57,10,4,15,61,69,16,54
1,0,0,51,10,3,39,36,13,12,20
0,0,1,68,10,4,59,67,62,12,40
1,0,0,76,10,3,66,56,38,0,4
0,0,1,19,10,4,40,86,71,5,49
1,0,0,79,10,3,61,16,11,10,15
1,0,0,55,10,3,38,28,76,8,78
0,0,1,74,10,4,28,64,56,12,71
1,0,0,1,0,3,46,29,22,21,74
1,0,0,69,9,3,17,15,48,9,55
0,0,1,53,10,4,24,5,70,24,46
1,0,0,12,16,3,42,40,78,7,64
1,0,0,31,10,3,52,26,35,14,12
1,0,0,22,10,3,4,50,15,2,19
1,1,0,14,8,3,14,15,79,2,17
1,0,0,36,10,3,32,27,3,10,29
0,0,1,32,10,4,19,70,40,3,47
0,0,1,34,10,4,25,1,73,20,57
0,0,1,66,10,4,51,71,85,16,43
0,0,1,83,10,4,84,78,66,0,34
0,0,1,33,10,4,67,72,54,8,48
0,0,0,49,10,2,64,12,47,25,35
1,0,0,6,1,3,50,39,0,11,7
1,0,1,77,10,4,60,21,75,25,5
0,0,0,3,10,1,37,10,61,13,53
0,0,1,9,10,4,33,79,57,18,51
1,0,0,0,14,7,58,57,82,15,69
0,0,1,75,10,4,16,0,68,9,63
1,0,0,26,10,0,8,17,24,11,77
0,0,1,25,10,4,2,2,60,25,22
