GeneInstanceType,GeneDbId,GeneLabel,ChromosomeLocation,GenomicEndPosition,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,79,77,2,10232764,8,10,10231165,1,2
0,57,55,2,7109147,7,5,7107870,0,2
0,30,29,2,3069533,7,6,3067104,1,2
0,6,1,4,69135,7,1,66766,1,0
0,74,72,2,9839598,7,5,9837133,0,2
0,87,85,2,11521584,7,10,11520019,0,2
0,96,94,2,12828573,7,10,12826171,0,2
0,106,104,2,13793483,7,5,13792542,0,2
0,111,109,2,14111130,7,10,14109280,0,2
0,17,16,2,2014581,7,10,2014021,0,2
0,113,111,2,14180280,7,10,14178427,1,2
0,118,116,2,14628646,7,10,14627078,1,2
0,124,122,2,15342785,8,10,15341554,1,2
0,49,47,2,6461911,7,5,6461201,1,2
0,24,23,2,2812311,7,10,2809894,0,2
0,62,60,2,8177449,7,10,8174822,0,2
0,14,13,2,1619290,7,10,1617044,1,2
0,72,70,2,9674081,7,5,9673272,0,2
0,48,46,2,5996347,7,5,5994872,1,2
0,77,75,2,9886093,7,10,9883991,1,2
0,131,129,1,3360778,7,11,3358481,1,2
0,51,49,2,6660099,7,10,6659290,1,2
0,76,74,2,9879139,7,5,9876677,1,2
1,7,6,5,40569,5,4,39136,1,0
0,18,17,2,2037929,8,10,2036052,1,2
0,65,63,2,8291612,7,5,8290839,0,2
1,114,112,2,14404871,9,9,14402180,1,2
0,26,25,2,2916870,7,10,2914420,1,2
0,29,28,2,3041508,7,5,3039043,0,2
0,1,3,7,2791071,2,0,2789263,1,0
0,20,19,2,2541570,7,5,2539138,0,2
0,50,48,2,6468030,7,10,6465889,1,2
0,125,123,2,15359809,7,5,15357605,1,2
0,95,93,2,12726075,7,5,12724588,1,2
0,132,130,0,205690,7,8,203264,0,2
0,128,126,2,15722299,7,10,15721286,1,2
0,90,88,2,12113971,7,5,12113474,0,2
0,4,1,4,38167,7,1,35798,1,0
0,100,98,2,13050583,7,10,13048109,1,2
0,92,90,2,12399601,7,10,12397616,1,2
0,47,45,2,5988306,7,10,5987344,1,2
