PROFESSION,NATIONALITY,PROFILE_IMAGE,BIRTH_DATE,SPORTS_TEAM,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,LAST_NAME,FIRST_NAME,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,CYCLING_DISCIPLINE,CYCLIST_DESCRIPTION,CYCLING_ARCHIVES_CYCLIST_ID
1,1,6,14,1,,26392.0,13,6,45363,176.0,4,193131,10,148275.0,2,1,89152.0
1,1,18,17,4,,28641.0,9,1,65033,185.0,0,202338,4,156896.0,2,1,106043.0
1,1,16,7,15,,20893.0,12,12,18574,194.0,10,169988,11,86385.0,2,1,78474.0
1,7,0,3,14,,18687.0,8,10,11833,185.0,8,131487,16,,2,14,65900.0
1,1,2,15,4,69669.0,27085.0,15,3,47124,174.0,2,195027,5,107713.0,3,2,87369.0
1,1,7,1,13,41095.0,10467.0,12,7,1276,185.0,5,140713,13,58657.0,2,3,36298.0
0,6,12,8,0,48143.0,21971.0,18,14,16672,184.0,12,168754,8,79462.0,1,7,64280.0
1,2,9,0,16,49291.0,16898.0,6,8,8094,,6,138803,14,499064.0,0,13,58966.0
1,5,14,2,12,39752.0,12221.0,14,17,1011,188.0,16,134345,3,60645.0,3,5,38698.0
1,1,17,11,4,,24180.0,10,15,37996,,13,177670,2,100912.0,2,1,78386.0
1,1,13,19,4,,,12,5,76168,,14,208282,1,164885.0,2,1,113385.0
0,1,5,4,5,47965.0,17988.0,11,20,8377,1.85,19,138125,20,70962.0,1,1,64279.0
1,4,13,21,17,99254.0,32965.0,12,0,139667,,14,270752,19,289748.0,2,12,176055.0
1,2,19,18,2,,30055.0,1,11,75481,,9,207955,12,,2,8,140468.0
1,1,10,13,4,65241.0,25655.0,3,19,37427,174.0,18,184674,17,111330.0,2,1,92388.0
1,1,13,20,10,,31233.0,17,21,94823,189.0,14,216450,18,649464.0,2,1,121555.0
1,8,1,9,6,66060.0,25102.0,16,18,42868,,17,193170,9,109588.0,0,11,76166.0
1,2,15,6,3,62218.0,22702.0,5,4,32892,170.0,3,165607,0,98505.0,2,9,77824.0
1,6,3,10,7,,21930.0,2,2,31208,194.0,1,171075,21,94033.0,2,6,89029.0
1,5,11,12,9,65469.0,24924.0,7,13,38481,202.0,11,186507,15,109737.0,2,4,120486.0
1,0,8,16,11,71992.0,26637.0,4,9,61988,176.0,7,201838,6,111683.0,2,0,125323.0
1,3,4,5,8,56436.0,20917.0,0,16,9746,180.0,15,156570,7,77380.0,2,10,71706.0
