Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,0,5471,135,3207,1
0,0,5583,96,3223,0
1,0,457048,87,454787,0
0,0,478833,231,476677,0
1,0,2336,146,3,1
1,0,552888,218,550654,0
0,0,835809,94,833647,0
0,0,4603,48,2336,0
1,0,1069200,208,1067095,0
0,0,2907,35,667,0
0,0,6046,151,3683,0
1,0,76342,177,73994,1
1,0,1167843,142,1165567,0
0,0,1026,3,22,1
0,1,692573,68,690150,0
0,0,27924,6,26149,1
0,0,754574,173,752403,0
1,0,1157625,115,1155433,0
1,0,12933,111,10912,1
1,0,96434,222,94266,1
1,0,35613,194,33460,1
0,0,604953,79,602554,0
0,0,2152,9,38,0
1,0,763015,82,760970,0
0,0,4215,70,1969,1
0,0,480713,37,478230,0
1,0,114439,8,112868,1
0,0,3201,58,2560,1
1,0,61722,220,61057,1
0,0,45278,99,42840,0
1,0,13918,120,11750,1
1,0,562476,171,560179,0
0,0,56175,83,53914,1
0,2,1518,57,1,1
0,0,1009290,44,1006993,0
1,0,50723,119,48507,1
0,0,487264,92,485114,0
0,0,35005,175,32786,1
0,0,371476,170,369323,0
0,0,477337,10,476408,0
0,0,1835184,66,1832923,0
1,0,53359,113,52601,1
1,0,1287,18,1,0
1,0,441740,90,439797,1
1,0,81519,11,79698,1
0,0,71686,212,69566,1
0,0,707127,47,704929,0
0,0,65232,217,62692,1
1,0,777368,224,775140,0
0,0,3230,126,921,1
0,0,1669,46,2,1
0,0,5540,43,3963,1
1,0,372955,230,370655,1
0,0,2191081,86,2188577,1
1,0,11060,139,8994,1
0,0,4184,235,1923,1
0,0,43304,155,40902,1
1,0,113111,165,111105,1
0,0,59089,40,56687,1
1,0,1189025,188,1186812,0
1,0,805063,178,803291,0
1,0,1835456,204,1833030,0
0,0,7454,51,5259,1
0,0,611448,109,610807,0
0,0,2776,152,509,0
1,0,1204656,196,1202680,0
0,0,4025,162,1761,1
0,0,2650,23,386,1
1,0,560447,97,558669,1
1,0,335828,153,333633,1
1,0,480279,203,478171,0
1,0,7012,5,5501,1
0,0,12909,140,10807,1
0,0,11646,122,9286,1
1,0,1116077,149,1113876,0
0,0,76316,28,74154,1
1,0,496899,100,495853,0
0,0,15153,205,12949,1
0,0,1027491,75,1024990,0
1,0,170211,121,168412,1
1,0,799420,225,796943,0
0,0,377705,95,375522,0
0,0,5046,157,2860,1
0,0,914046,62,913312,0
0,0,244454,156,243822,0
0,0,394758,19,393970,0
0,0,574603,168,572120,0
1,0,5117,216,2943,0
1,0,252998,129,250869,0
1,0,1108,159,1,0
1,0,92964,91,90784,1
0,0,3133,50,824,1
1,0,470842,187,468923,0
1,0,4059,29,1852,0
0,0,4593,1,2230,1
1,0,689616,81,687517,0
1,0,598394,167,596190,0
1,0,185005,117,182789,0
0,0,507624,191,505363,0
1,0,459000,172,456733,0
1,0,123424,232,121439,0
0,0,53099,223,50910,1
1,0,4883,41,2628,1
0,0,4516,52,3179,1
1,0,17178,105,14941,1
0,0,81116,2,80040,1
0,0,703891,71,701787,0
0,0,79561,116,77369,1
0,0,3704,21,1446,1
1,0,299939,227,297915,1
0,0,115059,158,112891,1
0,0,827,12,3,0
0,0,28523,80,26538,1
1,0,547726,132,545198,0
1,0,45480,195,43330,1
0,0,1039862,76,1037046,0
1,0,1937904,24,1935421,0
1,0,52834,182,50840,0
0,0,28514,107,26043,0
0,0,1138,4,2,0
1,0,62927,147,60651,1
1,0,16106,72,14127,0
0,0,7548,53,5362,0
0,0,828692,193,827244,1
0,0,711734,31,710958,0
0,0,482055,110,479794,0
1,0,89110,206,86993,1
0,0,71096,136,68619,1
0,0,798,163,1,1
0,0,2326647,16,2325364,0
0,0,9859,207,7598,1
0,0,120751,185,119534,1
1,0,70436,209,69252,1
1,0,7125,108,5011,0
0,0,1699,84,101,1
0,0,1333,15,3,0
1,0,468090,39,465892,0
1,0,811009,210,808763,0
1,0,619207,202,617003,0
0,0,194620,123,192110,0
0,0,52112,102,49749,1
0,0,14957,63,12933,0
1,0,1621,64,2,1
1,0,813661,180,811541,0
0,0,560608,179,558551,0
1,0,961848,150,959689,0
0,0,915393,61,914149,0
0,0,47037,176,44773,1
0,0,50074,189,47909,1
0,0,487691,30,485538,0
0,0,7225,104,4853,0
0,0,669010,130,666635,0
0,0,2335,169,101,1
0,0,2976,161,781,0
0,0,1159648,141,1157084,0
0,0,140815,228,140096,1
0,0,3637,160,1680,1
0,0,17152,134,14774,1
1,0,3774,17,1570,0
1,0,8253,101,6340,1
0,0,477141,197,476586,0
0,0,4334,93,1968,1
1,0,20192,201,18165,1
1,0,636865,78,634829,0
0,0,391932,7,389746,1
0,0,1152,13,1,0
1,0,122003,229,119982,1
0,0,6765,192,4204,1
0,0,6868,183,4559,1
0,0,3468,69,1171,0
0,0,2352753,128,2351474,0
0,0,85349,65,84366,1
0,0,303473,215,301437,1
0,0,49973,25,48072,1
0,0,6110,98,3849,0
1,0,9061,54,6806,1
0,0,6479,133,5838,1
0,0,369971,59,367785,0
1,0,19107,103,16912,1
0,0,316113,226,313945,1
0,0,5333,20,3093,1
0,0,4679,112,2307,1
0,0,2152465,190,2150273,0
0,0,1347,22,4,0
0,0,3770,49,732,1
0,0,23314,236,21104,0
0,0,763294,174,761027,0
1,0,411395,36,410220,0
1,0,51771,234,49540,1
1,0,469090,33,466913,0
0,0,909502,73,907241,0
0,0,68193,145,66007,1
0,0,315631,214,313523,1
1,0,10067,27,8418,1
1,0,609383,77,607077,0
0,0,351915,199,350539,1
0,0,400277,26,398004,0
0,0,702444,211,701878,0
1,0,369509,60,367296,1
0,0,3147,42,535,1
0,0,526037,38,525222,0
0,0,57522,124,55348,1
1,0,1375691,118,1373202,0
0,0,19404,198,17227,0
0,0,66424,233,64094,1
0,0,6576,164,4354,1
0,0,4947,45,2638,0
1,0,399311,89,397290,0
0,0,646569,181,644707,0
0,0,20107,67,17801,1
0,0,2123600,85,2121408,0
0,0,2949,221,565,0
1,0,654471,74,652312,1
1,0,828777,106,827212,1
0,0,27070,138,24536,1
0,0,311650,213,309482,1
0,0,16283,184,15441,1
0,0,5683,55,3845,0
1,0,477984,148,475453,0
0,0,1178466,114,1176085,0
1,0,22657,143,20729,0
1,0,60946,144,58898,1
1,0,34512,88,32440,1
1,0,1028709,166,1026565,0
1,0,224206,200,222371,1
0,0,92121,137,90979,1
1,0,731499,32,729406,0
0,0,7491,125,5182,1
0,0,1036,14,2,1
0,0,14203,56,11819,1
1,0,5726,0,3723,0
0,0,471716,219,470270,0
1,0,1909430,127,1907460,1
1,0,669243,186,667156,0
0,0,18709,34,16532,1
1,0,18062,131,16122,1
0,0,668634,154,666520,0
