NATIONALITY,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,BIRTHPLACE,UCI_RIDER_ID,NATIVE_NAME,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID
9,8,13721,119.0,6,140200,6,17637.0,0,14971.0,3,59.0,4,9,6,4579,246,169,2
9,4,11153,759.0,3,140281,3,7835.0,6,30888.0,1,59.0,6,7,3,12917,335,173,6
8,13,15225,2437.0,12,140630,12,9635.0,13,30369.0,5,68.0,11,14,12,13510,147,176,4
10,12,3654,938.0,13,140346,13,2815.0,3,28364.0,5,58.5,3,1,13,2587,299,177,5
0,11,30026,7147.0,9,140611,9,42655.0,5,57601.0,7,62.0,8,8,9,32008,563,172,12
8,10,56041,20719.0,8,174582,8,66232.0,14,88889.0,6,65.0,13,10,8,72449,18655,177,13
3,0,10227,3360.0,14,140843,14,15207.0,1,28586.0,5,75.0,9,5,14,18086,95,185,3
5,5,4508,26.0,4,140669,4,3565.0,12,,2,61.0,1,3,4,8259,177,174,8
4,3,73687,27198.0,2,205784,2,,2,98207.0,0,65.0,14,11,2,120019,69890,186,14
3,2,8480,25.0,1,140544,1,13978.0,8,12826.0,5,63.0,0,4,1,9121,39,183,9
1,9,16497,599.0,7,140525,7,19595.0,4,25274.0,4,69.0,7,13,7,7415,151,186,1
7,6,10637,27.0,5,140854,5,15453.0,10,12426.0,10,65.0,2,6,5,5873,37,180,11
6,7,20041,6807.0,10,140781,10,28206.0,11,32596.0,8,67.0,12,0,10,21225,114,182,7
2,14,4504,2045.0,11,140359,11,3561.0,7,30789.0,9,67.0,10,2,11,14361,105,180,0
9,1,16289,5.0,0,140924,0,19443.0,9,14575.0,5,61.0,5,12,0,7005,38,177,10
