NATIONALITY,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,BIRTHPLACE,UCI_RIDER_ID,NATIVE_NAME,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID
1,6,40974.0,13220,6,140657,6,4948.0,4,48194,3,78.0,5,2,6,18001,1966,183.0,5
3,7,39287.0,13240,5,140835,5,10495.0,1,55029,4,67.0,3,8,5,21075,1310,178.0,3
5,1,8760.0,4179,0,140749,0,6915.0,7,32691,4,78.0,1,4,0,19407,406,181.0,2
5,5,6978.0,4377,4,140865,4,1203.0,5,198213,2,76.0,0,3,4,18964,31,181.0,1
4,4,,21930,3,171075,3,,9,94033,4,,9,0,3,89029,31208,194.0,9
0,9,49569.0,16438,9,137352,9,55736.0,8,67841,5,70.0,2,9,9,67531,7900,180.0,6
2,0,47767.0,18714,2,137724,2,55992.0,6,68950,1,58.0,7,1,2,38737,16752,169.0,4
6,3,,21238,8,132431,8,,2,79514,4,,8,5,8,80578,16811,178.0,0
2,2,47153.0,16853,1,140094,1,54907.0,3,64665,0,64.0,6,7,1,49227,6515,,8
3,8,29396.0,13270,7,140415,7,10061.0,0,47742,4,74.0,4,6,7,24871,3933,179.0,7
