GENDER,POSTHUMOUS_TITLE,GOOGLE_KNOWLEDGE_GRAPH_ID,FIRST_NAME,MOTHER_NAME,DEATH_DATE,SIBLING_NAME,FAMILY_SURNAME,FULL_NAME,BIOGRAPHICAL_NOTE,BIRTH_DATE
1,75,17,3,17,7,0,0,29,11,31
0,60,65,5,17,36,0,0,65,11,85
1,3,31,3,15,54,0,0,36,11,69
1,57,37,3,27,26,0,0,31,11,28
0,79,63,4,10,76,0,1,76,11,42
0,46,42,4,3,81,0,1,71,11,47
0,37,41,4,15,75,0,1,75,11,83
1,63,10,4,2,83,0,1,45,11,41
1,53,48,3,9,17,0,0,15,10,68
1,46,13,4,15,86,0,1,1,9,0
1,24,34,3,3,18,2,0,25,11,56
1,4,39,3,0,65,0,0,56,11,73
1,70,22,3,15,34,0,0,39,11,46
1,78,77,3,8,38,0,0,28,11,57
1,26,2,4,13,44,0,1,41,11,60
0,46,52,4,15,80,0,1,9,11,70
0,35,82,4,7,78,0,1,77,13,39
0,65,72,4,14,2,0,1,83,11,6
0,31,74,4,17,57,0,0,60,11,14
1,15,27,3,23,62,0,0,44,4,17
1,74,6,3,6,23,0,0,40,3,12
1,68,18,4,10,77,0,1,14,11,80
0,58,58,4,1,12,0,1,84,11,18
1,72,19,3,15,53,0,0,26,11,79
0,42,75,4,9,47,0,1,82,11,43
0,32,84,7,6,64,0,0,13,13,9
1,17,35,3,9,42,0,0,50,11,52
0,59,86,4,0,27,0,1,7,11,67
0,54,57,4,25,35,0,1,62,11,44
1,67,33,3,9,15,0,0,18,11,49
0,0,26,4,14,0,0,1,58,11,4
0,29,54,4,17,45,0,1,11,11,78
0,43,67,4,9,21,0,1,80,11,65
1,23,4,3,1,13,0,0,47,11,40
1,1,85,3,22,41,1,0,46,11,24
0,46,53,4,8,66,0,1,72,11,33
1,11,8,3,3,50,0,0,34,7,50
1,46,38,3,18,79,0,0,43,11,64
0,46,64,4,17,85,0,1,59,11,75
1,9,20,3,11,48,0,0,20,11,37
1,64,78,3,4,73,1,0,42,15,15
0,25,1,4,5,4,0,1,67,11,7
1,73,21,3,22,46,0,0,30,0,2
0,22,45,4,4,6,0,1,73,11,32
0,18,81,4,7,67,0,1,85,12,29
0,51,60,1,14,37,0,0,10,11,5
0,71,44,4,15,29,0,1,64,11,58
0,40,50,4,1,68,0,1,8,11,11
1,76,25,3,5,31,0,0,24,11,38
1,48,28,3,15,22,0,0,51,6,22
0,46,43,4,20,9,0,1,4,11,53
1,46,7,3,15,86,0,0,21,11,35
0,38,61,4,13,59,0,1,66,11,67
1,5,76,4,26,60,0,1,22,11,74
0,39,46,4,11,74,0,1,87,11,19
0,36,86,4,24,56,0,1,5,11,25
1,14,30,3,12,72,0,0,48,11,45
1,20,11,3,13,39,0,0,33,11,54
1,46,32,3,17,19,0,0,32,11,82
0,52,69,4,17,15,0,1,61,11,59
1,12,14,3,26,55,0,0,19,11,48
0,41,86,4,17,52,0,1,70,11,66
1,8,12,3,9,49,0,0,35,11,77
0,47,71,4,5,40,0,1,86,11,20
1,6,24,3,8,70,0,0,55,11,63
1,2,29,3,26,71,0,0,53,11,61
0,69,55,4,13,28,0,1,63,11,71
1,49,15,3,14,1,0,0,23,1,3
1,10,5,3,14,69,0,0,52,11,62
0,44,70,4,25,24,0,1,6,11,55
1,62,79,3,7,43,0,0,38,16,13
1,77,23,0,11,10,0,0,17,11,27
1,19,16,3,2,5,0,0,49,11,23
1,16,80,3,2,14,1,0,15,8,16
1,27,3,3,10,30,0,0,27,11,36
0,45,40,4,3,20,0,1,69,11,32
0,56,73,4,21,25,0,1,2,11,34
0,55,62,4,17,8,0,1,81,11,42
0,33,66,4,0,84,0,1,78,11,81
0,46,49,4,15,82,0,1,68,11,30
0,34,47,2,26,63,0,0,12,11,51
1,7,0,3,11,51,0,0,37,2,8
1,13,9,3,10,61,0,0,16,11,76
0,30,51,4,15,33,0,1,74,11,84
0,50,56,4,19,32,0,1,79,11,10
1,66,83,6,16,58,0,0,57,14,1
0,61,68,4,9,16,0,1,0,11,72
1,28,36,4,15,11,0,1,54,5,21
0,21,59,4,26,3,0,1,3,11,26
