Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position
1,3818,117,117,30,2061
0,497232,54,54,67,497002
0,1362603,67,67,40,1360342
0,10034,9,9,4,9492
0,705460,55,55,51,703286
0,720,118,118,16,1
0,560632,58,58,57,560198
1,160581,126,126,65,159610
1,2942,38,38,54,882
1,53693,62,62,5,52560
0,1058918,108,108,69,1056777
0,1193345,105,105,17,1191366
1,591642,60,60,21,591283
0,2356776,5,5,60,2355799
1,5081,19,19,39,2874
1,82404,8,8,27,80149
0,3053,22,22,46,873
1,501852,64,64,53,499696
0,195717,4,4,45,194815
1,454212,111,111,62,451945
1,1166328,33,33,61,1164352
1,114991,85,85,10,114542
1,161676,79,79,17,160684
0,2832,57,57,37,619
1,26356,46,46,32,24182
1,628270,41,41,47,627785
1,60797,32,32,22,58671
0,508321,37,37,59,506186
1,29015,29,29,9,27780
0,646319,102,102,1,643902
1,395040,110,110,62,392911
1,2179419,99,99,63,2176948
0,742170,81,81,62,739927
0,203063,82,82,39,200871
1,9199,104,104,20,7001
0,606833,40,40,13,604902
0,53186,23,23,68,51024
0,12912,2,2,49,12295
1,5374,107,107,3,4073
1,346367,45,45,62,344166
0,551749,35,35,64,551012
0,656983,75,75,38,654773
1,302402,49,49,48,301785
1,18169,7,7,2,16115
0,2355697,100,100,13,2354525
1,141673,127,127,17,140918
1,38921,65,65,66,36609
1,356850,24,24,53,356083
1,246323,71,71,2,244452
1,258202,88,88,42,255983
0,802663,63,63,3,801878
1,628874,61,61,47,628374
1,1105132,106,106,38,1103840
0,1157244,30,30,33,1157023
0,2001346,69,69,63,1998842
0,122127,120,120,42,120202
1,32651,28,28,67,31587
0,576256,1,1,57,575726
0,13846,11,11,2,12761
1,69895,3,3,15,67685
1,292285,129,129,7,290090
0,479217,80,80,40,477172
1,967593,59,59,60,965515
1,18788,27,27,30,16752
0,1431,21,21,38,1
0,843337,68,68,34,841178
1,27802,124,124,11,25553
1,521,0,0,54,3
0,149082,121,121,42,147823
0,630544,12,12,12,630077
1,85717,43,43,10,84713
0,2356,6,6,36,188
1,116089,78,78,14,115388
0,5373,103,103,20,3175
0,414917,91,91,12,412986
1,590889,95,95,47,588715
0,879776,20,20,31,877512
1,16562,25,25,42,16113
0,551038,42,42,18,548948
0,573072,93,93,56,571858
1,8796,48,48,49,6766
0,194168,89,89,56,192141
0,804175,50,50,51,801998
1,7341,15,15,23,5542
1,1092022,123,123,63,1090076
0,853635,114,114,17,852247
1,6731,39,39,3,4560
0,24063,90,90,6,21859
1,569,77,77,28,3
1,605835,113,113,17,604711
1,20468,94,94,25,18309
0,47761,116,116,30,45575
1,80858,13,13,60,80019
0,143770,130,130,43,141896
1,40865,17,17,19,38190
1,17708,31,31,6,16425
1,107570,34,34,35,105642
1,238993,72,72,50,236726
1,5239,53,53,24,3059
1,2117,26,26,52,3
1,45873,86,86,2,43711
0,305003,101,101,51,302736
0,724179,14,14,56,722086
1,564263,36,36,32,562332
0,487684,132,132,12,485708
1,9794,122,122,23,7884
0,395811,52,52,29,393328
0,399746,92,92,56,397836
0,510087,18,18,17,508918
0,640806,112,112,35,638620
0,630340,44,44,44,629867
1,45587,119,119,13,43530
0,12118,56,56,8,9896
1,603844,96,96,18,602780
0,28251,115,115,41,27310
1,15656,51,51,58,13635
0,551317,83,83,56,549344
0,2323,70,70,28,1850
0,17469,87,87,16,15220
0,2747,84,84,24,2046
1,1525088,98,98,49,1523784
0,1220025,97,97,40,1218841
1,1560715,16,16,60,1558235
1,8315,10,10,17,7779
0,415880,47,47,7,413892
1,352533,109,109,0,352018
0,429,128,128,61,1
0,461012,74,74,42,460530
1,216636,73,73,7,214564
1,61722,125,125,63,61057
0,111044,131,131,55,109113
0,875271,76,76,26,874933
0,1428134,66,66,40,1426182
