Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,301826,242,2,0,299487
1,32772,97,1,1,29866
1,373899,29,2,0,371611
1,721934,74,2,0,719244
0,428427,87,3,0,425755
1,1516533,43,2,0,1514173
0,465591,162,2,0,462814
1,54199,32,2,0,51578
1,988200,207,2,0,985546
1,1062895,234,2,0,1060310
1,199898,36,1,1,197364
0,404584,119,2,0,402206
0,473501,203,3,0,470631
0,246580,86,2,0,243767
0,33755,27,2,0,30969
0,355891,244,2,0,353552
1,993191,44,2,0,990858
1,1150558,193,1,1,1147775
0,1152306,222,2,0,1149583
0,1161129,167,2,0,1158613
1,32977,216,1,1,30248
1,33431,26,2,0,30843
0,184674,6,2,0,182293
1,1757922,189,2,0,1755496
0,553480,174,3,0,550610
0,16153,30,2,0,13502
1,292921,245,2,0,290183
0,256062,179,2,0,253732
0,25495,50,2,0,22811
1,8691,196,2,0,6085
1,180436,213,2,0,177890
1,15222,212,2,0,12538
0,867065,116,2,0,864531
1,1966199,103,2,0,1963551
0,546874,143,2,0,544250
0,1024944,233,2,0,1022305
0,519004,251,2,0,516413
0,1176004,166,2,0,1173581
1,82609,138,3,0,79808
1,447956,177,2,0,445458
0,735391,129,2,0,733043
0,1102343,226,2,0,1099539
0,1314205,89,2,0,1311887
1,1034195,209,2,0,1031508
1,204433,62,2,0,201761
1,1800605,108,2,0,1797939
1,125132,80,2,0,122370
0,17633,22,1,1,14982
0,4209,122,2,0,1423
0,187941,232,2,0,185287
0,1065877,199,2,0,1063010
0,425184,136,2,0,422410
0,513629,257,3,0,510834
1,568671,173,2,0,566338
0,1123469,221,1,1,1120611
0,432436,159,1,1,429818
1,218715,55,2,0,215884
1,86749,153,1,1,84020
0,396102,69,1,1,393418
0,107074,254,1,1,104540
0,622377,41,2,0,620053
0,389747,164,1,1,387120
0,422008,201,2,0,419294
0,185153,24,2,0,182502
0,378614,163,2,0,375975
0,309384,110,2,0,306937
1,585607,81,2,0,583331
0,7162,20,2,0,4697
1,650434,39,3,0,647633
1,23290,218,2,0,20606
0,9867,60,2,0,7462
1,442799,202,1,1,439932
0,1713823,8,2,0,1711409
0,700388,15,2,0,697620
0,14845,47,3,0,11996
0,8092,214,2,0,5759
1,13979,198,1,1,11352
0,1053239,112,2,0,1050549
0,15062,85,2,0,12438
1,1100880,195,1,1,1098211
1,8115,172,3,0,5269
1,379418,170,2,0,376740
1,2047179,185,2,0,2044399
0,585177,205,3,0,582301
0,475012,142,2,0,472298
0,1324430,88,2,0,1322082
0,1156973,236,2,0,1154469
1,9580,197,1,1,6749
1,50888,152,2,0,48174
1,1096585,235,2,0,1093946
0,758419,45,2,0,756089
0,12594,151,2,0,9967
1,9089,217,2,0,6579
0,45075,125,1,1,42286
1,1611964,100,1,1,1609262
0,1828534,107,2,0,1825916
1,483376,96,2,0,480707
0,1865809,105,2,0,1862957
0,139709,253,2,0,138117
