GeneSubclass,GeneType,GenomicStartPosition,OrthologId,ChromosomeId,StrandOrientation,EncodedProtein,GeneDbId,GenomicEndPosition
0,0,4506258,8,0,0,1,158,4507129
0,0,57650,11,3,1,1,184,58482
0,0,4044548,8,0,1,1,146,4045564
0,0,808668,8,0,1,1,6,809644
1,0,1539719,2,5,1,2,198,1540684
0,0,3924162,8,0,1,1,133,3925106
1,1,3478912,3,0,0,2,114,3479864
0,0,2351473,8,0,1,1,59,2352377
0,0,2810993,8,0,1,1,80,2811870
0,0,3878232,8,0,0,1,130,3879177
0,0,2378994,8,0,1,1,66,2379851
0,0,1051429,8,0,0,1,20,1052365
0,0,1538500,13,8,0,1,220,1539502
0,0,2479394,7,0,0,1,68,2480301
1,1,3941590,3,0,0,2,136,3942505
0,0,2374390,8,0,1,1,65,2375390
0,0,1002743,8,0,0,1,16,1003686
0,0,825257,8,0,1,1,9,826044
0,0,3009183,8,0,0,1,97,3009797
0,0,2359047,8,0,1,1,61,2360029
0,0,3133584,8,0,1,1,100,3134531
0,0,1368947,8,0,0,1,36,1369830
0,0,1006603,8,0,0,1,17,1007599
0,0,2843538,8,0,1,1,88,2844528
0,0,3598376,8,0,0,1,118,3598785
1,1,701800,3,0,0,2,0,702779
0,0,2354884,8,0,1,1,60,2355855
0,0,882190,1,2,0,1,178,883344
0,0,3982127,8,0,0,1,143,3983006
0,0,3075227,8,0,0,1,98,3076129
0,0,3173391,8,0,1,1,101,3174298
0,0,59019,10,4,1,1,192,59994
0,0,2830191,8,0,1,1,84,2831118
0,0,1047554,8,0,0,1,19,1048548
0,0,4053370,8,0,1,1,148,4054409
0,0,2603329,8,0,0,1,75,2604167
0,0,1638522,2,5,1,1,207,1639490
0,0,948584,5,1,0,1,169,949235
0,0,4280290,8,0,1,1,153,4281472
0,0,2979374,8,0,0,1,96,2980375
0,0,4269712,8,0,1,1,152,4270736
0,0,1012217,5,1,0,1,171,1012849
0,0,2231880,8,0,1,1,52,2232853
0,0,4088784,8,0,1,1,150,4089689
0,0,3110193,0,10,0,1,227,3111097
0,0,1725811,3,6,0,1,212,1726768
0,0,1381870,8,0,0,1,37,1382865
0,0,4573255,8,0,1,1,160,4574073
0,0,127746,11,3,1,1,187,128626
0,0,2240825,8,0,1,1,53,2241711
0,0,4561270,8,0,0,1,159,4562145
0,0,3946348,8,0,0,1,137,3946818
0,0,2882695,8,0,1,1,91,2883682
0,0,1519281,10,4,0,1,195,1520249
0,0,3937813,8,0,0,1,135,3938451
0,0,1237682,8,0,1,1,31,1238650
1,1,1204738,3,0,1,2,27,1205691
0,0,2500057,8,0,0,1,69,2501037
0,0,120728,11,3,1,1,185,121633
0,0,3604775,8,0,0,1,120,3605579
0,0,1712806,3,6,0,1,209,1713820
1,1,958735,3,0,0,2,13,959824
0,0,2826149,8,0,1,1,83,2827124
0,0,4356532,8,0,1,1,154,4357200
0,0,1617789,2,5,1,1,204,1618754
0,0,834360,1,2,0,1,176,835336
0,0,3470331,8,0,0,1,112,3471297
0,0,4624492,8,0,0,1,161,4624792
0,0,2362303,8,0,1,1,62,2363229
