Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,0,1097,13,13,6,54,1
1,0,30308,54,54,5,11,27168
1,0,81368,21,21,1,83,80808
0,0,763,10,10,0,25,5
0,0,703218,19,19,7,27,701626
1,0,5286,83,83,1,30,4336
1,0,93861,101,101,1,49,92599
0,0,716461,50,50,5,50,713525
0,0,581462,112,112,4,24,578019
0,0,212280,148,148,7,31,211864
0,0,38881,133,133,1,58,36347
0,0,297517,82,82,5,87,294389
1,0,83014,122,122,7,90,81473
1,0,720,141,141,7,28,1
0,0,666404,22,22,7,26,665952
1,0,30302,0,0,1,86,29316
1,0,5807,131,131,1,34,3882
1,0,118859,99,99,1,35,115842
0,0,9728,43,43,5,40,6585
0,0,12029,48,48,7,88,11478
1,0,6579,70,70,1,9,5257
1,0,4234,79,79,1,44,3116
0,0,99546,110,110,1,28,97369
1,0,32123,61,61,1,50,29739
0,0,929052,124,124,1,86,925927
1,0,4123,91,91,4,1,1628
0,0,116617,57,57,5,43,113450
0,0,8113,67,67,1,91,5945
1,0,4229,138,138,5,51,1371
1,0,33235,7,7,7,78,30782
0,0,1206,16,16,7,87,1
0,0,789292,98,98,1,11,788021
1,0,53098,127,127,1,24,49949
1,0,99066,113,113,1,82,97825
0,0,318588,153,153,5,42,315535
0,0,1289,11,11,7,92,3
1,0,546,143,143,7,62,1
1,0,383983,5,5,1,59,383429
0,0,213521,149,149,1,50,212382
1,0,57661,45,45,1,56,55166
1,0,74545,151,151,1,68,72053
0,0,8781,28,28,1,48,5653
0,0,599,1,1,6,32,3
1,0,81855,146,146,5,15,78709
1,0,341238,29,29,1,73,338959
0,0,227216,80,80,7,69,225387
0,0,5181,105,105,1,88,4192
1,0,99079,55,55,1,3,97820
1,0,35758,6,6,6,78,35156
1,0,46653,89,89,1,18,44743
0,0,521345,25,25,5,55,518232
1,1,54155,60,60,5,38,50976
1,0,96937,121,121,1,61,96035
0,0,1771,20,20,7,18,5
0,0,9252,128,128,7,80,7177
1,0,1005,18,18,7,63,1
0,0,573456,49,49,1,31,572590
1,0,552643,118,118,1,29,550361
0,0,1017672,51,51,1,12,1015075
1,0,1291,14,14,7,93,11
1,0,55385,130,130,5,53,52233
0,0,6751,106,106,1,91,5450
1,0,3425,119,119,1,67,855
1,0,68231,100,100,5,74,65097
0,0,750258,9,9,6,70,748432
1,0,201286,39,39,1,3,199007
0,0,307836,152,152,7,42,304756
1,0,13944,65,65,4,0,11467
1,0,43791,74,74,5,78,40663
0,0,100486,56,56,1,45,98009
1,0,1126783,132,132,4,14,1124243
1,0,4790,125,125,5,20,1644
0,0,304,129,129,6,81,2
1,0,30678,115,115,6,41,29548
0,0,642289,108,108,5,48,639173
1,0,40231,111,111,6,16,38468
1,0,704,15,15,2,17,18
0,0,701522,73,73,1,34,698580
1,0,33620,88,88,5,68,30504
0,0,673825,85,85,1,73,670661
0,0,782421,66,66,1,73,781378
0,0,100844,35,35,6,71,99663
0,0,632799,52,52,5,69,629461
0,0,559272,84,84,5,53,556483
1,0,4270,38,38,4,84,1799
0,0,673601,77,77,1,80,670680
0,0,429068,86,86,5,85,425925
1,0,484,140,140,7,59,2
1,0,7065,72,72,1,74,6076
0,0,532553,154,154,1,7,531252
1,0,28960,2,2,1,86,27503
1,0,1651,96,96,1,15,830
0,0,302755,63,63,7,42,301802
0,0,1330,12,12,7,64,2
0,0,492209,24,24,1,82,489726
0,0,704396,17,17,7,45,703461
0,0,225838,94,94,5,33,222980
1,0,24175,40,40,5,19,21059
0,0,1482,107,107,1,43,1
0,0,3560,33,33,1,6,861
1,0,40333,120,120,5,23,37199
0,0,296392,26,26,5,50,293633
0,0,694715,135,135,1,34,691713
0,0,201983,147,147,1,50,197949
0,0,232598,155,155,1,31,230508
1,0,52289,87,87,5,10,48939
0,0,796646,64,64,1,11,794730
0,0,762911,104,104,1,34,760413
0,0,1815,95,95,1,51,1
1,0,11460,144,144,6,71,9091
0,0,767496,97,97,1,11,766105
1,0,341160,156,156,1,86,338881
0,0,135805,157,157,5,29,132644
0,0,458580,59,59,1,66,455587
1,0,2735,81,81,1,59,246
1,0,4884,53,53,1,72,1753
0,0,562767,62,62,5,56,559651
0,0,720169,30,30,5,49,717008
1,0,11360,93,93,5,43,8184
0,0,1011,8,8,7,38,1
0,0,7732,69,69,5,37,4595
0,0,696,116,116,6,80,1
1,0,153763,103,103,4,52,151067
0,0,329442,68,68,6,4,326975
1,0,5115,58,58,4,37,2545
0,0,315827,126,126,5,79,312663
1,0,36371,142,142,1,57,34218
0,0,326955,34,34,5,11,323962
1,0,6322,47,47,5,19,3197
0,0,772874,150,150,5,81,769737
0,0,638513,75,75,1,41,636579
0,0,220362,117,117,4,11,217744
1,0,40751,44,44,1,65,38379
1,0,5438,139,139,6,71,3198
1,0,8449,123,123,5,75,5315
1,0,37772,136,136,5,60,34755
0,0,11809,41,41,1,77,9641
0,0,8362,134,134,1,89,5834
1,0,96112,114,114,5,14,92984
1,0,7840,71,71,1,9,6842
1,0,16287,37,37,1,13,13156
1,0,371763,4,4,8,39,371065
1,0,3141,92,92,6,32,982
1,0,5564,42,42,1,35,2433
0,0,567659,27,27,0,19,567123
0,0,634208,32,32,7,2,633441
1,0,34862,90,90,0,8,34431
0,0,742903,102,102,1,76,741965
1,0,11203,46,46,1,56,8075
0,0,12199,145,145,1,36,10430
0,0,631461,76,76,1,41,630235
1,0,2165,137,137,6,22,1
0,0,676357,31,31,1,94,675068
1,0,46094,78,78,4,60,43491
1,0,301337,23,23,1,5,298548
1,0,48145,3,3,3,21,47690
1,0,11508,109,109,4,46,8902
0,0,1015710,36,36,5,47,1014604
