Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,0,1330,9,9,8,64,2
1,0,30308,48,48,6,9,27168
1,0,56857,120,120,2,18,54575
0,0,1097,10,10,7,54,1
1,0,5564,35,35,2,33,2433
1,0,5286,76,76,2,27,4336
0,0,929052,122,122,2,84,925927
1,0,52289,81,81,6,8,48939
0,0,581462,110,110,5,23,578019
0,0,212280,147,147,8,29,211864
0,0,38881,130,130,2,58,36347
0,0,297517,75,75,6,85,294389
1,0,81368,18,18,2,82,80808
1,0,720,140,140,8,25,1
0,0,742903,100,100,2,75,741965
1,0,28960,1,1,2,84,27503
0,0,429068,80,80,6,83,425925
1,0,118859,95,95,2,33,115842
0,0,9728,36,36,6,38,6585
0,0,12029,41,41,8,86,11478
0,0,315827,124,124,6,78,312663
1,0,4234,72,72,2,43,3116
0,0,99546,108,108,2,25,97369
1,0,32123,54,54,2,50,29739
1,0,48514,137,137,6,50,47612
1,0,4123,86,86,5,1,1628
0,0,116617,51,51,6,42,113450
0,0,8113,60,60,2,88,5945
1,0,4229,136,136,6,51,1371
1,0,33235,6,6,8,77,30782
0,0,1206,13,13,8,85,1
0,0,767496,93,93,2,9,766105
0,0,567659,23,23,1,17,567123
1,0,99066,111,111,2,81,97825
0,0,318588,152,152,6,41,315535
0,0,1011,7,7,8,36,1
1,0,546,142,142,8,62,1
1,0,4884,47,47,2,70,1753
0,0,213521,148,148,2,50,212382
1,0,11203,39,39,2,56,8075
1,0,74545,150,150,2,67,72053
0,0,8781,24,24,2,47,5653
0,0,599,0,0,7,30,3
1,0,81855,145,145,6,13,78709
1,0,341238,25,25,2,71,338959
0,0,306062,90,90,2,50,305283
0,0,5181,103,103,2,86,4192
1,0,99079,49,49,2,2,97820
1,0,35758,5,5,7,77,35156
1,0,33620,82,82,6,67,30504
0,0,521345,21,21,6,55,518232
1,1,54155,53,53,6,36,50976
1,0,48145,2,2,4,20,47690
0,0,1771,17,17,8,16,5
0,0,9252,126,126,8,79,7177
1,0,1005,15,15,8,63,1
0,0,573456,42,42,2,29,572590
0,0,632799,45,45,6,68,629461
1,0,53098,125,125,2,23,49949
1,0,1291,11,11,8,90,11
1,0,55385,128,128,6,53,52233
0,0,6751,104,104,2,88,5450
1,0,3425,117,117,2,66,855
0,0,765509,32,32,6,74,762384
0,0,716461,43,43,6,50,713525
1,0,153763,101,101,5,52,151067
0,0,307836,151,151,8,41,304756
0,0,227216,73,73,8,68,225387
1,0,43791,66,66,6,77,40663
0,0,100486,50,50,2,44,98009
1,0,975350,133,133,5,73,972864
1,0,4790,123,123,6,19,1644
0,0,304,127,127,7,80,2
1,0,30678,113,113,7,40,29548
0,0,642289,106,106,6,47,639173
