Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,ProCyclingStatsCyclistId,CyclistName,Nationality,TwitterHandle,TeamAffiliation,BirthPlace,UciRiderId,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,CyclingDiscipline
0,14,,18633.0,12,0,133660,12,5,4,13,9,66758.0,,6,7,11,62182,9347,7,,1
0,8,57074.0,21113.0,8,9,162756,8,9,3,12,18,79350.0,69.0,11,10,7,71921,16660,6,189.0,1
1,5,46326.0,13153.0,0,0,137531,0,10,9,1,0,44055.0,71.0,5,5,0,25006,17940,0,181.0,3
0,2,80654.0,,1,1,202483,1,7,4,16,13,157221.0,60.0,16,0,1,121401,65240,7,176.0,1
0,11,38259.0,13066.0,10,0,140384,10,0,11,17,2,62919.0,72.0,4,9,9,39964,2211,10,178.0,1
0,18,41885.0,13080.0,17,12,140628,17,4,7,5,7,64737.0,65.0,3,13,16,58535,860,8,180.0,1
0,9,61866.0,23334.0,11,8,185156,11,2,6,2,10,97634.0,65.0,10,8,10,100717,35077,2,170.0,1
0,13,,21974.0,15,0,162704,15,11,4,7,1,86919.0,,9,11,14,71627,16680,7,,1
0,15,3827.0,4557.0,18,4,140194,18,1,1,9,12,48167.0,69.0,0,3,17,25237,1783,11,179.0,1
0,6,47953.0,17665.0,5,0,140161,5,15,2,3,8,74917.0,68.0,7,4,5,67625,3356,1,185.0,0
0,0,,30630.0,4,3,216126,4,14,0,0,11,238270.0,,18,15,3,130903,94645,7,169.0,0
0,10,63024.0,23763.0,3,2,193292,3,0,10,14,14,97805.0,66.0,13,12,3,108136,42186,3,188.0,1
0,3,73687.0,27198.0,2,13,205784,2,6,4,10,3,98207.0,65.0,15,16,2,120019,69890,5,186.0,1
0,1,,32225.0,9,7,216940,9,1,4,8,15,,,17,17,8,158475,94804,9,,1
0,12,56041.0,20719.0,14,11,174582,14,12,13,17,16,88889.0,65.0,1,14,13,72449,18655,4,177.0,2
0,17,56672.0,22018.0,16,0,168758,16,14,14,6,6,86735.0,,12,6,15,74063,16639,11,183.0,3
0,4,51602.0,20770.0,7,6,138672,7,8,12,11,17,86539.0,60.0,8,2,6,81864,18564,11,178.0,1
0,7,69190.0,25740.0,6,5,196424,6,3,8,15,5,112082.0,,14,18,4,115868,38195,7,175.0,1
0,16,49272.0,17881.0,13,10,140294,13,13,5,4,4,76092.0,56.0,2,1,12,38092,4863,11,169.0,1
