PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_DESCRIPTION,BIRTH_PLACE,UCI_RIDER_ID,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
1,13,26009.0,12193.0,11,140797,15,20,54603,78.0,2,15,11,15,30229,784.0,184.0,3,6
1,10,55639.0,20535.0,3,160352,11,3,89125,,8,9,3,2,73388,14791.0,181.0,6,4
1,6,60850.0,,6,184787,7,5,94843,62.0,5,1,5,1,83533,,164.0,6,2
1,8,68345.0,25600.0,0,186245,14,11,94362,,15,13,0,5,90733,37264.0,183.0,6,6
1,4,72512.0,30035.0,2,208540,2,2,238213,,18,17,2,7,136662,76709.0,188.0,6,6
1,13,26009.0,12193.0,11,140797,15,20,54603,78.0,2,15,11,15,30229,784.0,184.0,3,6
1,19,27348.0,16688.0,20,139704,5,17,62555,74.0,3,18,20,15,35630,,180.0,0,5
1,2,47589.0,20960.0,17,158017,16,18,74994,83.0,9,8,17,15,65329,16724.0,193.0,1,7
1,1,14093.0,5098.0,15,140811,12,7,46139,67.0,1,11,15,15,20001,1579.0,180.0,5,4
1,3,82827.0,30643.0,9,217465,4,14,227110,,19,7,9,8,151350,97547.0,184.0,6,6
1,5,,25026.0,16,198985,3,12,109855,54.0,14,6,16,3,109700,58639.0,163.0,6,1
0,9,47965.0,17988.0,18,138125,1,19,70962,74.0,4,10,18,13,64279,8377.0,1.85,6,6
1,20,86654.0,29568.0,5,235390,0,15,148689,,12,13,7,10,154976,88703.0,184.0,6,6
1,14,83295.0,28377.0,12,212377,1,0,587366,62.0,17,2,12,9,141854,84019.0,171.0,6,0
1,17,11585.0,1994.0,19,140778,13,13,28378,65.0,0,12,19,15,13069,133.0,181.0,4,4
1,18,,32766.0,14,262232,8,4,685146,,20,5,14,11,155297,126678.0,177.0,6,6
1,16,57472.0,21342.0,13,178184,6,8,91656,62.0,6,13,13,14,66785,23097.0,170.0,6,2
1,7,56436.0,20917.0,10,156570,9,10,77380,78.0,10,0,10,0,71706,9746.0,180.0,6,3
1,0,65826.0,25081.0,4,196961,10,16,92315,73.0,13,16,4,4,107521,47830.0,187.0,6,3
1,11,71992.0,26637.0,7,201838,0,9,111683,76.0,16,4,6,6,125323,61988.0,176.0,6,6
1,12,56208.0,20847.0,8,155529,10,6,87226,80.0,11,14,8,12,72934,18260.0,192.0,6,3
1,15,51744.0,19238.0,1,138396,4,1,72932,70.0,7,3,1,15,66031,7720.0,177.0,2,5
