Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
1,0,1037760,370,370,4,0,169,1037092
0,0,18293,404,404,3,1,157,17649
0,0,1236,126,126,4,0,0,691
0,0,55025,360,360,4,0,100,54438
0,0,1457890,90,90,4,0,96,1457246
1,0,487260,206,206,4,0,124,486679
0,0,1995197,223,223,4,0,150,1994529
0,0,9057,388,388,4,0,90,8128
0,0,28680,132,132,3,1,165,27985
0,0,622513,28,28,4,0,96,621803
1,0,807166,156,156,4,0,116,806492
0,0,112468,401,401,1,1,36,111971
0,0,4870,342,342,4,0,139,4217
0,0,2682,269,269,4,0,130,1954
1,0,163066,9,9,4,0,142,162521
0,0,1943209,10,10,4,0,57,1942577
0,0,735451,97,97,4,0,96,734867
1,0,1357417,313,313,4,0,147,1356881
1,0,1481322,93,93,4,0,74,1480762
1,0,36247,73,73,4,0,62,35642
0,0,1187163,348,348,4,0,169,1186465
0,0,120884,36,36,2,0,106,120498
1,1,1894275,111,111,4,0,28,1893637
0,0,438865,353,353,4,0,21,438233
0,0,308712,371,371,4,0,26,308044
0,0,1033564,302,302,4,0,168,1032920
0,0,1578872,120,120,4,0,17,1578312
0,0,77237,62,62,4,0,130,76545
0,0,17407,266,266,4,0,41,16820
0,0,497483,127,127,4,0,113,496893
1,0,1707996,30,30,4,0,68,1707370
1,0,6677,380,380,4,0,89,6162
1,0,278070,228,228,4,0,158,277438
0,0,1686468,112,112,4,0,96,1685914
0,0,477620,211,211,4,0,112,476973
0,0,565167,383,383,2,0,79,564760
1,0,3882,128,128,4,0,41,3223
0,0,1685667,117,117,0,0,161,1685527
0,0,4704,235,235,4,0,126,4066
0,0,1645,357,357,4,0,103,1004
1,0,376974,57,57,4,0,151,376393
0,0,767988,276,276,4,0,48,767290
1,0,426818,141,141,4,0,128,426186
0,0,7249,55,55,4,0,41,6641
0,0,265007,264,264,4,0,5,264339
0,0,28027,46,46,4,0,126,27344
1,0,1118634,322,322,4,0,153,1117975
1,0,30799,74,74,4,0,65,30158
1,0,159847,68,68,4,0,98,159101
0,0,694973,310,310,4,0,68,694383
0,0,1610144,115,115,4,0,74,1609563
0,0,487905,173,173,4,0,151,487330
1,0,356421,430,430,3,1,137,355831
1,0,1921473,108,108,4,0,57,1920904
1,0,10499,40,40,2,0,93,10110
0,1,1739252,338,338,4,0,96,1738602
0,0,515441,212,212,4,0,63,514617
1,0,1109679,319,319,4,0,96,1109041
0,0,347837,19,19,3,1,9,347313
0,0,250738,326,326,4,0,158,250097
1,0,4939,8,8,4,0,1,4241
0,0,570400,76,76,4,0,114,569783
0,0,544317,150,150,1,1,112,543658
0,0,52129,270,270,4,0,130,51491
1,0,19103,381,381,3,1,31,18480
0,0,4829,263,263,4,0,37,4128
1,0,599763,238,238,4,0,6,598996
0,0,430625,13,13,4,0,133,430509
1,0,1142859,409,409,4,0,48,1142287
0,0,339516,231,231,4,0,81,338926
1,0,1413348,215,215,4,0,13,1412725
1,0,1066542,405,405,4,0,67,1065931
0,0,15668,346,346,4,0,20,15015
1,0,6518,307,307,4,0,151,5874
1,0,26110,309,309,4,0,31,25487
1,0,504309,428,428,3,1,146,503911
1,0,610947,368,368,4,0,169,610288
0,0,1935320,222,222,4,0,122,1934724
0,0,216763,325,325,4,0,144,216122
1,0,588625,161,161,3,1,108,587969
1,0,412598,286,286,4,0,44,411981
1,0,463493,102,102,3,1,78,462885
1,0,14001,394,394,4,0,154,13402
0,0,276224,140,140,4,0,80,275592
1,0,602338,323,323,4,0,92,601643
1,0,1845,389,389,2,0,87,1489
0,0,314714,123,123,4,0,25,314181
0,0,1464254,89,89,4,0,96,1463646
1,0,1100102,407,407,4,0,101,1099440
0,0,444695,33,33,4,0,110,444042
0,0,42175,386,386,4,0,150,41594
0,0,1079,130,130,2,0,75,750
0,0,382637,59,59,4,0,158,382086
1,0,35038,306,306,4,0,120,34388
0,0,410050,253,253,4,0,23,409331
1,0,13194,351,351,3,1,104,12661
1,0,641578,83,83,4,0,54,640880
1,0,320021,423,423,4,0,97,319437
0,0,70385,303,303,4,0,159,69732
0,0,2893,384,384,4,0,148,2228
1,0,36160,21,21,4,0,53,35462
1,0,628319,188,188,3,1,63,627354
0,0,978860,281,281,1,1,117,978390
0,0,288480,178,178,4,0,99,287506
0,0,331967,157,157,4,0,133,331098
0,0,467996,366,366,4,0,164,467418
0,0,1344856,203,203,4,0,123,1344239
0,1,340144,413,413,4,0,98,339536
0,0,218124,170,170,4,0,21,217234
1,0,11303,52,52,4,0,75,10641
1,0,12594,202,202,4,0,94,11959
1,0,789660,155,155,4,0,58,789061
1,0,855201,25,25,4,0,170,854569
1,0,873,6,6,4,0,32,262
0,0,16035,344,344,4,0,52,15472
1,0,301818,284,284,4,0,31,301183
1,0,281,11,11,5,0,71,3
0,0,578960,77,77,4,0,114,578253
0,0,1665163,31,31,4,0,151,1664528
1,0,538452,149,149,4,0,117,537880
0,0,278450,249,249,4,0,45,277617
0,0,473006,259,259,4,0,133,472107
1,0,10738,169,169,4,0,130,10142
0,0,15631,124,124,1,1,54,14972
1,0,2130876,105,105,4,0,96,2130250
0,0,750998,205,205,4,0,131,750414
1,0,497850,299,299,4,0,41,497083
1,0,653543,84,84,4,0,54,652923
1,0,698962,98,98,4,0,96,698387
1,0,350824,414,414,2,0,98,350453
1,0,584282,136,136,4,0,6,583626
0,0,425782,145,145,2,0,46,425384
0,0,1183104,328,328,4,0,38,1182499
0,0,160801,403,403,4,0,49,160181
1,0,6106,95,95,4,0,126,5495
0,0,393310,287,287,4,0,10,392783
1,0,514088,298,298,4,0,41,513441
1,0,667099,5,5,4,0,6,666332
0,0,244449,293,293,4,0,119,243556
0,0,223254,294,294,4,0,23,222562
0,0,260483,180,180,4,0,99,259935
0,0,1069989,198,198,4,0,57,1069351
1,0,198335,44,44,4,0,6,197730
1,0,1235855,191,191,2,0,96,1235211
0,0,1109266,398,398,4,0,138,1108595
0,0,6197,387,387,4,0,155,5628
1,0,38888,79,79,4,0,56,38181
0,0,2159962,329,329,4,0,68,2159390
0,0,1411596,23,23,4,0,17,1410949
1,0,2152710,106,106,4,0,161,2152117
0,0,22912,60,60,2,0,130,22523
1,0,2442,290,290,4,0,29,1612
1,0,673589,189,189,4,0,12,672981
0,0,1671935,119,119,3,1,120,1671336
0,0,11230,375,375,4,0,125,10535
0,0,1875155,225,225,4,0,48,1874526
1,0,311313,422,422,4,0,135,310645
1,0,274287,176,176,4,0,98,273715
0,0,433446,210,210,4,0,5,432955
1,0,36542,385,385,4,0,150,35961
0,0,541203,104,104,4,0,63,540331
1,0,375081,122,122,4,0,25,374536
1,0,1134002,408,408,4,0,48,1133424
0,0,1473130,88,88,4,0,27,1472456
0,0,1261581,327,327,3,1,129,1260970
0,0,1121,3,3,4,0,163,531
0,0,405277,144,144,4,0,31,404699
1,0,1581481,220,220,4,0,83,1580900
1,0,1049,289,289,4,0,66,204
1,1,327963,424,424,4,0,97,327337
0,0,1392058,311,311,4,0,166,1391459
0,0,253089,181,181,4,0,21,252442
0,0,897457,278,278,4,0,60,896894
1,0,358436,283,283,2,0,56,358038
1,0,782,48,48,4,0,126,129
1,0,371048,282,282,4,0,98,370350
0,0,1932015,107,107,4,0,96,1931470
1,0,7470,274,274,4,0,126,6853
1,0,76266,285,285,4,0,46,75574
1,0,16265,14,14,4,0,143,15666
1,0,605996,244,244,4,0,6,605367
0,0,332148,411,411,4,0,98,331510
