Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
0,0,301826,244,244,2,0,88,299487
1,0,32772,96,96,1,1,116,29866
1,0,373899,27,27,2,0,27,371611
0,0,736453,77,77,3,0,71,733583
1,1,190552,78,78,2,0,51,188093
1,0,1516533,41,41,2,0,61,1514173
0,0,476728,160,160,2,0,106,474101
1,0,54199,30,30,2,0,46,51578
1,0,988200,208,208,2,0,35,985546
1,0,1062895,235,235,2,0,84,1060310
0,0,246580,85,85,2,0,6,243767
0,0,758419,43,43,2,0,22,756089
0,0,488327,204,204,3,0,23,485541
0,0,322020,238,238,1,1,92,319249
0,0,33755,25,25,2,0,55,30969
0,0,355891,246,246,2,0,116,353552
1,0,993191,42,42,2,0,61,990858
1,0,1150558,194,194,1,1,87,1147775
0,0,1152306,223,223,2,0,115,1149583
0,0,1161129,167,167,2,0,111,1158613
1,0,32977,217,217,1,1,114,30248
1,0,33431,24,24,2,0,97,30843
0,0,184674,4,4,2,0,94,182293
1,0,1757922,190,190,2,0,34,1755496
0,0,553480,175,175,3,0,65,550610
0,0,16153,28,28,2,0,46,13502
1,0,292921,247,247,2,0,119,290183
0,0,256062,180,180,2,0,121,253732
0,0,25495,48,48,2,0,97,22811
1,0,8691,197,197,2,0,30,6085
1,0,180436,214,214,2,0,44,177890
1,0,15222,213,213,2,0,8,12538
0,0,867065,115,115,2,0,71,864531
1,0,1966199,102,102,2,0,40,1963551
0,0,557682,143,143,2,0,106,555076
0,0,1024944,234,234,2,0,84,1022305
0,0,519004,253,253,2,0,74,516413
0,0,1176004,166,166,2,0,104,1173581
1,0,156435,32,32,3,0,84,153649
1,0,447956,178,178,2,0,64,445458
0,0,735391,127,127,2,0,73,733043
0,0,1102343,227,227,2,0,77,1099539
0,0,1314205,88,88,2,0,111,1311887
1,0,1034195,210,210,2,0,5,1031508
1,0,650434,37,37,3,0,38,647633
1,0,1800605,107,107,2,0,73,1797939
1,0,125132,79,79,2,0,47,122370
0,0,17633,20,20,1,1,64,14982
0,0,4209,120,120,2,0,67,1423
0,0,187941,233,233,2,0,37,185287
0,0,1065877,200,200,2,0,110,1063010
0,0,432191,134,134,2,0,18,429708
0,0,536061,258,258,2,0,86,533287
1,0,568671,174,174,2,0,2,566338
0,0,1123469,222,222,1,1,93,1120611
0,0,443238,158,158,2,0,105,440629
0,0,422008,202,202,2,0,33,419294
1,0,86749,153,153,1,1,68,84020
1,0,50888,152,152,2,0,52,48174
0,0,107074,256,256,1,1,72,104540
0,0,622377,39,39,2,0,10,620053
0,0,404953,162,162,2,0,86,402317
1,0,352788,251,251,2,0,110,350182
0,0,185153,22,22,2,0,130,182502
0,0,389747,165,165,1,1,128,387120
0,0,309384,109,109,2,0,121,306937
1,0,585607,80,80,2,0,119,583331
0,0,7162,18,18,2,0,46,4697
0,0,378614,164,164,2,0,86,375975
1,0,23290,219,219,2,0,73,20606
0,0,9867,58,58,2,0,97,7462
0,0,473501,203,203,3,0,122,470631
0,0,1713823,6,6,2,0,85,1711409
0,0,381075,239,239,2,0,18,378301
0,0,14845,45,45,3,0,51,11996
0,0,8092,215,215,2,0,43,5759
1,0,13979,199,199,1,1,0,11352
0,0,1053239,111,111,2,0,3,1050549
0,0,15062,84,84,2,0,46,12438
1,0,1100880,196,196,1,1,39,1098211
1,0,8115,173,173,3,0,45,5269
1,0,379418,171,171,2,0,52,376740
1,0,2047179,186,186,2,0,80,2044399
1,0,665447,72,72,3,0,23,662586
0,0,475012,141,141,2,0,113,472298
0,0,1324430,87,87,2,0,61,1322082
0,0,1156973,237,237,2,0,31,1154469
1,0,9580,198,198,1,1,38,6749
0,0,428427,86,86,3,0,82,425755
1,0,1096585,236,236,2,0,100,1093946
0,0,810651,170,170,2,0,124,808318
0,0,12594,151,151,2,0,46,9967
1,0,9089,218,218,2,0,24,6579
0,0,45075,123,123,1,1,26,42286
1,0,1611964,99,99,1,1,81,1609262
