Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,0,65081,86,86,0,62292,1
1,0,4679,184,184,1,1893,0
1,0,308397,303,303,1,305485,0
1,0,847503,312,312,1,845194,0
0,0,502030,131,131,0,499289,0
1,0,79193,79,79,1,76656,1
1,0,2449,0,0,1,11,0
0,0,7010,291,291,0,4233,1
1,0,491613,134,134,1,488857,1
1,0,56619,316,316,1,53854,1
1,0,3014,96,96,1,228,1
1,0,639965,257,257,1,637563,0
1,0,570499,251,251,1,567725,0
1,0,7457,213,213,1,4911,1
1,0,6673,232,232,1,3815,0
0,0,716265,35,35,0,713932,0
1,0,29749,161,161,1,26915,1
1,0,1133115,271,271,1,1130755,1
1,0,60671,176,176,1,58218,1
1,0,2940,211,211,1,73,1
0,0,8383,218,218,0,7271,0
0,0,17724,293,293,0,14986,1
1,0,13435,273,273,1,10745,0
0,0,359419,73,73,0,357746,0
1,0,510295,141,141,1,507728,1
1,0,628364,101,101,1,625434,0
1,0,504140,268,268,1,500865,0
1,0,12191,231,231,1,9909,1
1,0,848494,162,162,1,847454,0
1,0,492362,27,27,1,490971,0
1,0,236472,222,222,1,233641,0
0,0,782600,205,205,0,781197,0
1,0,7188,125,125,1,4384,0
1,0,8831,111,111,1,6234,1
1,0,654938,252,252,1,652152,0
1,0,984,305,305,1,31,0
1,0,1094,23,23,1,159,1
0,0,24358,274,274,0,21590,0
0,0,1225,52,52,0,1,1
0,0,2772,318,318,0,301,1
0,0,36463,116,116,0,33455,1
1,0,28068,64,64,1,25282,1
1,0,3158,254,254,1,408,1
1,0,2351295,265,265,1,2348338,0
0,0,9939,56,56,0,8926,0
1,0,10214,241,241,1,7875,1
1,0,9052,246,246,1,7148,1
0,0,811998,313,313,0,810235,0
1,0,4342,84,84,1,1385,1
1,0,3790,209,209,1,806,0
1,0,1721524,40,40,1,1718519,1
0,0,2010044,10,10,0,2009265,0
0,0,4119,42,42,0,967,1
1,0,1008775,189,189,1,1006142,0
0,0,66235,247,247,0,64469,1
1,0,556405,239,239,1,554000,1
1,0,8756,145,145,1,5919,1
0,0,4216,133,133,0,1460,1
1,0,430057,186,186,1,427406,0
0,0,1137976,137,137,0,1133828,0
0,0,1204,127,127,0,2,0
0,0,8397,15,15,0,5578,1
0,0,779582,204,204,0,776703,0
1,0,976,20,20,1,2,1
1,0,690828,275,275,1,688522,0
1,0,3258,39,39,1,436,0
1,0,6116,57,57,1,4224,1
1,0,628999,143,143,1,626735,0
1,0,688837,89,89,1,685982,0
1,0,9121,288,288,1,6152,1
1,0,33240,54,54,1,30436,1
0,0,490870,46,46,0,489493,0
1,0,4777,18,18,1,2027,1
