Languages,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,ProCyclingStatsCyclistId,CurrentTeam,CyclistName,Nationality,Birthplace,UciRiderId,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
9,24,39842.0,12843.0,17,140292.0,3,17,2,21,67388.0,58.0,8,23,16,57418.0,2276.0,1,166.0,12
3,16,54758.0,19995.0,20,133760.0,22,20,3,2,81993.0,74.0,13,3,19,77076.0,14902.0,11,179.0,15
5,23,46998.0,16666.0,22,140492.0,23,22,5,5,64680.0,71.0,9,7,21,48356.0,2338.0,3,176.0,13
4,11,56436.0,20917.0,18,156570.0,17,18,4,10,77380.0,78.0,14,0,17,71706.0,9746.0,11,180.0,15
2,9,50824.0,18498.0,6,138830.0,13,6,10,24,63841.0,72.0,11,16,5,58906.0,16154.0,5,187.0,4
0,15,65118.0,23940.0,2,182127.0,7,2,9,7,422863.0,,19,1,2,84375.0,27307.0,12,178.0,15
1,14,47965.0,17988.0,24,138125.0,16,24,1,26,70962.0,74.0,12,17,23,64279.0,8377.0,11,1.85,15
2,4,70678.0,27025.0,8,194068.0,10,8,10,14,101820.0,,24,13,7,120394.0,45349.0,6,178.0,15
4,12,6679.0,2086.0,4,140786.0,1,4,4,18,22143.0,82.0,1,12,3,9414.0,377.0,12,184.0,9
5,3,61538.0,24057.0,10,177672.0,21,10,5,22,91640.0,82.0,22,11,9,79184.0,27099.0,13,193.0,15
5,13,46958.0,13863.0,11,140739.0,11,11,5,17,58761.0,72.0,6,20,10,38022.0,2982.0,3,184.0,11
2,8,53630.0,19651.0,5,168753.0,19,5,0,19,78094.0,61.0,15,10,4,71432.0,16573.0,2,165.0,6
2,18,2747.0,3448.0,15,140768.0,15,15,10,6,32923.0,70.0,2,6,14,16824.0,14.0,12,175.0,8
1,25,58050.0,20184.0,25,135591.0,20,25,1,25,89133.0,72.5,10,5,24,71225.0,19274.0,12,173.0,0
5,6,,26965.0,0,206730.0,24,0,5,0,162997.0,70.0,23,8,0,128820.0,71333.0,11,176.0,15
7,20,26009.0,12193.0,19,140797.0,5,19,7,27,54603.0,78.0,7,24,18,30229.0,784.0,0,184.0,7
9,1,89309.0,29699.0,21,211947.0,0,21,2,3,353375.0,,26,4,20,144923.0,81835.0,7,174.0,15
6,7,,24316.0,1,181239.0,8,1,6,23,97280.0,67.0,21,26,1,104872.0,37281.0,11,186.0,15
4,21,8424.0,6784.0,14,140342.0,18,14,4,1,45024.0,82.0,3,14,13,18093.0,1007.0,12,188.0,10
8,2,69634.0,26526.0,23,194619.0,12,23,8,11,149727.0,66.0,25,22,22,115790.0,45992.0,9,176.0,15
5,19,14372.0,56.0,16,140610.0,24,16,5,9,14262.0,63.0,0,25,15,5274.0,27.0,12,174.0,3
5,10,55719.0,22020.0,7,164213.0,9,7,5,4,86617.0,,18,2,6,77514.0,26504.0,11,183.0,2
2,22,23171.0,7724.0,3,140382.0,14,3,10,16,48815.0,75.0,5,9,2,26590.0,1009.0,2,182.0,5
5,5,89232.0,,12,209985.0,4,12,5,20,301151.0,,27,19,11,154036.0,80489.0,10,194.0,15
9,0,56070.0,20777.0,9,179769.0,18,9,2,13,86568.0,71.0,16,21,8,79781.0,18575.0,4,180.0,15
3,26,62257.0,26197.0,26,181203.0,6,26,3,15,136296.0,65.0,20,15,24,105159.0,38937.0,11,177.0,15
8,17,45487.0,15789.0,13,133565.0,19,13,8,12,55607.0,72.0,4,18,12,62028.0,9234.0,11,183.0,14
1,27,54395.0,20730.0,27,168961.0,2,27,1,8,75859.0,70.0,17,27,25,74709.0,18258.0,8,187.0,1
9,0,56070.0,20777.0,9,179769.0,18,9,2,13,86568.0,71.0,16,21,8,79781.0,18575.0,4,180.0,15
