Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
1,3114645,5,5,4,2,0,3113716
0,11827525,19,19,3,2,0,11825876
1,2584883,3,3,3,2,0,2583168
1,15222966,26,26,3,0,0,15221143
1,2484598,2,2,4,2,0,2482946
1,16536814,29,29,4,2,0,16535087
0,11110825,17,17,4,2,0,11109716
0,19198058,34,34,4,2,0,19196265
0,15208834,25,25,3,5,0,15207657
1,21652250,38,38,4,2,0,21651465
1,8102835,10,10,4,5,0,8101324
1,3408436,6,6,3,2,0,3406694
0,8714764,11,11,3,5,0,8714108
1,13536464,23,23,3,2,0,13535010
0,16035426,28,28,3,3,0,16034275
0,11338656,18,18,4,3,0,11337604
0,5858117,8,8,4,3,0,5857149
1,109749,41,41,2,2,0,108094
1,19719069,36,36,4,2,0,19717789
0,11903031,20,20,4,3,0,11901664
1,13602436,24,24,3,2,0,13600727
1,16940003,31,31,0,2,0,16938267
0,12475698,22,22,4,2,0,12473968
1,19493479,35,35,4,5,0,19491830
0,729313,0,0,4,2,0,727583
1,10013846,14,14,4,6,0,10011450
1,2078700,1,1,4,1,0,2077966
1,17697736,32,32,0,2,0,17696702
0,15966851,27,27,3,2,0,15965034
1,10739420,16,16,4,3,0,10738391
0,21644712,37,37,0,3,0,21643691
0,4856229,7,7,3,5,0,4855079
0,10151192,15,15,4,2,0,10149456
1,9226812,12,12,4,2,0,9225424
0,24170195,40,40,0,2,0,24168318
1,9500152,13,13,3,2,0,9498311
0,2789368,4,4,1,4,1,2788047
1,18084214,33,33,4,2,0,18082439
0,7182424,9,9,3,5,0,7181951
0,12085133,21,21,3,3,0,12083649
1,23930113,39,39,4,3,0,23929616
1,16543225,30,30,0,2,0,16541663
