ViafId,FreebaseId,OfficialWebsite,CommonsCategory
146210387.0,149,0,174
155905425.0,30,23,35
136600716.0,203,204,53
130246329.0,132,122,221
150675140.0,92,202,49
133677400.0,247,169,142
245615266.0,80,0,86
263181452.0,284,229,119
150110906.0,47,0,16
152467680.0,116,252,214
151257487.0,236,21,28
146565993.0,246,132,6
167233507.0,72,86,314
129127119.0,44,138,241
137190084.0,218,130,235
129009914.0,296,71,110
138444676.0,31,182,3
146210387.0,149,0,174
131449915.0,126,111,194
148933771.0,69,190,58
137152383.0,173,142,268
130195798.0,199,139,253
155815338.0,198,235,139
244542798.0,229,276,286
235896525.0,233,175,96
5.118151595778004e+21,187,0,172
6.914464842445348e+19,282,255,233
9.461152200848914e+21,185,0,26
130199357.0,294,198,41
124562170.0,147,135,242
236832424.0,178,93,150
154803923.0,194,100,173
261909586.0,313,12,32
157098389.0,19,214,88
175761035.0,243,212,79
312732044.0,241,185,12
145425277.0,259,143,271
136077614.0,115,113,198
145416817.0,53,11,7
240480701.0,309,1,260
123148388.0,8,56,204
155934080.0,254,164,154
316429670.0,306,0,40
5.118151595778004e+21,187,0,172
141826349.0,168,67,270
133681437.0,6,59,207
150806640.0,0,145,283
128919823.0,200,195,31
146210387.0,149,0,174
130168302.0,192,277,291
144231507.0,151,245,178
125492314.0,270,87,143
141914082.0,138,0,137
148290995.0,95,24,39
7.475148997656461e+21,98,78,128
129609572.0,14,54,203
158263965.0,155,173,232
138347464.0,167,271,269
151705775.0,156,43,34
140721049.0,134,254,225
248116093.0,16,52,209
260718073.0,113,118,212
165356017.0,261,13,9
135561010.0,285,92,148
154773288.0,133,253,230
123162443.0,257,208,258
123281310.0,316,0,172
146578235.0,301,38,121
146598398.0,88,141,46
149845755.0,316,0,211
132598753.0,28,181,2
158415129.0,269,15,158
157098389.0,19,214,88
312803128.0,41,201,292
154758959.0,232,197,37
152458021.0,292,99,171
4.514478295017968e+19,106,189,114
158263965.0,155,173,232
159439709.0,12,60,199
134926349.0,316,0,172
152448610.0,117,251,208
127379211.0,207,44,52
315153102.0,305,33,66
146565993.0,246,132,6
134502681.0,217,156,311
126689312.0,290,70,108
129821845.0,239,205,243
152467680.0,116,252,214
140728002.0,302,39,187
131355070.0,275,98,168
238797102.0,183,146,288
132460416.0,205,129,103
7.144648134480807e+18,103,83,133
263181452.0,284,229,119
155937641.0,81,8,238
141432516.0,263,226,112
211842190.0,137,121,215
153009195.0,154,250,190
158336625.0,140,119,217
1.425145424654787e+21,195,0,315
143089635.0,104,0,172
137913992.0,276,227,113
137152383.0,173,142,268
148932214.0,1,183,5
244334444.0,268,90,295
138394099.0,112,128,229
134870569.0,18,0,222
146499420.0,242,191,24
