Gene_Type,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,419867,28,419010,1
0,1404526,43,1403861,1
0,25097,61,24648,0
0,1795788,47,1795339,1
0,360949,36,360191,1
0,2126663,22,2125983,1
0,106626,2,106183,0
0,1512529,19,1511897,1
0,1801028,84,1800459,0
0,187539,4,186739,0
0,249755,31,248955,0
0,18478,13,17702,0
0,455384,88,454782,0
0,582312,0,581629,1
0,334491,37,333733,1
0,249191,30,247920,0
0,192020,68,191304,0
0,390327,10,389875,1
0,5270,60,4815,1
0,1249825,35,1249373,1
0,541726,15,540743,1
0,260224,51,259535,1
0,1915099,46,1914353,1
0,1266329,78,1265664,0
0,229245,104,228751,0
0,439937,91,439305,0
0,47774,63,46746,0
0,215252,107,214692,0
0,2055769,81,2055320,1
0,241884,25,241294,0
0,404244,65,403621,1
1,187858,11,187097,0
0,1351182,73,1350433,1
0,407069,57,406629,0
0,190450,99,190100,0
0,1500372,20,1500022,0
0,19040,54,18594,0
0,1292754,32,1292116,0
0,873951,9,873346,0
0,491545,93,490745,1
0,447197,92,446745,1
0,1335494,33,1334871,1
1,311877,50,310678,0
0,508560,16,507559,1
0,1480543,79,1479323,1
0,1962152,45,1961658,1
0,2108845,48,2108303,1
0,24241,27,23690,0
0,369901,12,369557,1
0,533902,105,533237,1
0,1327169,34,1326369,0
0,17745,70,16912,1
1,509814,67,509014,0
0,58473,1,57784,0
0,1027295,100,1026840,0
1,374729,76,373830,1
0,258510,77,258202,0
0,981065,39,980400,1
0,3241,97,2789,0
0,2054734,7,2054069,1
0,469905,59,469240,0
0,293595,56,292942,0
0,21345,87,20596,0
0,533360,14,532377,1
0,1188592,74,1187834,1
0,1146722,86,1145835,1
0,30522,85,29761,1
0,2006097,82,2005645,0
0,2046738,8,2046013,1
0,989439,21,989029,1
0,535778,102,534804,1
0,574747,29,573722,0
0,985522,38,984710,1
0,548988,17,548008,1
0,976756,40,976091,1
0,2720,96,1839,0
0,522763,55,521789,1
0,1771495,44,1771046,0
0,434224,90,433772,0
0,25672,62,25139,0
0,835812,95,835600,0
0,1117094,98,1116687,0
0,6198,5,5503,1
0,614408,94,613791,1
0,213832,24,212933,1
0,2014286,49,2013333,1
0,3147,52,2389,1
0,121362,106,120919,0
0,386361,58,385708,0
0,166893,3,166510,1
0,16682,71,16377,1
0,203789,69,203085,0
0,1589372,23,1589025,1
0,1379076,72,1378327,1
0,1474,6,1025,1
0,972438,41,971773,1
0,26420,53,25257,1
0,1129040,101,1128585,1
0,430215,103,429457,1
0,2189977,80,2189303,1
0,4118,26,3549,0
0,45033,89,44497,0
0,576203,42,575301,1
0,930230,64,929781,1
0,1966887,83,1966264,0
0,561672,66,560914,1
0,1125325,75,1124525,1
0,1533448,18,1532690,0
