Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,MemoireDuCyclismeCyclistId,Biography,Nationality,TwitterHandle,BirthPlace,RepresentingCountry,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId
1,14,43388.0,14319.0,15,9,67673.0,140293.0,54517.0,15,8,7,9,8,68367.0,63.0,6,,15,58588.0,2278.0,173.0,10
1,0,46381.0,18610.0,10,2,77168.0,137427.0,56596.0,8,3,9,16,8,71557.0,62.0,9,133837.0,10,63999.0,12474.0,173.0,0
1,1,16289.0,5.0,0,3,470645.0,140924.0,19443.0,14,8,10,8,9,14575.0,61.0,0,103634.0,0,7005.0,38.0,177.0,6
1,8,65688.0,24926.0,6,6,465450.0,198937.0,,5,2,3,18,2,95844.0,60.0,18,,6,100412.0,58275.0,175.0,14
1,16,8783.0,4443.0,18,14,77385.0,140517.0,14122.0,7,7,17,11,8,44439.0,64.0,4,135248.0,18,19060.0,730.0,178.0,7
1,6,22663.0,5789.0,4,5,1529344.0,140869.0,12014.0,2,6,13,10,6,43936.0,69.0,3,126950.0,4,22017.0,713.0,186.0,5
0,12,48143.0,21971.0,12,10,205449.0,168754.0,,6,7,14,6,7,79462.0,,16,145562.0,12,64280.0,16672.0,184.0,13
1,7,56436.0,20917.0,17,1,5649.0,156570.0,67199.0,11,4,0,5,4,77380.0,78.0,12,,17,71706.0,9746.0,180.0,14
1,10,16313.0,3333.0,8,8,134950.0,140752.0,19461.0,1,1,5,7,1,44513.0,74.0,2,126409.0,8,18746.0,150.0,181.0,3
1,9,12980.0,1999.0,5,12,1980.0,140438.0,17159.0,12,5,16,13,5,26925.0,53.0,1,,5,11870.0,452.0,165.0,4
1,18,60759.0,22794.0,7,7,37069.0,168760.0,,14,8,4,1,8,86857.0,61.0,15,,7,81087.0,1527.0,177.0,14
1,11,57262.0,24720.0,9,0,21652.0,185273.0,,4,2,6,14,2,90375.0,69.0,14,,9,67001.0,10916.0,1.71,14
1,17,61775.0,23299.0,11,13,23252.0,164709.0,,14,8,18,17,8,89223.0,68.0,11,,11,72207.0,25726.0,186.0,2
1,4,62259.0,24110.0,2,4,1447.0,181212.0,,10,3,2,0,8,250807.0,,17,,2,94988.0,27301.0,184.0,14
1,15,38259.0,13066.0,13,0,26443.0,140384.0,45665.0,0,0,12,3,0,62919.0,72.0,7,,13,39964.0,2211.0,178.0,9
1,2,22932.0,7530.0,3,0,6335.0,140231.0,28025.0,13,5,11,15,5,46940.0,63.0,5,,3,37173.0,3224.0,170.0,12
1,3,56664.0,20678.0,16,0,20194.0,132382.0,,3,9,15,4,10,72234.0,73.0,10,134003.0,16,66001.0,,1.81,8
1,13,61866.0,23334.0,14,11,160840.0,185156.0,,5,2,8,12,2,97634.0,65.0,13,133265.0,14,100717.0,35077.0,170.0,1
1,5,43344.0,16653.0,1,0,63128.0,140818.0,45469.0,9,3,1,2,3,64670.0,78.0,8,125020.0,1,52068.0,2337.0,181.0,11
