Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,MemoireDuCyclismeCyclistId,Biography,Nationality,TwitterHandle,BirthPlace,RepresentingCountry,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId
0,11,86654.0,29568.0,3,3,,235390,,0,0,2,10,3,148689,,10,,6,154976,88703,184.0,9
0,0,46381.0,18610.0,5,1,77168.0,137427,56596.0,3,2,7,8,3,71557,62.0,7,133837.0,4,63999,12474,173.0,0
0,10,51513.0,17627.0,11,8,69964.0,135523,56613.0,4,2,5,5,0,78566,60.0,6,133843.0,11,60103,6104,183.0,8
0,7,51170.0,11818.0,10,7,9793.0,137745,,6,2,4,4,0,77534,62.0,2,,10,66567,6222,178.0,7
0,6,1661.0,2440.0,2,0,,140780,1272.0,11,6,2,6,5,28331,74.0,0,125750.0,2,10109,790,178.0,4
0,4,,,4,4,,217198,,10,7,0,3,3,404547,,11,,3,155171,96298,,9
0,8,41886.0,13566.0,9,6,128269.0,140495,46784.0,5,2,9,1,3,64917,65.0,3,133840.0,9,53957,2275,184.0,5
0,2,45428.0,16058.0,8,5,4397.0,135188,49006.0,1,1,3,7,3,71677,65.0,5,140887.0,8,55337,6245,180.0,2
0,9,57500.0,21405.0,7,0,,170313,,9,5,2,9,4,86710,65.0,8,,7,82089,17252,180.0,3
0,1,62255.0,24189.0,1,2,5751.0,187231,,2,2,1,2,3,79522,64.0,9,142857.0,1,82930,34011,176.0,9
1,3,46326.0,13153.0,0,0,2084.0,137531,45454.0,8,4,6,0,2,44055,71.0,4,126206.0,0,25006,17940,181.0,6
0,5,42492.0,14209.0,6,0,,140507,1857.0,7,3,8,11,1,53972,66.0,1,,5,28487,7573,180.0,1
