EncodedProtein,ChromosomeId,GenomicStartPosition,OrthologId,GeneDbId,GenomicEndPosition
1,0,4506258,8,158,4507129
1,3,57650,11,184,58482
1,0,4044548,8,146,4045564
1,0,808668,8,6,809644
2,5,1539719,2,198,1540684
1,0,3924162,8,133,3925106
2,0,3478912,3,114,3479864
1,0,2348378,8,59,2348993
1,0,2794433,8,80,2795416
1,0,3878232,8,130,3879177
1,0,2374390,8,66,2375390
1,0,1051429,8,20,1052365
1,8,1538500,13,220,1539502
1,0,2475134,8,68,2476103
2,0,3941590,3,136,3942505
1,0,2371039,8,65,2371632
1,0,1002743,8,16,1003686
1,0,825257,8,9,826044
1,0,2979374,8,97,2980375
1,0,2354884,8,61,2355855
1,0,3133584,8,100,3134531
1,0,1330142,8,36,1330950
1,0,1006603,8,17,1007599
1,0,2839937,8,88,2840902
1,0,3598376,8,118,3598785
2,0,701800,3,0,702779
1,0,2351473,8,60,2352377
1,2,882190,1,178,883344
1,0,3982127,8,143,3983006
1,0,3012883,8,98,3013872
1,0,3173391,8,101,3174298
1,4,59019,10,192,59994
1,0,2826149,8,84,2827124
1,0,1047554,8,19,1048548
1,0,4053370,8,148,4054409
1,0,2567453,8,75,2568455
1,5,1638522,2,207,1639490
1,1,948584,5,169,949235
1,0,4280290,8,153,4281472
1,0,2975048,8,96,2975921
1,0,4269712,8,152,4270736
1,1,1012217,5,171,1012849
1,0,2123632,8,51,2124567
1,0,4088784,8,150,4089689
1,10,3110193,0,227,3111097
1,6,1725811,3,212,1726768
1,0,1368947,8,37,1369830
1,0,4573255,8,160,4574073
1,3,127746,11,187,128626
1,0,2236253,8,53,2237284
1,0,4561270,8,159,4562145
1,0,3946348,8,137,3946818
1,0,2878703,8,91,2879567
1,4,1519281,10,195,1520249
1,0,3937813,8,135,3938451
1,0,1233356,8,31,1234293
2,0,1204738,3,27,1205691
1,0,2479394,7,69,2480301
1,3,120728,11,185,121633
1,0,3604775,8,120,3605579
1,6,1712806,3,209,1713820
2,0,958735,3,13,959824
1,0,2822807,8,83,2823781
1,0,4356532,8,154,4357200
1,5,1617789,2,204,1618754
1,2,834360,1,176,835336
1,0,3470331,8,112,3471297
1,0,4624492,8,161,4624792
1,0,2359047,8,62,2360029
1,0,3990489,8,145,3991057
1,0,712959,8,3,713930
1,0,3075227,8,99,3076129
1,0,3657775,8,124,3658680
1,10,3129888,0,232,3130797
1,0,3192405,8,102,3193314
1,10,34091,0,222,35088
1,10,3095699,0,225,3096667
1,0,3336940,8,107,3337829
1,0,2378994,8,67,2379851
1,0,1217713,8,30,1218576
1,10,3099590,0,226,3100508
1,5,1605587,2,202,1606577
0,0,2948707,8,94,2949277
1,0,3653626,8,123,3654541
1,0,3851292,8,126,3851936
1,6,1721734,3,211,1722743
1,0,4395898,8,156,4396545
1,3,37728,11,180,38718
1,0,2320393,8,58,2321136
1,0,4674023,8,162,4674500
1,0,2563960,8,74,2564895
1,5,1568882,2,200,1569787
1,0,869853,8,11,870727
1,0,1250937,8,34,1251779
1,0,1213213,8,29,1214186
1,0,3634361,8,122,3635309
1,0,4422687,8,157,4423505
1,6,1729945,3,213,1730683
1,0,3948636,8,138,3949671
1,0,1798627,8,47,1799441
1,0,2818421,8,82,2819209
1,2,812738,1,172,813663
1,3,53050,11,183,54050
1,0,1474233,8,40,1474816
1,0,2723008,8,78,2723923
1,5,1629542,2,206,1630504
1,0,3510660,8,117,3511547
1,0,1197318,8,26,1198292
2,2,885423,14,179,886301
1,0,3629473,8,121,3630502
2,4,36216,6,191,37246
1,0,705402,8,1,706356
1,10,3165117,0,234,3166097
1,0,2836889,8,87,2837856
1,8,1526144,13,218,1527077
2,0,3288906,3,106,3289870
1,9,2476,9,221,3289
1,0,2830191,8,85,2831118
1,0,1288988,8,35,1289899
1,0,2276564,8,55,2277459
1,0,3870942,8,128,3871709
1,5,1534863,2,197,1535834
1,5,1622000,2,205,1623017
1,5,1598787,2,201,1599674
1,0,866391,8,10,867371
2,5,1609781,12,203,1610485
1,10,3161514,0,233,3162441
1,0,1208980,8,28,1209985
1,4,32835,10,190,33815
1,0,749314,8,5,750322
1,0,3252689,8,104,3253701
1,0,1237682,8,32,1238650
1,1,40400,5,168,41331
1,0,3962225,8,141,3963135
1,2,817059,1,173,817549
1,7,2227599,4,216,2228516
1,0,3600815,8,119,3601569
1,0,2292070,8,56,2292995
1,0,3486897,8,116,3487893
1,0,3340903,8,108,3341774
2,0,4391482,3,155,4392476
1,0,816237,8,8,817233
1,0,2362303,8,63,2363229
1,10,3125490,0,231,3126460
1,0,2317439,8,57,2318302
1,0,1486532,8,42,1487516
1,5,1530673,2,196,1531659
1,0,3927312,8,134,3928035
1,0,1470038,8,39,1470924
1,0,3261420,8,105,3262281
1,10,3088123,0,223,3089002
1,0,3905933,8,132,3906646
1,0,1134492,8,23,1135405
1,10,3115586,0,228,3116397
2,0,2126698,3,52,2127533
1,0,2516791,8,72,2517420
1,3,49319,11,182,50281
1,3,124273,11,186,125238
1,0,1381870,8,38,1382865
1,5,1565667,2,199,1566639
2,1,1008886,16,170,1009605
1,8,1524684,13,217,1525569
1,2,825971,1,175,826843
1,0,966566,8,15,967539
1,0,1605094,8,43,1605990
1,0,2814647,8,81,2815583
1,10,3121014,0,230,3121885
2,0,1039800,3,18,1040606
1,2,837978,1,177,838943
1,0,3957831,8,140,3958817
1,0,1482386,8,41,1483126
1,4,62796,10,193,63777
1,0,3711781,8,125,3712714
1,0,4768631,8,166,4769513
1,4,1514896,10,194,1515860
1,6,1717211,3,210,1718127
1,0,744707,8,4,745630
1,0,2882695,8,92,2883682
1,0,1859648,8,49,1860672
1,0,3474883,8,113,3475811
1,0,709282,8,2,710413
1,0,3391673,8,111,3392268
1,0,2875871,8,90,2876969
1,0,1612027,8,45,1612962
1,0,3974574,8,142,3975591
1,0,2502987,8,70,2503866
1,3,40986,11,181,41910
1,0,1246604,8,33,1247370
2,0,962347,3,14,963298
1,0,812093,8,7,813072
1,0,4058242,8,149,4058883
1,2,821677,1,174,822698
2,0,1163401,3,24,1164370
1,0,2970900,8,95,2971478
1,0,2731745,8,79,2732709
1,0,2556763,8,73,2557700
1,0,3344054,8,109,3344923
1,0,1855124,8,48,1856079
1,7,573,4,214,1564
1,0,873910,8,12,874894
1,0,2718746,8,77,2719470
1,0,3986148,8,144,3986597
2,4,3357,6,189,4163
1,0,3483913,8,115,3484725
2,0,3882399,3,131,3883348
1,7,15481,4,215,16470
1,0,2120598,8,50,2121499
1,0,1648674,8,46,1649617
1,0,4265571,8,151,4266476
1,0,4738454,8,165,4739055
1,0,4685216,8,163,4685863
1,0,4048793,8,147,4049767
1,0,2240825,8,54,2241711
1,0,1608659,8,44,1609685
1,5,1642894,2,208,1643801
1,10,3091527,0,224,3092504
1,0,1083168,8,22,1084006
1,0,3953625,8,139,3954615
2,0,2509226,3,71,2510002
1,1,37374,5,167,38255
1,10,3119289,0,229,3120182
1,0,3855436,8,127,3856099
1,0,3390208,8,110,3391129
1,0,3874863,8,129,3875858
1,0,2833074,8,86,2834062
1,0,2603329,8,76,2604167
1,4,97,10,188,1066
1,0,3201416,8,103,3202332
2,8,1530570,15,219,1531532
1,0,1079384,8,21,1080374
1,0,4697363,8,164,4698031
1,0,2367171,8,64,2368035
1,0,2929420,8,93,2930278
2,0,1194248,3,25,1195244
1,0,2843538,8,89,2844528
