SportType,HostCountry,OfficialWebsite,MainTemplate,PartOfSeries,EditionNumber,CommonsCategory,GoogleKnowledgeGraphId,MainCategory
1,2,5,0,4,51.0,2,0,11
1,1,3,1,2,101.0,5,7,2
1,1,8,3,7,106.0,8,3,5
1,3,0,0,11,5.0,2,4,11
1,2,6,6,12,,1,7,8
1,1,2,0,0,92.0,4,7,0
1,1,4,0,5,104.0,6,1,3
1,4,7,8,10,,10,7,10
1,1,9,2,6,105.0,7,2,4
1,1,3,1,2,101.0,5,7,2
2,3,0,0,8,75.0,2,6,11
1,1,8,7,12,,3,7,9
1,2,6,6,12,,1,7,8
1,4,7,8,10,,10,7,10
2,3,0,0,8,75.0,2,6,11
1,4,1,0,1,67.0,11,7,1
1,1,0,4,9,107.0,9,5,6
1,3,0,0,11,5.0,2,4,11
1,4,1,0,1,67.0,11,7,1
1,1,0,4,9,107.0,9,5,6
2,3,0,0,8,75.0,2,6,11
1,1,4,0,5,104.0,6,1,3
1,1,8,7,12,,3,7,9
0,0,0,5,3,,0,7,7
1,1,8,3,7,106.0,8,3,5
1,1,4,0,5,104.0,6,1,3
1,2,6,6,12,,1,7,8
1,1,3,1,2,101.0,5,7,2
