Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,155219,154,154,7,0,57,154221,0
1,434666,127,127,2,1,24,433053,0
0,1524263,35,35,16,0,5,1522857,0
0,831522,12,12,17,0,38,830434,1
0,10687,111,111,17,0,57,9590,0
0,1108489,110,110,25,0,53,1107152,1
0,33930,49,49,17,0,64,32737,0
0,340376,74,74,1,0,10,339975,0
0,566165,33,33,20,0,16,564966,0
1,6500,30,30,2,1,25,5433,0
1,496522,95,95,2,1,57,495068,1
0,447552,1,1,0,0,67,446896,0
0,1494962,36,36,5,0,37,1493559,1
0,405983,7,7,1,0,75,405798,0
0,726501,38,38,10,0,5,725125,1
0,1117420,109,109,12,0,21,1116176,1
0,617159,57,57,25,0,72,615924,0
0,1404649,106,106,12,0,15,1403372,0
1,3182,21,21,2,1,36,2247,0
1,553803,92,92,2,1,54,552229,0
0,1359,83,83,0,0,8,532,1
1,492874,56,56,2,1,22,492284,0
0,512575,152,152,21,0,2,511070,0
0,1689293,41,41,24,0,81,1687962,1
0,7259,6,6,0,0,29,6249,0
1,452810,96,96,2,1,57,452175,0
0,68405,136,136,19,0,76,67296,1
0,1047742,141,141,19,0,52,1046660,1
0,526360,149,149,25,0,77,525035,1
0,1898756,45,45,19,0,15,1897875,1
0,1944921,122,122,0,0,15,1944244,0
0,2480,75,75,19,0,4,1071,1
0,437973,97,97,0,0,76,437293,1
0,209311,50,50,4,0,17,208193,1
0,1587887,120,120,10,0,37,1586445,1
1,1867030,44,44,2,1,44,1865636,0
0,15753,10,10,19,0,65,14641,0
0,580857,34,34,25,0,47,579490,0
1,10644,94,94,2,1,38,9307,1
0,367224,148,148,0,0,46,366097,0
0,1267766,61,61,12,0,5,1266495,1
0,1499180,116,116,21,0,33,1497708,0
0,626028,39,39,17,0,34,624868,1
0,290343,73,73,23,0,56,289018,0
0,1172370,108,108,12,0,15,1171051,0
1,411413,90,90,2,1,70,410007,1
0,42426,101,101,17,0,13,41221,0
0,532332,150,150,25,0,59,531106,1
1,1789020,72,72,2,1,20,1787623,1
0,523945,114,114,25,0,76,522770,1
0,601068,113,113,17,0,78,599905,1
0,151073,138,138,19,0,76,149964,0
0,1733432,126,126,23,0,53,1732098,0
1,924253,86,86,2,1,20,923378,1
0,1651899,46,46,17,0,5,1651012,1
0,228042,115,115,17,0,30,226948,0
0,432268,5,5,19,0,71,431189,0
0,1002291,88,88,17,0,4,1001194,0
0,1751668,125,125,5,0,21,1750310,0
0,211061,153,153,5,0,1,209817,0
1,18783,26,26,2,1,73,17596,0
1,65502,29,29,2,1,28,63997,0
0,754771,53,53,26,0,58,753767,1
0,2018230,119,119,17,0,83,2016848,0
0,207419,58,58,0,0,83,207000,0
0,598434,76,76,0,0,44,597786,1
0,1248251,62,62,15,0,5,1246854,1
0,559992,91,91,25,0,0,558766,1
0,231983,84,84,8,0,69,230514,1
0,423600,145,145,19,0,19,422017,0
1,9275,47,47,2,1,3,7716,1
0,2090497,20,20,5,0,18,2089121,1
0,472615,52,52,9,0,65,471425,0
0,412929,51,51,25,0,59,411703,0
0,1933792,4,4,1,0,15,1933010,0
1,1778404,124,124,27,1,27,1777100,1
0,1093548,134,134,18,0,77,1092211,0
0,1741983,15,15,11,0,83,1740772,0
0,437003,65,65,1,0,16,436320,0
0,155993,112,112,22,0,38,154689,1
0,146779,93,93,6,0,44,145715,1
1,379854,80,80,2,1,11,379126,0
1,1015761,64,64,2,1,27,1014583,0
0,1277102,66,66,24,0,37,1275858,0
0,308539,82,82,15,0,51,307640,0
1,52782,135,135,2,1,31,51379,1
1,852,48,48,2,1,43,1,0
0,233697,2,2,0,0,80,233434,1
0,1572694,70,70,17,0,7,1571525,1
1,2053277,19,19,27,1,44,2051877,1
1,597683,128,128,2,1,63,596868,1
1,23787,25,25,2,1,24,22417,0
0,494627,40,40,23,0,60,493452,0
0,1622991,121,121,0,0,37,1622125,1
1,169772,31,31,2,1,9,168840,1
0,1413484,11,11,25,0,53,1412150,0
0,54854,27,27,0,0,4,53844,0
0,2157389,43,43,10,0,26,2156019,0
0,6378,59,59,17,0,4,4900,1
0,439354,102,102,17,0,42,437786,0
1,1072628,132,132,27,1,22,1071504,0
0,211328,151,151,19,0,47,209856,1
0,59441,100,100,19,0,74,58461,0
1,1804221,71,71,2,1,20,1803316,1
0,1506761,117,117,24,0,45,1505442,1
1,1143832,133,133,2,1,22,1142492,0
1,6733,24,24,2,1,64,6122,0
0,12244,28,28,17,0,4,11150,0
0,1420721,69,69,25,0,81,1419405,0
0,67849,99,99,19,0,49,66767,0
0,340851,8,8,0,0,50,340480,0
0,298468,79,79,17,0,12,296987,0
0,586,0,0,1,0,6,2,0
0,1398991,107,107,16,0,15,1398122,0
0,458510,16,16,0,0,30,457881,1
0,899374,77,77,3,0,55,898190,0
0,13267,22,22,0,0,4,11954,0
1,1459767,37,37,2,1,44,1458433,0
0,7956,32,32,22,0,41,6742,1
1,162444,139,139,27,1,31,161326,0
0,484137,81,81,17,0,12,482659,0
1,262696,60,60,2,1,62,261617,0
0,1683736,13,13,17,0,37,1682645,0
0,497535,155,155,0,0,23,496600,0
1,114367,137,137,2,1,32,112967,0
