cellular_location,protein_label,protein_description,protein_family,ref_seq_protein_id,gene_encoded_by,uni_prot_protein_id
0,68,40,1,59,66,59
0,25,22,1,46,22,15
0,23,23,1,41,19,33
0,63,70,1,22,62,69
0,60,68,1,6,59,77
0,19,24,1,10,16,73
0,56,61,1,13,55,72
0,26,19,1,47,23,26
0,18,16,1,51,15,19
0,69,42,1,62,67,46
0,2,71,0,18,76,34
0,0,15,1,25,77,65
0,48,50,1,35,46,53
0,64,1,1,0,0,27
0,46,51,1,7,44,76
0,74,62,1,52,72,20
0,6,8,1,54,4,3
0,32,30,1,32,29,55
0,61,7,1,70,60,43
0,45,32,1,61,43,0
0,70,64,1,12,68,29
0,29,31,1,48,26,17
0,72,46,1,76,70,36
0,28,38,1,58,25,6
0,49,50,1,36,47,52
0,21,27,1,33,17,56
0,9,14,0,56,7,5
0,24,21,1,23,21,67
0,57,55,1,77,56,39
0,13,18,1,65,11,49
0,40,43,1,26,37,64
0,73,54,1,75,71,37
0,38,37,1,3,35,28
0,62,69,1,30,61,57
0,16,11,1,14,2,23
0,4,48,1,5,51,31
0,67,44,1,17,65,71
0,59,67,1,68,58,45
0,47,53,1,29,45,58
0,75,41,1,8,73,75
2,1,4,1,2,74,24
0,65,9,1,4,63,22
2,1,72,1,38,1,66
0,7,8,1,55,5,4
0,14,18,1,66,12,48
0,51,52,1,72,49,41
0,12,17,1,64,10,1
0,50,52,1,71,48,42
0,71,66,1,24,69,61
2,1,2,0,40,1,8
0,39,39,1,60,36,7
0,20,25,1,42,20,11
0,33,34,1,43,30,12
0,15,18,1,67,13,47
0,43,26,1,20,41,68
0,36,57,1,27,33,63
0,31,33,1,49,28,16
0,55,63,1,28,54,62
0,42,45,1,57,40,21
0,34,34,1,44,31,13
0,22,20,1,15,18,74
0,3,47,0,79,38,10
0,10,10,1,34,8,54
0,27,28,1,9,24,78
1,1,3,1,1,74,32
0,66,36,1,37,64,51
0,17,13,1,31,14,60
0,35,35,1,69,32,44
0,52,54,1,74,50,38
0,8,6,1,11,6,70
0,41,49,1,39,39,35
0,30,29,1,53,27,2
0,53,65,1,21,52,79
0,54,58,1,73,53,40
0,11,12,1,63,9,50
0,58,60,1,45,57,14
0,44,59,1,50,42,18
0,5,5,1,78,3,9
0,76,0,0,19,75,25
0,37,56,1,16,34,30
