cellular_location,protein_label,protein_description,protein_family,ref_seq_protein_id,gene_encoded_by,uni_prot_protein_id
0,26,22,1,38,20,33
0,61,66,1,21,58,66
0,58,64,1,4,55,73
0,44,55,1,45,40,18
0,2,68,1,16,73,34
0,28,19,1,42,23,26
0,23,24,1,39,21,13
0,67,39,1,58,64,44
0,72,57,1,48,69,20
0,36,54,1,26,31,61
0,54,59,1,37,51,12
0,33,31,1,44,28,16
0,30,36,1,54,25,7
0,46,48,1,5,42,72
0,13,17,1,60,9,2
0,37,53,1,14,32,30
0,11,9,1,33,7,52
0,59,6,1,67,56,41
0,15,18,1,62,11,47
0,73,38,0,6,70,71
0,31,29,1,43,26,17
0,10,13,1,52,6,6
0,29,27,1,7,24,74
0,24,26,1,32,18,53
0,45,30,1,56,41,0
0,27,21,1,22,22,64
0,74,1,1,17,72,25
0,39,40,1,25,34,62
0,71,51,1,71,68,36
0,38,35,1,1,33,27
0,60,65,1,30,57,54
0,22,23,1,9,17,69
0,5,47,1,3,48,31
0,41,44,1,34,37,29
0,57,63,1,65,54,43
0,48,50,1,29,44,55
0,18,10,1,12,1,24
0,9,5,1,10,5,67
0,34,32,1,40,29,14
2,1,2,1,36,0,9
0,62,8,1,2,59,22
0,14,17,1,61,10,1
0,64,34,1,35,61,51
0,50,49,1,69,46,39
0,17,18,1,64,13,45
0,49,49,1,68,45,40
0,0,14,1,24,74,63
0,21,15,1,47,16,19
0,65,41,1,15,62,68
0,70,43,1,72,67,35
0,69,62,1,23,66,60
0,16,18,1,63,12,46
0,52,61,1,20,49,75
0,56,56,1,41,53,15
0,68,58,1,11,65,28
0,3,0,1,18,75,50
0,53,52,1,73,50,38
0,47,50,1,28,43,56
0,40,45,1,8,35,23
0,19,67,1,57,14,49
0,55,60,1,46,52,8
1,1,3,1,0,71,32
0,8,7,1,51,4,5
0,20,12,1,31,15,59
0,35,33,1,66,30,42
0,51,51,1,70,47,37
0,43,25,1,19,39,65
0,63,16,1,27,60,58
0,66,37,1,55,63,57
0,4,46,1,75,36,11
0,12,11,1,59,8,48
0,25,20,1,13,19,70
0,32,28,1,49,27,3
0,6,4,1,74,2,10
0,42,42,1,53,38,21
0,7,7,1,50,3,4
