STRAND_ORIENTATION,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION
1,23,1786847,66,0,0,1785821
0,24,2175621,227,0,9,2174909
1,12,154819,176,0,6,154022
1,2,2005679,75,1,0,2004696
1,23,545737,18,0,0,544797
0,23,727451,27,0,0,726416
0,11,1764239,163,0,4,1763508
0,24,2196287,229,0,9,2195330
0,17,2659219,246,0,12,2658195
1,2,1528688,55,1,0,1527763
1,5,13907,142,0,2,12933
0,23,3185796,109,0,0,3184809
1,20,1211877,137,0,1,1210906
0,14,2741232,209,1,7,2740189
0,23,3350446,112,0,0,3349469
1,12,69437,173,0,6,68407
0,23,2236648,80,0,0,2235660
0,10,2958958,256,1,12,2958174
0,23,3374873,113,0,0,3373889
0,2,2126124,78,1,0,2125348
0,23,845231,33,0,0,844259
1,9,130190,234,0,10,129258
1,1,148899,264,0,13,147857
0,5,1287410,149,0,2,1286397
0,2,914773,35,1,0,913902
0,23,3087645,107,0,0,3086711
0,20,1317363,140,0,1,1316438
1,23,1775441,65,0,0,1774454
0,10,2604343,243,1,12,2603401
0,23,434763,14,0,0,433749
0,23,240684,6,0,0,239723
1,9,117913,233,0,10,116867
0,3,2700655,208,0,7,2699685
1,23,2708277,92,0,0,2707301
0,23,841681,32,0,0,840713
0,23,694956,25,0,0,693924
1,2,2960312,101,1,0,2959559
1,21,292637,160,1,4,291670
1,23,1701321,62,0,0,1700384
1,12,42295,172,0,6,41246
0,23,312759,8,0,0,311723
0,24,89815,220,0,9,88823
1,9,61311,231,0,10,60333
0,23,2269235,82,0,0,2268255
0,11,1771461,164,0,4,1770454
1,23,1123510,44,0,0,1122552
0,17,2579902,242,0,12,2578929
1,23,2987289,103,0,0,2986294
0,2,407514,12,1,0,406664
1,3,127076,191,0,7,126066
1,15,155111,217,1,8,154099
1,23,3591099,120,0,0,3590238
1,23,3943402,132,0,0,3942518
1,23,1925586,71,0,0,1924600
0,3,2751961,210,0,7,2751003
1,23,566514,19,0,0,565550
1,3,196073,194,0,7,195096
1,1,65837,260,0,13,64781
0,5,1253998,146,0,2,1253021
1,23,605384,20,0,0,604369
1,3,232090,195,0,7,231104
1,23,2664333,90,0,0,2663373
1,23,1989967,74,0,0,1988968
0,3,2663503,207,0,7,2662569
1,23,2811023,94,0,0,2810056
1,23,2825953,95,0,0,2825009
0,17,2885211,252,0,12,2884260
1,23,1962233,73,0,0,1961243
0,23,705383,26,0,0,704423
1,23,1036988,41,0,0,1036017
0,17,2950391,255,0,12,2949454
1,23,1951701,72,0,0,1950744
0,2,621314,22,1,0,620361
1,20,1234677,138,0,1,1233707
1,23,3554822,118,0,0,3554085
1,12,22128,171,0,6,21118
1,23,2580660,85,0,0,2579676
1,2,2687685,91,1,0,2686888
0,5,1261944,147,0,2,1260960
1,2,2923780,98,1,0,2922814
0,22,2218428,230,1,9,2217492
1,1,132449,263,0,13,131407
1,11,194080,158,0,4,193107
0,24,2093905,225,0,9,2092884
1,4,34889,151,0,3,33931
0,24,96817,221,0,9,95832
1,23,3675676,123,0,0,3674736
1,23,1043987,42,0,0,1043027
0,17,2631052,245,0,12,2630098
0,3,2642245,206,0,7,2641489
0,21,1789660,166,1,4,1788675
0,23,3178788,108,0,0,3177802
0,3,2363219,200,0,7,2362256
1,3,162872,192,0,7,161859
0,23,3244723,111,0,0,3243964
0,14,320709,199,1,7,319707
1,13,250517,237,1,10,249557
0,8,1894910,178,1,6,1894237
1,11,278997,159,0,4,278392
1,21,8035,153,1,4,7042
1,21,311627,161,1,4,310667
0,5,1276401,148,0,2,1275562
1,2,613465,21,1,0,612696
0,23,63052,3,0,0,62038
1,23,3192903,110,0,0,3191963
0,24,2083278,224,0,9,2082312
0,17,2922898,253,0,12,2921940
0,23,3411054,114,0,0,3410011
1,1,315605,267,0,13,314638
0,0,1302731,139,1,1,1301798
1,23,3615342,121,0,0,3614358
0,23,2137083,79,0,0,2136116
0,23,829945,31,0,0,828981
0,23,2310802,83,0,0,2309816
1,2,1661637,61,1,0,1660898
0,23,3070241,106,0,0,3069280
1,3,90623,189,0,7,89650
0,22,1975350,222,1,9,1974370
1,23,3781213,126,0,0,3780167
0,12,1987656,180,0,6,1986653
0,17,2410931,239,0,12,2409980
0,23,1227129,48,0,0,1226153
0,22,2191993,228,1,9,2191163
1,23,1896974,70,0,0,1895961
1,8,196537,177,1,6,195815
1,23,2569200,84,0,0,2568416
0,12,2026638,181,0,6,2025643
1,23,2012514,76,0,0,2011537
1,4,143681,152,0,3,142743
0,23,350270,10,0,0,349232
