GeneType,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,407549,143,15,406749,1
0,643595,19,20,642765,1
0,316903,136,4,315689,0
0,190939,254,5,189335,0
0,2187940,195,19,2187290,1
0,1188618,206,15,1187623,0
1,13960,17,28,13361,1
1,432941,216,15,432381,1
0,992655,224,15,991897,1
0,1745136,203,20,1744339,0
0,462427,183,16,461594,0
0,1049347,138,15,1048619,0
0,25566,239,81,24859,1
0,313057,152,16,312338,0
0,4472,229,77,3321,0
0,1057942,137,15,1056725,0
1,15410,240,43,14340,1
0,265338,260,5,264103,0
0,1047,2,21,259,0
0,1222996,114,20,1222181,1
0,1588977,129,18,1588012,0
0,12897,8,25,11857,1
0,997273,225,15,996476,1
0,1062126,210,17,1060936,0
0,363876,163,13,363610,1
0,1075329,5,15,1075195,1
0,261357,61,4,260583,0
0,33929,176,2,32910,1
0,1564778,76,20,1564014,1
0,724125,98,15,723133,1
0,231201,259,5,230431,0
1,445921,22,4,445157,0
1,5205,105,58,4201,1
1,13702,29,45,12743,0
0,227094,23,13,226831,1
0,2202990,67,20,2202343,1
0,77977,43,3,77144,0
0,1905082,71,20,1904309,1
0,2162466,68,20,2161639,0
0,537352,91,15,536177,1
0,11189,50,50,10047,1
0,603523,101,5,602549,0
1,1790,11,26,1116,1
1,884301,144,15,883339,1
0,1639752,130,18,1638709,0
0,153559,247,82,152606,0
0,26139,30,46,25351,1
0,1604402,198,19,1603254,0
0,750678,159,19,750031,1
0,277578,85,15,276769,0
1,1592913,77,20,1591840,1
0,365512,38,4,364310,1
1,25842,212,75,24370,0
0,1675,227,39,854,1
0,375903,37,4,374896,1
0,1153229,252,19,1151997,0
0,712890,95,15,712129,1
0,492438,215,15,491209,0
0,297062,82,15,295851,0
0,826530,16,19,825718,1
0,1474427,53,20,1473666,0
0,387281,14,15,386064,0
1,779639,99,15,778437,0
0,822069,220,15,821287,0
0,38006,211,75,37197,0
1,290434,83,15,289571,0
1,497406,36,4,496306,0
0,499594,262,5,498617,1
1,41345,81,32,40839,0
0,285745,84,15,284939,0
1,2521,117,62,1283,1
1,1131697,178,20,1130438,1
0,301271,154,16,300510,0
0,987733,121,20,987176,1
0,599280,217,15,598465,1
0,8024,103,56,6789,1
0,1218003,115,20,1217665,0
0,18090,104,57,17131,0
0,1221966,188,18,1220947,0
1,2640,180,37,1327,0
1,1247221,189,18,1246121,0
0,3769,3,22,3023,1
0,358168,109,19,357524,0
0,614,51,50,222,1
0,400728,186,16,399566,0
0,510558,263,5,509581,0
0,13082,120,64,12327,1
0,1241990,112,20,1241022,1
0,335,13,27,3,0
0,1022329,226,15,1021526,1
0,1227756,113,20,1227118,1
1,1152958,207,15,1151783,1
1,41773,173,72,40529,1
0,5309,231,79,4047,1
0,1860,168,70,1114,1
0,2202884,194,19,2202237,1
0,1679298,75,20,1678525,0
0,1648331,131,18,1647294,0
0,1694274,72,20,1693627,0
0,531335,182,1,530982,1
0,1070767,208,15,1069991,0
0,375897,27,20,375253,0
0,81801,42,49,80905,1
0,247509,150,16,246700,0
0,13948,33,47,13148,0
0,18040,116,62,16886,0
0,320234,153,16,319014,0
0,402910,142,15,402068,1
1,223492,258,5,222386,0
1,563168,92,15,561921,1
0,1677,79,53,712,1
0,946792,9,15,945539,1
0,2173429,196,19,2172779,1
1,663114,20,20,662260,0
1,477748,126,16,476525,1
0,738,4,23,1,0
0,571633,48,7,570836,0
0,37248,172,72,35989,1
0,251858,25,15,251211,0
1,55904,35,29,55386,1
0,589228,218,15,588062,0
0,684782,59,20,683826,0
0,28969,28,44,28568,0
0,914563,160,19,913814,0
0,195113,158,4,194031,0
0,432927,261,5,431740,0
0,217780,257,5,216641,0
1,1887968,134,19,1886823,0
0,1194158,245,16,1193721,0
0,9906,7,24,8728,1
0,457778,184,16,456996,0
0,1422032,56,20,1421220,0
0,265814,213,12,265029,1
0,749937,97,15,749176,1
0,12102,233,40,11231,0
0,2165485,197,19,2164835,1
0,266241,149,16,265438,0
0,526428,62,6,525421,0
1,667923,96,15,666610,1
1,29439,228,76,28678,0
0,1098330,244,16,1097515,0
0,204825,255,5,203728,0
0,17814,248,82,16873,1
0,1193619,243,16,1192936,0
0,9178,78,31,8375,1
1,7239,193,0,5971,1
0,13009,157,69,11804,0
1,13592,108,60,12324,1
1,3587,169,71,2544,0
0,837722,223,15,837087,0
0,983808,122,20,982858,1
0,1863,110,61,1015,0
0,2097143,200,20,2096334,1
0,1932905,69,20,1932552,0
0,878597,147,15,877761,0
0,1897997,133,19,1897239,0
1,827468,221,15,826311,1
1,489292,90,5,488510,1
1,2901,234,41,1762,0
1,35179,45,14,34406,1
0,1487286,190,18,1486264,1
1,652441,52,8,651695,1
0,15525,118,33,14710,1
0,12388,141,66,11468,0
0,184240,250,4,182630,0
0,12268,249,83,10958,0
0,1428734,55,20,1428093,0
0,13418,156,68,12669,0
0,210588,256,5,209491,0
0,10624,100,55,9845,0
0,5008,12,27,4142,0
0,37518,34,29,36670,0
1,556235,181,1,555144,0
0,255296,148,16,254511,0
0,395123,89,5,394149,0
0,1338,209,38,835,1
0,1034038,251,19,1032938,1
0,7162,237,42,6368,1
0,18784,106,59,18002,0
0,1805,167,35,1182,0
0,1148502,242,16,1147669,0
0,79682,175,14,78918,0
0,1974665,201,20,1973874,0
0,1077230,241,16,1076451,0
0,41608,204,73,40412,1
0,386514,185,16,385279,0
0,15379,232,79,14528,0
0,74539,177,2,73328,0
0,305564,87,15,304740,0
0,23025,139,65,22318,0
0,247162,15,15,246347,0
0,260482,0,4,260114,0
0,663709,111,19,662936,1
0,612409,102,5,611441,0
1,29968,171,72,28721,0
0,1832,65,51,591,0
0,1989097,202,20,1988282,1
1,2102,119,63,1101,1
1,27009,46,30,25858,1
0,1687805,73,20,1687044,0
1,1925877,70,20,1925107,1
0,19059,174,72,18244,0
0,31870,235,42,31118,0
0,1026,238,80,841,1
1,26635,170,72,25832,0
0,18582,63,51,17713,0
0,1447013,54,20,1446237,1
0,1011398,162,19,1010715,0
0,550504,49,7,549704,0
0,2029082,24,20,2027874,1
0,975187,124,20,974237,1
0,30765,31,46,29968,1
0,907521,145,15,906301,0
1,137805,164,13,136807,0
0,486743,60,1,485586,0
1,381597,18,10,380962,0
1,517373,26,15,516597,1
0,1631767,74,20,1631120,0
0,408192,88,5,407215,0
0,10011,40,48,9199,1
0,705599,94,15,704769,0
0,323886,165,12,323095,1
1,76658,41,49,76494,0
0,4632,140,34,3406,1
0,252454,187,4,251303,0
0,658646,93,15,657867,0
0,39296,66,52,38151,0
0,1577124,199,19,1576114,0
0,65754,246,82,64810,1
1,493669,127,16,492404,1
0,17173,230,78,16040,1
1,2556,179,36,1318,0
1,182780,44,13,181743,1
1,613080,214,11,611866,1
0,1968229,132,19,1967444,1
0,970864,125,20,969914,1
1,6002,253,84,5043,0
0,731234,58,20,730422,0
0,1783506,135,19,1782673,1
1,295086,107,13,293887,1
1,745129,166,9,744176,0
0,19523,47,30,18321,1
0,36547,236,42,35690,0
0,422034,21,4,420934,0
1,937169,161,19,936387,1
1,17599,80,54,16553,0
0,979496,123,20,978543,1
0,3650,155,67,2478,1
0,10217,32,46,9084,1
0,23056,205,74,22262,0
0,1471918,192,18,1470884,0
0,416187,128,16,415021,1
0,1522877,191,18,1521903,1
0,832741,222,15,831566,0
0,617253,219,15,616495,0
0,1944141,6,20,1943758,0
0,250812,151,16,249592,0
1,655,1,85,2,1
0,384191,39,4,383100,0
0,749602,57,20,748862,1
0,313431,86,15,312547,0
0,941707,10,15,940901,1
0,23810,64,51,22572,1
0,863354,146,15,862533,0
