GeneType,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
1,1662950,13,18,1661937,1
0,384182,75,7,382887,0
0,1957918,56,20,1956215,0
1,603942,60,16,602953,1
0,1356346,47,20,1354634,1
0,401051,44,6,400292,0
1,411951,35,15,410611,0
0,802557,79,13,801154,0
1,120630,14,3,119065,0
0,2350,5,26,965,0
0,183296,63,4,181743,1
0,96204,71,38,95182,1
1,2122182,2,20,2120788,1
0,434782,74,7,433358,0
1,373406,50,21,371496,1
0,276965,34,2,276033,1
0,2133734,54,19,2133172,1
1,1720929,30,18,1719919,0
1,190053,62,12,189334,0
0,432759,19,9,431323,0
1,428550,43,6,427162,0
0,406809,78,20,405529,0
0,423414,18,9,422794,0
0,488962,26,2,488378,0
1,545819,22,16,544815,0
0,649350,3,20,647746,1
0,1053526,27,20,1052240,1
0,428424,39,7,427006,0
0,532018,81,6,530630,0
1,6897,4,25,5479,0
1,413826,40,7,412408,0
1,1480218,11,20,1478512,1
1,1111176,69,17,1109698,0
0,168069,0,5,166519,0
0,406516,38,7,405110,0
1,5338,42,1,4406,1
1,461547,45,6,460189,0
1,21584,9,11,19890,1
0,489416,6,2,489063,0
0,3277,17,22,1805,0
0,375903,7,2,374896,1
0,445437,41,20,444157,0
1,464293,20,9,462872,1
0,5790,24,30,4375,1
1,17774,66,24,16488,1
0,1623870,29,18,1622425,0
0,1178108,70,17,1176633,0
0,1206373,49,20,1204937,0
0,764059,23,16,762650,0
0,10843,64,35,9875,1
0,2077637,31,19,2076276,0
0,161,65,36,3,1
0,4346,58,33,2898,0
0,807440,72,14,806025,0
1,1613551,55,19,1612028,0
1,486119,28,17,484647,1
0,21672,12,29,20227,1
0,848504,1,19,847224,1
0,1885991,15,20,1884423,1
0,229325,57,8,227910,0
0,42175,59,34,40730,0
0,1861827,33,19,1860490,0
1,2138530,53,19,2137184,1
1,6645,68,37,5179,1
1,401095,21,10,399644,0
1,440871,73,7,439477,0
0,129767,80,0,128835,0
0,1181813,52,18,1181490,1
1,377047,76,7,375671,0
0,407538,25,0,407386,1
1,395492,77,7,394080,0
1,19699,10,28,17999,0
1,1461,37,32,1,0
0,1673448,16,20,1672462,0
0,56906,8,27,55425,1
1,5370,61,23,3925,0
1,587224,82,6,585836,0
0,1876953,32,19,1875676,0
0,1345315,48,20,1343381,1
1,385849,46,6,384458,0
0,18574,36,31,17966,0
0,1142020,51,18,1140743,0
0,39044,67,37,37485,1
