Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,1097,13,13,7,55,1
1,30308,53,53,6,10,27168
1,81368,21,21,2,83,80808
0,763,10,10,1,24,5
0,703218,19,19,8,26,701626
1,5286,82,82,2,29,4336
1,93861,100,100,2,50,92599
0,716461,49,49,6,51,713525
0,581462,112,112,5,23,578019
0,212280,148,148,8,31,211864
0,38881,133,133,2,59,36347
0,297517,81,81,6,87,294389
1,83014,122,122,8,90,81473
1,720,141,141,8,27,1
0,666404,22,22,8,25,665952
1,30302,0,0,2,86,29316
1,5807,131,131,2,34,3882
1,118859,98,98,2,35,115842
0,9728,42,42,6,40,6585
0,12029,47,47,8,88,11478
0,315827,126,126,6,79,312663
1,4234,78,78,2,45,3116
0,99546,110,110,2,27,97369
1,32123,59,59,2,51,29739
0,929052,124,124,2,86,925927
1,4123,90,90,5,1,1628
0,116617,56,56,6,44,113450
0,8113,65,65,2,91,5945
1,4229,138,138,6,52,1371
1,33235,7,7,8,78,30782
0,1206,16,16,8,87,1
0,789292,97,97,2,10,788021
1,53098,127,127,2,23,49949
1,99066,113,113,2,82,97825
0,318588,153,153,6,43,315535
0,1289,11,11,8,92,3
1,546,143,143,8,63,1
1,383983,5,5,2,60,383429
0,213521,149,149,2,51,212382
1,57661,44,44,2,57,55166
1,74545,151,151,2,68,72053
0,8781,28,28,2,49,5653
0,599,1,1,7,32,3
1,81855,146,146,6,14,78709
1,341238,29,29,2,73,338959
0,227216,79,79,8,69,225387
0,5181,105,105,2,88,4192
1,99079,54,54,2,3,97820
1,35758,6,6,7,78,35156
1,46653,88,88,2,17,44743
0,521345,25,25,6,56,518232
1,54155,58,58,6,38,50976
1,96937,121,121,2,62,96035
0,1771,20,20,8,17,5
0,9252,128,128,8,80,7177
1,1005,18,18,8,64,1
0,573456,48,48,2,31,572590
0,632799,51,51,6,69,629461
0,1017672,50,50,2,11,1015075
1,1291,14,14,8,93,11
1,55385,130,130,6,54,52233
0,6751,106,106,2,91,5450
1,3425,119,119,2,67,855
1,68231,99,99,6,74,65097
0,750258,9,9,7,70,748432
1,153763,103,103,5,53,151067
0,307836,152,152,8,43,304756
1,13944,63,63,5,0,11467
1,43791,72,72,6,78,40663
0,100486,55,55,2,46,98009
1,1126783,132,132,5,13,1124243
1,4790,125,125,6,19,1644
0,304,129,129,7,81,2
1,30678,115,115,7,42,29548
0,642289,108,108,6,49,639173
1,40231,111,111,7,15,38468
1,704,15,15,3,16,18
0,701522,70,70,2,34,698580
1,33620,87,87,6,68,30504
0,673825,84,84,2,73,670661
0,782421,64,64,2,73,781378
0,100844,35,35,7,71,99663
1,506465,73,73,2,41,504186
0,559272,83,83,6,54,556483
1,4270,38,38,5,84,1799
0,673601,76,76,2,80,670680
0,429068,85,85,6,85,425925
1,484,140,140,8,60,2
1,7065,69,69,2,74,6076
0,506906,101,101,0,87,503742
1,28960,2,2,2,86,27503
1,1651,95,95,2,14,830
0,302755,61,61,8,43,301802
0,1330,12,12,8,65,2
0,492209,24,24,2,82,489726
0,704396,17,17,8,46,703461
1,7840,68,68,2,8,6842
1,24175,39,39,6,18,21059
0,1482,107,107,2,44,1
0,3560,33,33,2,5,861
1,40333,120,120,6,22,37199
1,6322,46,46,6,18,3197
0,694715,135,135,2,34,691713
0,201983,147,147,2,51,197949
0,232598,155,155,2,31,230508
1,52289,86,86,6,9,48939
0,796646,62,62,2,10,794730
0,762911,104,104,2,34,760413
0,1815,94,94,2,52,1
1,11460,144,144,7,71,9091
0,767496,96,96,2,10,766105
1,341160,156,156,2,86,338881
0,135805,157,157,6,28,132644
0,326955,34,34,6,10,323962
1,2735,80,80,2,60,246
1,4884,52,52,2,72,1753
0,562767,60,60,6,57,559651
0,720169,30,30,6,50,717008
1,11360,92,92,6,44,8184
0,1011,8,8,8,38,1
0,7732,66,66,6,37,4595
0,696,116,116,7,80,1
1,552643,118,118,2,28,550361
0,225838,93,93,6,33,222980
1,5115,57,57,5,37,2545
0,296392,26,26,6,51,293633
1,36371,142,142,2,58,34218
0,220362,117,117,5,10,217744
0,532553,154,154,2,6,531252
0,772874,150,150,6,81,769737
0,638513,74,74,2,42,636579
0,685611,71,71,2,30,683131
1,40751,43,43,2,66,38379
1,5438,139,139,7,71,3198
1,8449,123,123,6,75,5315
1,37772,136,136,6,61,34755
0,11809,40,40,2,77,9641
0,8362,134,134,2,89,5834
1,96112,114,114,6,13,92984
1,6579,67,67,2,8,5257
1,16287,37,37,2,12,13156
1,371763,4,4,9,39,371065
1,3141,91,91,7,32,982
1,5564,41,41,2,35,2433
0,567659,27,27,1,18,567123
0,634208,32,32,8,2,633441
1,34862,89,89,1,7,34431
0,742903,102,102,2,76,741965
1,11203,45,45,2,57,8075
0,12199,145,145,2,36,10430
0,631461,75,75,2,42,630235
1,2165,137,137,7,21,1
0,676357,31,31,2,94,675068
1,46094,77,77,5,61,43491
1,301337,23,23,2,4,298548
1,48145,3,3,4,20,47690
1,11508,109,109,5,47,8902
0,1015710,36,36,6,48,1014604
