Profession,Nationality,ProfileImage,Birthdate,CycleBaseCyclistId,CqRankingMaleCyclistId,FirstName,FirstCyclingRiderId,CommonsCategory,GoogleKnowledgeGraphId,InstagramHandle,ProCyclingStatsCyclistId,Birthplace,UciRiderId,CyclistDescription,CyclingArchivesCyclistId
1,2,4,12,69978.0,26420.0,2,53723,1,5,1,198040,0,500320,3,70760
1,3,10,11,,,9,51048,8,9,0,198368,2,153628,7,127527
0,0,9,3,47965.0,17988.0,17,8377,17,11,9,138125,18,70962,1,64279
1,10,13,15,,28057.0,12,68206,11,7,8,204401,17,159567,0,123074
1,4,8,7,58625.0,22713.0,8,28738,7,13,5,136188,7,89728,10,79968
1,5,12,10,58428.0,21992.0,11,16793,10,13,11,168776,15,86895,5,77835
1,6,1,17,82827.0,30643.0,14,97547,14,6,10,217465,13,227110,6,151350
1,0,11,2,43343.0,18233.0,10,5059,9,13,6,140123,12,68235,1,52559
1,6,16,4,51744.0,19238.0,7,7720,6,13,0,138396,1,72932,6,66031
1,2,3,5,52844.0,19391.0,0,7572,0,12,7,132228,10,75144,4,61758
1,7,2,16,86609.0,28846.0,5,76245,4,4,3,208366,8,235075,9,143505
1,0,18,8,54395.0,20730.0,18,18258,18,13,14,168961,5,75859,1,74709
1,9,15,9,,,1,17008,13,3,0,168764,16,86658,12,111391
1,0,5,18,92428.0,32221.0,3,113439,2,10,4,238711,11,490235,1,130986
1,6,6,6,,22596.0,4,27151,3,1,2,160904,6,98176,6,100256
1,1,14,13,,26354.0,13,68291,12,8,0,205564,14,160945,2,125268
1,3,17,0,41886.0,13566.0,15,2275,15,13,12,140495,4,64917,8,53957
1,8,0,14,69634.0,26526.0,16,45992,16,2,13,194619,9,149727,11,115790
1,0,7,1,,22005.0,6,28169,5,0,0,135527,3,93662,1,78283
