Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,TwitterUsername,Birthplace,UciRiderId,WeightKg,Birthdate,SportsTeam,LastName,FirstName,CyclingArchivesCyclistId,LanguagesSpoken,FirstCyclingRiderId,EventsParticipated,HeightCm,SportCountry
0,4,69978.0,26420.0,1,,198040,1,5,1,500320.0,,19,12,4,1,70760,6,53723,10,177.0,8
0,13,57092.0,21128.0,7,3162.0,162969,7,14,10,76315.0,64.0,12,3,8,7,76333,6,16578,7,180.0,1
0,8,50317.0,18455.0,0,2094.0,138294,0,0,4,68778.0,70.0,8,1,5,0,61900,6,6230,3,175.0,7
1,10,39287.0,13240.0,6,66281.0,140835,6,12,13,55029.0,67.0,0,8,20,6,21075,5,1310,13,178.0,6
0,12,,21504.0,15,2276.0,132346,15,4,22,86696.0,71.0,11,6,10,15,72663,4,16817,13,183.0,8
0,17,46998.0,16666.0,21,22458.0,140492,21,18,8,64680.0,71.0,4,20,3,21,48356,5,2338,1,176.0,6
0,19,57472.0,21342.0,18,317302.0,178184,18,7,9,91656.0,62.0,10,2,10,18,66785,6,23097,12,170.0,5
0,14,58116.0,22910.0,19,15237.0,170625,19,16,7,99713.0,78.0,14,10,10,19,81488,3,27111,2,186.0,8
0,22,66570.0,27708.0,23,,202331,23,8,15,109775.0,58.0,20,21,12,23,119805,2,65025,10,170.0,10
0,20,39842.0,12843.0,13,1311517.0,140292,13,3,20,67388.0,58.0,3,4,14,13,57418,9,2276,0,166.0,3
0,6,38255.0,16936.0,12,,133702,12,5,2,58398.0,,5,19,2,12,52226,5,6227,10,184.0,6
0,1,89309.0,29699.0,20,,211947,20,5,3,353375.0,,21,0,0,20,144923,9,81835,9,174.0,3
0,11,49621.0,18313.0,10,3871.0,133720,10,6,21,70623.0,70.0,7,3,13,10,57216,6,8388,7,182.0,1
0,9,69190.0,25740.0,9,,196424,9,9,11,112082.0,,17,15,19,9,115868,0,38195,10,175.0,4
0,0,83296.0,29828.0,8,,208539,8,5,14,165041.0,63.0,23,16,21,8,113260,6,76474,10,171.0,2
0,7,65453.0,26508.0,4,,195739,4,5,16,150923.0,69.0,18,7,7,4,113772,6,48539,10,183.0,11
0,18,,24346.0,22,,179111,22,5,0,100931.0,,16,9,22,22,107949,2,37376,8,183.0,8
0,5,,,2,,242423,2,1,6,667300.0,,24,6,18,2,148733,3,112241,11,,8
0,21,,22744.0,14,1543.0,132419,14,15,5,747569.0,68.0,13,5,16,14,70980,6,16576,13,180.0,0
0,16,56041.0,20719.0,16,127549.0,174582,16,17,19,88889.0,65.0,2,18,15,16,72449,8,18655,6,177.0,8
0,3,52879.0,19448.0,11,15757.0,132428,11,2,17,73817.0,,9,17,9,11,71390,6,7695,5,184.0,8
0,24,58050.0,20184.0,24,,135591,24,5,23,89133.0,72.5,6,18,1,24,71225,1,19274,13,173.0,2
0,23,70754.0,29492.0,5,,227948,5,11,12,236644.0,,22,13,17,5,134569,6,82572,10,173.0,8
0,15,63024.0,23763.0,3,2760.0,193292,3,10,18,97805.0,66.0,15,14,11,3,108136,6,42186,4,188.0,8
0,2,43386.0,14310.0,17,35954.0,140509,17,13,24,53804.0,62.0,1,11,6,17,36343,7,3991,0,173.0,9
