Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,TwitterUsername,Birthplace,UciRiderId,WeightKg,Birthdate,SportsTeam,LastName,FirstName,CyclingArchivesCyclistId,LanguagesSpoken,FirstCyclingRiderId,EventsParticipated,HeightCm,SportCountry
0,5,49271.0,17944,6,,140513,6,5,13,62805,64.0,6,14,12,7,38091,6,2980,5,171.0,7
0,16,57474.0,18529,14,,127553,13,5,15,88548,,10,14,15,13,62109,3,22007,5,,5
1,8,48135.0,17635,8,,140634,8,5,7,53903,74.0,3,5,9,9,38067,3,3118,7,182.0,3
0,1,43344.0,16653,0,63128.0,140818,0,0,2,64670,78.0,9,2,3,1,52068,1,2337,0,181.0,1
0,11,,9984,13,,135897,16,5,9,33917,,2,9,5,16,33661,5,3190,5,165.0,5
0,14,52044.0,20798,9,9184.0,132438,9,4,3,86938,70.0,15,8,13,10,71789,2,16643,4,183.0,2
0,12,41076.0,13362,16,56034.0,139405,15,6,16,65995,70.0,7,1,1,15,51551,4,3277,6,177.0,6
0,3,,19953,2,9081.0,137740,2,3,11,81980,76.0,12,0,6,3,77405,1,14737,2,189.0,1
0,13,51744.0,19238,4,38200.0,138396,4,2,0,72932,70.0,13,11,4,5,66031,4,7720,2,177.0,4
0,6,43348.0,18287,7,,137562,7,5,12,68745,,11,12,7,8,61619,0,4778,1,174.0,5
0,4,39238.0,13078,3,10240.0,140385,3,7,14,284170,66.0,5,13,2,4,22432,3,780,7,182.0,3
0,10,,26538,12,1853.0,185254,12,10,1,748933,,16,3,14,12,106065,6,38229,3,,5
1,7,39287.0,13240,5,66281.0,140835,5,8,8,55029,67.0,4,6,16,6,21075,3,1310,7,178.0,3
1,9,13512.0,3347,10,15367.0,140776,10,9,4,896277,68.0,0,10,10,0,16686,4,624,7,175.0,5
0,2,52673.0,19070,1,13561.0,137769,1,1,5,79921,,8,4,0,2,71836,6,7639,7,178.0,5
0,15,54985.0,20147,11,,137832,11,5,10,75279,69.0,14,7,11,11,66493,4,10920,5,176.0,0
0,0,14093.0,5098,15,,140811,14,5,6,46139,67.0,1,13,8,14,20001,3,1579,6,180.0,3
