PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,INSTAGRAM_HANDLE,PRO_CYCLING_STATS_CYCLIST_ID,NATIONALITY,TWITTER_HANDLE,BIRTHPLACE,UCI_RIDER_ID,BIRTH_DATE,SPORTS_TEAM,LAST_NAME,FIRST_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,EVENTS_PARTICIPATED,HEIGHT_CM
0,24,,32766.0,20,1,262232,3,2,1,685146.0,24,5,5,20,14,155297,126678.0,11,177.0
0,12,,13661.0,13,0,125431,7,4,12,81142.0,3,14,6,12,1,36976,5018.0,6,
0,11,65209.0,23425.0,14,0,176686,7,5,12,100233.0,16,8,7,13,5,87208,27230.0,4,179.0
0,16,58116.0,22910.0,21,16,170625,3,20,2,99713.0,13,9,13,21,15,81488,27111.0,2,186.0
0,3,,21930.0,3,0,171075,5,12,22,94033.0,12,15,2,2,6,89029,31208.0,8,194.0
0,20,58495.0,22516.0,4,0,168779,12,7,21,86813.0,14,6,10,3,2,78350,16783.0,10,181.0
0,0,69634.0,26526.0,22,17,194619,10,8,8,149727.0,20,11,15,22,10,115790,45992.0,9,176.0
0,2,52038.0,20697.0,1,2,156131,4,0,17,86630.0,8,3,1,0,16,68186,20584.0,5,180.0
0,12,,13661.0,13,0,125431,7,4,12,81142.0,3,14,6,12,1,36976,5018.0,6,
0,5,14221.0,333.0,15,11,140862,11,6,15,24447.0,0,0,19,14,16,9905,,0,186.0
0,19,40879.0,10276.0,2,3,139967,0,7,10,44437.0,2,21,13,1,16,18003,1987.0,10,176.0
0,21,47214.0,16722.0,24,18,140674,0,9,18,64531.0,6,12,22,24,16,52973,6228.0,14,183.0
0,6,62165.0,23497.0,8,7,168768,11,16,4,86585.0,15,4,4,7,3,74156,11828.0,13,183.0
0,17,26009.0,12193.0,18,14,140797,9,19,23,54603.0,5,1,17,18,16,30229,784.0,0,184.0
0,24,,32766.0,20,1,262232,3,2,1,685146.0,24,5,5,20,14,155297,126678.0,11,177.0
0,15,57077.0,,11,0,177049,8,7,3,,10,23,16,10,11,67563,18601.0,10,175.0
0,14,24206.0,3617.0,0,0,140392,6,7,20,32602.0,1,2,13,16,16,21036,3160.0,12,
0,16,58116.0,22910.0,21,16,170625,3,20,2,99713.0,13,9,13,21,15,81488,27111.0,2,186.0
0,0,69634.0,26526.0,22,17,194619,10,8,8,149727.0,20,11,15,22,10,115790,45992.0,9,176.0
1,10,39287.0,13240.0,6,6,140835,4,14,7,55029.0,4,7,21,5,16,21075,1310.0,13,178.0
0,8,69190.0,25740.0,10,9,196424,2,11,6,112082.0,19,18,20,9,9,115868,38195.0,10,175.0
0,1,82827.0,30643.0,17,13,217465,5,7,16,227110.0,23,19,9,17,12,151350,97547.0,10,184.0
0,4,62573.0,23503.0,5,4,181270,1,13,19,92264.0,17,22,11,4,0,91205,27124.0,3,174.0
0,4,62573.0,23503.0,5,4,181270,1,13,19,92264.0,17,22,11,4,0,91205,27124.0,3,174.0
0,18,83295.0,28377.0,19,15,212377,0,1,0,587366.0,22,17,3,19,13,141854,84019.0,10,171.0
0,9,62729.0,23558.0,12,10,181257,2,17,9,97437.0,11,13,0,11,7,101407,27121.0,7,192.0
0,22,66570.0,27708.0,23,19,202331,12,10,13,109775.0,21,24,14,23,8,119805,65025.0,10,170.0
0,13,55710.0,21145.0,16,12,132339,10,18,11,86863.0,9,20,12,15,16,71405,16687.0,14,185.0
0,23,49495.0,23426.0,7,5,177246,5,15,5,87061.0,18,16,8,6,4,88470,37748.0,10,181.0
0,7,43343.0,18233.0,9,8,140123,0,3,14,68235.0,7,10,18,8,16,52559,5059.0,1,186.0
