PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,INSTAGRAM_HANDLE,PRO_CYCLING_STATS_CYCLIST_ID,NATIONALITY,TWITTER_HANDLE,BIRTHPLACE,UCI_RIDER_ID,BIRTH_DATE,SPORTS_TEAM,LAST_NAME,FIRST_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,EVENTS_PARTICIPATED,HEIGHT_CM
1,6,,26392.0,4,6,193131,1,1,10,148275.0,14,1,13,6,6,89152.0,45363,1,176.0
1,18,,28641.0,0,0,202338,1,1,4,156896.0,17,4,9,1,13,106043.0,65033,4,185.0
1,16,,20893.0,10,0,169988,1,1,11,86385.0,7,15,12,12,3,78474.0,18574,4,194.0
1,0,,18687.0,8,0,131487,7,1,16,,3,14,8,10,7,65900.0,11833,4,185.0
1,2,69669.0,27085.0,2,3,195027,1,2,5,107713.0,15,4,15,3,4,87369.0,47124,4,174.0
1,7,41095.0,10467.0,5,0,140713,1,6,13,58657.0,1,13,12,7,18,36298.0,1276,8,185.0
0,12,48143.0,21971.0,12,9,168754,6,8,8,79462.0,8,0,18,14,18,64280.0,16672,4,184.0
1,9,49291.0,16898.0,6,0,138803,2,1,14,499064.0,0,16,6,8,18,58966.0,8094,2,
1,14,39752.0,12221.0,16,0,134345,5,1,3,60645.0,2,12,14,17,18,38698.0,1011,0,188.0
1,17,,24180.0,13,0,177670,1,1,2,100912.0,11,4,10,15,11,78386.0,37996,4,
1,13,,,14,5,208282,1,1,1,164885.0,19,4,12,5,10,113385.0,76168,4,
0,5,47965.0,17988.0,19,10,138125,1,1,20,70962.0,4,5,11,20,17,64279.0,8377,4,1.85
1,13,99254.0,32965.0,14,0,270752,4,1,19,289748.0,21,17,12,0,15,176055.0,139667,6,
1,19,,30055.0,9,0,207955,2,1,12,,18,2,1,11,14,140468.0,75481,5,
1,10,65241.0,25655.0,18,2,184674,1,9,17,111330.0,13,4,3,19,9,92388.0,37427,4,174.0
1,13,,31233.0,14,11,216450,1,3,18,649464.0,20,10,17,21,16,121555.0,94823,7,189.0
1,1,66060.0,25102.0,17,0,193170,8,1,9,109588.0,9,6,16,18,12,76166.0,42868,4,
1,15,62218.0,22702.0,3,4,165607,2,5,0,98505.0,6,3,5,4,1,77824.0,32892,3,170.0
1,3,,21930.0,1,0,171075,6,4,21,94033.0,10,7,2,2,2,89029.0,31208,1,194.0
1,11,65469.0,24924.0,11,8,186507,5,7,15,109737.0,12,9,7,13,8,120486.0,38481,2,202.0
1,8,71992.0,26637.0,7,7,201838,0,1,6,111683.0,16,11,4,9,5,125323.0,61988,4,176.0
1,4,56436.0,20917.0,15,1,156570,3,0,7,77380.0,5,8,0,16,0,71706.0,9746,4,180.0
