StrandOrientation,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
0,1097,13,13,0,50,1
1,30308,54,54,0,2,27168
1,81368,21,21,1,21,80808
0,763,10,10,0,51,5
0,703218,19,19,0,35,701626
1,5286,83,83,1,74,4336
1,93861,101,101,1,31,92599
0,716461,50,50,0,37,713525
0,581462,113,113,0,4,578019
0,212280,148,148,0,10,211864
0,38881,134,134,1,85,36347
0,302755,63,63,0,13,301802
1,83014,123,123,0,21,81473
1,720,141,141,0,91,1
0,666404,22,22,0,23,665952
1,30302,0,0,1,30,29316
1,5807,132,132,1,25,3882
1,118859,99,99,1,9,115842
0,9728,43,43,0,66,6585
0,12029,48,48,0,68,11478
1,6579,70,70,1,15,5257
1,4234,79,79,1,72,3116
0,100844,35,35,0,11,99663
1,32123,61,61,1,10,29739
0,929052,125,125,1,30,925927
1,4123,91,91,0,75,1628
0,297517,82,82,0,13,294389
0,8113,67,67,1,69,5945
1,4229,138,138,0,88,1371
1,33235,7,7,0,9,30782
0,1206,16,16,0,52,1
0,789292,98,98,1,28,788021
1,53098,128,128,1,33,49949
1,99066,114,114,1,1,97825
0,506906,102,102,0,13,503742
0,1289,11,11,0,48,3
1,546,143,143,0,93,1
1,383983,5,5,1,45,383429
0,213521,149,149,1,10,212382
1,57661,45,45,1,40,55166
1,74545,151,151,1,8,72053
0,8781,28,28,1,58,5653
0,599,1,1,0,57,3
1,81855,146,146,0,10,78709
1,341238,29,29,1,4,338959
0,227216,80,80,0,42,225387
0,5181,106,106,1,78,4192
1,99079,55,55,1,2,97820
1,35758,6,6,0,9,35156
1,46653,89,89,1,37,44743
0,521345,25,25,0,1,518232
1,54155,60,60,0,10,50976
1,96937,122,122,1,29,96035
0,1771,20,20,0,54,5
0,9252,129,129,0,84,7177
1,1005,18,18,0,53,1
0,573456,49,49,1,3,572590
1,552643,119,119,1,19,550361
0,1017672,51,51,1,33,1015075
1,1291,14,14,0,55,11
1,55385,131,131,0,0,52233
0,6751,107,107,1,78,5450
1,3425,120,120,1,83,855
1,68231,100,100,0,22,65097
0,750258,9,9,0,37,748432
1,201286,39,39,1,20,199007
0,313484,153,153,0,13,310344
1,13944,65,65,0,43,11467
1,43791,74,74,0,9,40663
0,116617,57,57,0,12,113450
1,1126783,133,133,0,38,1124243
1,4790,126,126,0,62,1644
0,304,130,130,0,63,2
1,30678,116,116,0,9,29548
0,642289,109,109,0,8,639173
1,40231,112,112,0,81,38468
1,704,15,15,0,56,18
0,701522,73,73,1,25,698580
1,33620,88,88,0,37,30504
0,673825,85,85,1,25,670661
0,782421,66,66,1,25,781378
0,100486,56,56,1,12,98009
0,632799,52,52,0,18,629461
0,559272,84,84,0,39,556483
1,4270,38,38,0,41,1799
0,673601,77,77,1,26,670680
0,429068,86,86,0,24,425925
1,484,140,140,0,90,2
1,7065,72,72,1,71,6076
0,532553,154,154,1,13,531252
1,28960,2,2,1,30,27503
1,1651,96,96,1,61,830
0,307836,152,152,0,13,304756
0,1330,12,12,0,49,2
0,492209,24,24,1,1,489726
0,704396,17,17,0,35,703461
0,225838,94,94,0,16,222980
1,24175,40,40,0,46,21059
0,1482,108,108,1,79,1
0,3560,33,33,1,64,861
1,40333,121,121,0,83,37199
0,296392,26,26,0,14,293633
0,694715,136,136,1,25,691713
0,201983,147,147,1,10,197949
0,232598,155,155,1,3,230508
1,52289,87,87,0,37,48939
0,796646,64,64,1,28,794730
0,762911,105,105,1,25,760413
0,1815,95,95,1,77,1
1,11460,144,144,0,94,9091
0,767496,97,97,1,28,766105
1,341160,156,156,1,3,338881
0,135805,157,157,0,5,132644
0,458580,59,59,1,17,455587
1,2735,81,81,1,73,246
1,4884,53,53,1,45,1753
0,562767,62,62,0,6,559651
0,720169,30,30,0,22,717008
1,11360,93,93,0,76,8184
0,1011,8,8,0,47,1
0,7732,69,69,0,70,4595
0,696,117,117,0,82,1
1,153763,104,104,0,20,151067
0,329442,68,68,0,16,326975
1,5115,58,58,0,37,2545
0,315827,127,127,0,14,312663
1,36371,142,142,1,92,34218
0,326955,34,34,0,17,323962
1,6322,47,47,0,14,3197
0,772874,150,150,0,27,769737
0,638513,75,75,1,7,636579
0,220362,118,118,0,17,217744
1,40751,44,44,1,67,38379
1,5438,139,139,0,89,3198
1,8449,124,124,0,44,5315
0,99546,111,111,1,11,97369
0,11809,41,41,1,65,9641
0,8362,135,135,1,86,5834
1,96112,115,115,0,1,92984
1,7840,71,71,1,15,6842
1,16287,37,37,1,59,13156
1,371763,4,4,1,44,371065
1,3141,92,92,0,60,982
1,5564,42,42,1,35,2433
0,567659,27,27,0,32,567123
0,634208,32,32,0,38,633441
1,34862,90,90,0,27,34431
0,742903,103,103,1,22,741965
1,11203,46,46,1,40,8075
0,12199,145,145,1,95,10430
0,631461,76,76,1,7,630235
1,2165,137,137,0,87,1
0,676357,31,31,1,22,675068
1,46094,78,78,0,36,43491
1,301337,23,23,1,5,298548
1,48145,3,3,0,29,47690
1,11508,110,110,0,80,8902
0,1015710,36,36,0,34,1014604
