StrandOrientation,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
1,391137,87,87,1,8,389704
1,267266,51,51,1,8,266289
1,273888,86,86,0,9,272725
0,220225,37,37,1,13,218687
1,208330,117,117,1,4,206801
1,2377,105,105,0,23,1157
1,1381990,69,69,0,17,1381346
1,360740,120,120,0,9,359730
1,368482,27,27,0,8,367493
1,3259,103,103,1,34,2075
0,2882,67,67,1,22,2106
0,514203,115,115,0,2,514066
0,431585,91,91,0,8,430644
1,604409,98,98,1,8,603339
1,14514,81,81,0,31,13402
0,762518,23,23,0,17,761364
0,218013,31,31,0,7,216889
1,587198,71,71,0,3,585768
0,2612,3,3,0,19,1824
0,690506,68,68,1,16,689499
0,245389,39,39,0,13,244757
1,86161,13,13,0,26,85631
1,547086,18,18,0,11,545914
1,1253659,43,43,0,17,1252076
0,705562,22,22,0,17,704282
0,307709,77,77,0,8,306750
1,546194,72,72,1,0,544968
0,449733,1,1,0,13,448939
0,626457,20,20,0,16,625132
1,373963,26,26,0,8,372953
1,507159,94,94,0,8,506107
1,575815,97,97,0,8,574721
1,531481,17,17,1,11,530381
1,669822,42,42,1,16,668569
0,316139,28,28,0,8,315237
1,272650,50,50,0,8,271751
0,976612,62,62,0,16,975470
1,502004,93,93,0,8,500910
0,29669,80,80,0,31,28731
1,20974,82,82,1,32,19538
1,625575,100,100,0,8,624448
1,1127958,108,108,0,16,1127086
0,1798125,76,76,0,17,1796725
0,463276,60,60,1,12,461756
0,437122,88,88,0,8,436220
0,2899,110,110,1,36,1952
1,1973004,47,47,0,16,1972075
1,514925,15,15,0,11,513729
0,400165,2,2,0,14,399113
1,1027129,102,102,0,14,1026155
1,315559,119,119,0,9,315128
0,514924,63,63,0,2,514307
1,747400,61,61,0,16,746270
1,1905561,48,48,1,16,1904098
1,229688,54,54,0,9,228501
1,450224,90,90,0,8,449385
0,263994,8,8,0,14,262717
0,283947,38,38,1,13,282400
1,444750,89,89,0,8,443839
1,1855873,25,25,0,17,1854422
0,622717,35,35,0,2,621833
1,549818,101,101,0,8,548385
0,347997,34,34,1,12,346477
1,28060,83,83,0,32,27086
1,714,40,40,1,21,1
0,924009,57,57,1,14,922486
1,14110,52,52,1,29,13145
0,21643,53,53,0,30,20600
1,1564652,0,0,0,15,1564452
0,479488,44,44,1,3,478163
1,197165,9,9,0,5,196203
1,16755,12,12,0,20,15559
0,17420,32,32,0,28,16842
1,441837,114,114,1,2,440959
0,232617,30,30,0,7,231541
1,496221,92,92,0,8,495283
0,427442,58,58,1,12,425919
1,1562,19,19,0,27,393
0,518865,116,116,0,2,517981
1,19265,78,78,0,31,18156
1,1080003,107,107,0,16,1078741
0,284733,113,113,0,2,283762
1,523271,16,16,0,11,522144
1,318674,64,64,0,9,317781
0,2003523,75,75,0,16,2002453
1,235050,55,55,0,9,234100
1,1862763,24,24,0,17,1861267
1,617521,99,99,0,8,616619
1,2058209,7,7,0,17,2056686
1,64367,65,65,1,11,62844
0,25674,104,104,0,35,24613
0,493306,85,85,0,13,491759
0,317984,109,109,0,10,317091
1,1698039,4,4,0,15,1696570
1,515623,95,95,0,8,514700
1,579257,41,41,0,9,578298
0,1593162,45,45,0,15,1591861
1,212824,56,56,0,9,211883
1,1556126,74,74,0,15,1554660
1,257891,49,49,0,8,256881
1,437723,33,33,0,9,436782
0,3154,84,84,0,33,2129
1,48657,10,10,0,24,47974
1,489099,96,96,0,8,488107
0,24337,79,79,0,31,23213
0,67859,14,14,0,1,66546
1,288343,118,118,0,9,287549
0,9331,11,11,0,25,7841
1,1706820,5,5,1,16,1705558
1,1056372,106,106,0,16,1055425
0,1505678,21,21,0,17,1504257
0,1263503,73,73,0,15,1262121
0,213667,36,36,0,13,212129
1,381686,70,70,1,18,380409
0,8433,111,111,0,36,7429
1,220328,29,29,0,8,219990
0,400752,59,59,1,12,399232
0,1977944,46,46,0,16,1976967
1,52701,66,66,0,6,51505
0,319749,112,112,0,16,318496
0,1679690,6,6,0,16,1678407
