db_id,method,accuracy,f1,auc,loss
10626,solo,0.9814814814814815,0.9835306227483273,,0.14115272462368011
13841,solo,1.0,1.0,1.0,0.0020494037307798862
17587,solo,1.0,1.0,,0.00034683509147726
57240,solo,1.0,1.0,1.0,0.0006777539965696633
73136,solo,1.0,1.0,,0.1383657306432724
10626,fedavg,0.9814814814814815,0.9835306227483273,,0.338947057723999
13841,fedavg,1.0,1.0,1.0,0.33957743644714355
17587,fedavg,1.0,1.0,,0.33651700615882874
57240,fedavg,1.0,1.0,1.0,0.36866769194602966
73136,fedavg,1.0,1.0,,0.5207940936088562
10626,fedgnn_both,0.9814814814814815,0.9835306227483273,,0.3723697364330292
13841,fedgnn_both,1.0,1.0,1.0,0.35657283663749695
17587,fedgnn_both,1.0,1.0,,0.33874040842056274
57240,fedgnn_both,1.0,1.0,1.0,0.39399445056915283
73136,fedgnn_both,1.0,1.0,,0.6441906094551086
10626,fedgnn_node_only,0.9814814814814815,0.9835306227483273,,0.38077667355537415
13841,fedgnn_node_only,1.0,1.0,1.0,0.33048978447914124
17587,fedgnn_node_only,1.0,1.0,,0.3338349759578705
57240,fedgnn_node_only,1.0,1.0,1.0,0.35510897636413574
73136,fedgnn_node_only,1.0,1.0,,0.545617938041687
10626,fedgnn_edge_only,0.9814814814814815,0.9835306227483273,,0.35441187024116516
13841,fedgnn_edge_only,1.0,1.0,1.0,0.3165380358695984
17587,fedgnn_edge_only,1.0,1.0,,0.337724506855011
57240,fedgnn_edge_only,1.0,1.0,1.0,0.3384305536746979
73136,fedgnn_edge_only,1.0,1.0,,0.5171247124671936
10626,fedgnn_none,0.9814814814814815,0.9835306227483273,,0.3656556308269501
13841,fedgnn_none,1.0,1.0,1.0,0.3446577489376068
17587,fedgnn_none,1.0,1.0,,0.3765164017677307
57240,fedgnn_none,1.0,1.0,1.0,0.34371504187583923
73136,fedgnn_none,1.0,1.0,,0.4798470735549927
