db_id,method,accuracy,f1,auc,loss
10626,solo,1.0,1.0,,0.0007336477283388376
13841,solo,1.0,1.0,1.0,0.0007087187841534615
17587,solo,1.0,1.0,,0.0005391035811044276
57240,solo,1.0,1.0,1.0,0.0005292340647429228
73136,solo,0.5,0.3333333333333333,,2.1028356552124023
10626,fedavg,1.0,1.0,,0.35772883892059326
13841,fedavg,1.0,1.0,1.0,0.34729576110839844
17587,fedavg,1.0,1.0,,0.37356963753700256
57240,fedavg,1.0,1.0,1.0,0.3739635944366455
73136,fedavg,0.5,0.3333333333333333,,1.0491704940795898
10626,fedgnn_both,1.0,1.0,,0.35109010338783264
13841,fedgnn_both,1.0,1.0,1.0,0.3456484377384186
17587,fedgnn_both,1.0,1.0,,0.38571828603744507
57240,fedgnn_both,1.0,1.0,1.0,0.3696570098400116
73136,fedgnn_both,1.0,1.0,,0.6956129670143127
10626,fedgnn_node_only,1.0,1.0,,0.3450521230697632
13841,fedgnn_node_only,1.0,1.0,1.0,0.32439446449279785
17587,fedgnn_node_only,1.0,1.0,,0.3620656430721283
57240,fedgnn_node_only,1.0,1.0,1.0,0.3607715666294098
73136,fedgnn_node_only,1.0,1.0,,0.8869001865386963
10626,fedgnn_edge_only,1.0,1.0,,0.38137245178222656
13841,fedgnn_edge_only,1.0,1.0,1.0,0.36663511395454407
17587,fedgnn_edge_only,1.0,1.0,,0.3756272792816162
57240,fedgnn_edge_only,1.0,1.0,1.0,0.40150755643844604
73136,fedgnn_edge_only,0.5,0.3333333333333333,,0.9898279309272766
10626,fedgnn_none,1.0,1.0,,0.36661314964294434
13841,fedgnn_none,1.0,1.0,1.0,0.33942824602127075
17587,fedgnn_none,1.0,1.0,,0.3478368818759918
57240,fedgnn_none,1.0,1.0,1.0,0.3526332378387451
73136,fedgnn_none,1.0,1.0,,0.7716819047927856
