Strand_Orientation,Gene_Description,Genomic_Start_Position,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,0,1159709,3,345,1160395
0,0,17649,3,402,18293
0,0,6637,4,132,7200
0,0,54438,4,357,55025
0,0,1463646,4,86,1464254
1,0,494134,4,200,494817
0,0,2015537,4,327,2016292
0,0,8128,4,386,9057
0,0,3962,4,130,4555
0,0,682675,4,96,683253
0,0,844098,3,366,844685
0,0,111971,1,399,112468
0,0,4217,4,338,4870
0,0,1954,4,261,2682
0,0,158113,4,17,158502
0,0,1955171,4,330,1955674
1,0,755460,4,97,756041
1,0,1367977,4,307,1368555
1,0,1486369,4,90,1487064
1,0,43754,3,298,44362
0,0,264339,4,255,265007
0,0,128075,2,414,128464
1,0,1920904,4,106,1921473
0,0,458125,4,350,458814
0,0,316059,4,369,316703
0,0,548190,2,222,548591
0,0,1603452,4,114,1604078
0,0,84681,4,59,85370
0,0,16820,4,258,17407
0,0,1032920,4,295,1033564
0,0,1738420,3,26,1738968
1,0,6162,4,377,6677
1,0,277438,4,218,278070
0,0,1730895,4,334,1731530
0,0,514617,4,203,515441
0,0,567310,2,379,567879
0,0,9749,4,124,10321
0,0,1685914,4,110,1686468
0,0,6979,4,226,7629
0,0,1004,4,354,1645
1,0,376393,4,53,376974
1,0,807330,3,23,807869
0,0,430704,4,424,431207
1,0,39237,4,50,39701
0,0,306524,4,256,307213
1,0,129,4,44,782
1,0,1132212,4,315,1132814
1,0,35642,4,70,36247
1,0,170208,4,66,170789
1,0,716974,4,267,717564
1,0,1637185,4,112,1637787
0,0,487330,4,167,487905
1,0,627354,3,181,628319
0,0,1931470,4,105,1932015
0,0,1341,4,38,2027
0,0,1743146,4,333,1743790
0,0,520573,4,204,521226
1,0,1117975,4,317,1118634
0,0,347313,3,16,347837
0,0,250097,4,321,250738
1,0,1004,4,2,1579
0,0,578253,4,74,578960
1,0,552180,4,142,552848
0,0,51491,4,262,52129
1,0,18480,3,378,19103
0,0,4128,4,254,4829
1,0,602248,4,235,603114
0,0,435816,4,10,436400
0,0,1148204,4,408,1148872
0,0,338926,4,221,339516
1,0,1580900,4,211,1581481
1,0,1080440,4,404,1081012
0,0,15015,4,342,15668
1,0,5874,4,301,6518
1,0,32291,4,18,33001
1,0,526817,4,426,527500
1,0,668282,4,146,668902
0,0,1994529,4,213,1995197
0,0,216122,4,320,216763
0,0,595866,4,157,596495
0,0,415541,4,381,416038
1,0,462885,3,99,463493
1,0,13402,4,392,14001
0,0,384969,3,19,385637
1,0,626603,4,98,627298
1,0,1489,2,387,1845
1,0,374536,4,120,375081
0,0,1472456,4,85,1473130
1,0,1133424,4,406,1134002
0,0,444042,4,30,444695
0,0,41594,4,384,42175
0,0,8539,4,126,9261
0,0,382086,4,55,382637
1,0,34388,4,300,35038
0,0,415509,4,244,416102
1,0,12661,3,347,13194
1,0,652923,4,82,653543
1,1,327337,4,421,327963
0,0,77844,4,297,78452
0,0,2228,4,382,2893
1,0,38181,4,77,38888
1,0,22609,2,302,22995
1,0,1065931,4,403,1066542
0,0,438233,4,349,438865
0,0,345353,4,151,345916
0,0,498789,3,364,499409
0,0,261515,4,36,262228
1,0,350453,2,412,350824
0,0,223792,4,164,224418
0,0,16375,4,46,17055
1,0,204,4,281,1049
1,0,806492,4,149,807166
1,0,873739,3,272,874302
1,0,3,5,8,281
0,0,15472,4,340,16035
1,0,311224,2,410,311595
1,0,5631,4,9,6125
0,0,581596,4,75,582243
0,0,1670067,4,27,1670681
0,0,543658,1,144,544317
0,0,284026,4,243,285006
0,0,481446,4,251,482096
0,0,15977,4,162,16573
0,0,691,4,123,1236
1,0,2152117,4,104,2152710
0,0,217234,4,163,218124
1,0,505327,4,292,505974
0,0,314181,4,121,314714
0,0,729363,4,94,729959
1,0,358038,2,275,358436
1,0,593512,4,229,594102
1,1,22061,4,71,22696
0,0,1260970,3,322,1261581
0,0,160181,4,401,160801
0,0,10210,3,102,10872
1,0,411981,4,277,412598
1,0,516578,4,291,517192
1,0,53279,4,304,53893
0,0,252895,4,285,253563
0,0,237338,4,283,237931
0,0,265723,4,174,266589
0,0,1077559,4,190,1078119
1,0,467864,4,294,468817
1,0,1242540,4,184,1243238
0,0,1175530,4,397,1176204
0,0,5628,4,385,6197
1,0,46335,4,78,47042
0,0,374062,4,40,374682
0,0,1420101,4,89,1420673
1,0,388043,2,192,388432
0,0,70109,4,57,70633
0,0,10535,4,372,11230
0,0,694383,4,305,694973
0,0,1677395,4,116,1677970
0,0,5141,4,373,5761
0,0,1885670,4,214,1886263
1,0,319437,4,420,320021
1,0,281740,4,171,282372
0,0,455483,4,319,456160
1,0,35961,4,383,36542
1,0,601643,4,318,602338
1,0,376496,4,361,377041
1,0,1142287,4,407,1142859
1,0,1480762,4,91,1481322
1,0,1306226,4,205,1306828
1,0,1236,4,5,1739
0,0,410251,2,138,410649
0,0,1586741,4,208,1587490
1,0,1612,4,282,2442
1,0,332944,4,422,333597
0,0,1410949,4,20,1411596
0,0,259935,4,175,260483
0,0,916954,4,271,917604
1,0,370350,4,274,371048
1,0,11081,2,45,11470
0,0,376607,4,139,377176
0,0,1942577,4,7,1943209
1,0,6853,4,266,7470
0,0,120498,2,33,120884
