Strand_Orientation,Gene_Description,Genomic_Start_Position,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,0,1159709,3,347,1160395
0,0,17649,3,404,18293
0,0,6637,4,135,7200
0,0,54438,4,359,55025
0,0,1463646,4,88,1464254
1,0,494134,4,203,494817
0,0,2015537,4,329,2016292
0,0,8128,4,388,9057
0,0,3962,4,132,4555
0,0,682675,4,98,683253
0,0,844098,3,368,844685
0,0,111971,1,401,112468
0,0,4217,4,340,4870
0,0,1954,4,265,2682
1,0,162521,4,8,163066
0,0,1955171,4,332,1955674
1,0,755460,4,99,756041
1,0,1367977,4,309,1368555
1,0,1486369,4,92,1487064
1,0,35642,4,72,36247
0,0,264339,4,259,265007
0,0,120498,2,34,120884
1,0,1920904,4,108,1921473
0,0,458125,4,352,458814
0,0,308044,4,370,308712
0,0,548190,2,226,548591
0,0,1603452,4,116,1604078
0,0,84681,4,61,85370
0,0,16820,4,262,17407
0,0,1032920,4,299,1033564
0,0,1738420,3,27,1738968
1,0,6162,4,379,6677
1,0,277438,4,222,278070
0,0,1730895,4,336,1731530
0,0,476973,4,206,477620
0,0,567310,2,381,567879
0,0,9749,4,126,10321
0,0,1685914,4,112,1686468
0,0,6979,4,230,7629
0,0,1004,4,356,1645
1,0,376393,4,55,376974
1,0,807330,3,24,807869
1,0,426186,4,138,426818
1,0,39237,4,52,39701
0,0,306524,4,260,307213
1,0,129,4,46,782
1,0,1132212,4,317,1132814
1,0,30158,4,73,30799
1,0,159101,4,67,159847
1,0,716974,4,271,717564
1,0,1637185,4,114,1637787
0,0,487330,4,170,487905
1,0,355831,3,430,356421
0,0,1931470,4,107,1932015
0,0,1341,4,39,2027
0,0,1743146,4,335,1743790
0,0,514617,4,207,515441
1,0,1117975,4,319,1118634
0,0,347313,3,17,347837
0,0,250097,4,323,250738
1,0,1004,4,3,1579
0,0,569783,4,76,570400
1,0,552180,4,146,552848
0,0,51491,4,266,52129
1,0,18480,3,380,19103
0,0,4128,4,258,4829
1,0,598996,4,233,599763
0,0,430509,4,12,430625
0,0,1148204,4,410,1148872
0,0,338926,4,225,339516
1,0,1580900,4,215,1581481
1,0,1080440,4,406,1081012
0,0,15015,4,344,15668
1,0,5874,4,304,6518
1,0,25487,4,306,26110
1,0,503911,3,428,504309
1,0,668282,4,150,668902
0,0,1994529,4,217,1995197
0,0,216122,4,322,216763
1,0,587969,3,158,588625
0,0,415541,4,383,416038
1,0,462885,3,101,463493
1,0,13402,4,394,14001
0,0,384969,3,20,385637
1,0,601643,4,320,602338
1,0,1489,2,389,1845
0,0,314181,4,123,314714
0,0,1472456,4,87,1473130
1,0,1133424,4,408,1134002
0,0,444042,4,31,444695
0,0,41594,4,386,42175
0,0,8539,4,128,9261
0,0,382086,4,57,382637
1,0,34388,4,303,35038
0,0,409331,4,248,410050
1,0,12661,3,349,13194
1,0,640880,4,83,641578
1,0,319437,4,423,320021
0,0,69732,4,300,70385
0,0,2228,4,384,2893
1,0,35462,4,19,36160
1,0,627354,3,184,628319
1,0,1065931,4,405,1066542
0,0,438233,4,351,438865
0,0,331098,4,154,331967
0,0,498789,3,366,499409
0,0,261515,4,37,262228
0,1,339536,4,413,340144
0,0,217234,4,167,218124
0,0,16375,4,48,17055
1,0,204,4,286,1049
1,0,806492,4,153,807166
1,0,873739,3,276,874302
1,0,3,5,10,281
0,0,15472,4,342,16035
1,0,301183,4,280,301818
1,0,5631,4,11,6125
0,0,578253,4,77,578960
0,0,1670067,4,28,1670681
0,0,543658,1,148,544317
0,0,277617,4,244,278450
0,0,472107,4,254,473006
0,0,15977,4,166,16573
0,0,691,4,125,1236
