STRAND_ORIENTATION,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION
1,1786847,65,65,0,0,1785821
0,2123033,225,225,0,9,2121981
1,154819,175,175,0,6,154022
1,2005679,74,74,1,0,2004696
1,545737,18,18,0,0,544797
0,727451,27,27,0,0,726416
0,1764239,162,162,0,4,1763508
0,2175621,227,227,0,9,2174909
0,2631052,245,245,0,12,2630098
1,1528688,54,54,1,0,1527763
1,13907,141,141,0,2,12933
0,3185796,108,108,0,0,3184809
1,1211877,136,136,0,1,1210906
0,2741232,209,209,1,7,2740189
0,3350446,111,111,0,0,3349469
1,69437,172,172,0,6,68407
0,2236648,79,79,0,0,2235660
0,2958958,256,256,1,12,2958174
0,3374873,112,112,0,0,3373889
0,2126124,77,77,1,0,2125348
0,845231,33,33,0,0,844259
1,117913,233,233,0,10,116867
1,132449,263,263,0,13,131407
0,1287410,148,148,0,2,1286397
0,621314,22,22,1,0,620361
0,3087645,106,106,0,0,3086711
0,1317363,139,139,0,1,1316438
1,1775441,64,64,0,0,1774454
0,2604343,243,243,1,12,2603401
0,434763,14,14,0,0,433749
0,240684,6,6,0,0,239723
1,83058,232,232,0,10,82100
0,2663503,207,207,0,7,2662569
1,2708277,91,91,0,0,2707301
0,841681,32,32,0,0,840713
0,694956,25,25,0,0,693924
1,2960312,100,100,1,0,2959559
1,292637,159,159,1,4,291670
1,1701321,61,61,0,0,1700384
1,42295,171,171,0,6,41246
0,312759,8,8,0,0,311723
1,69433,219,219,0,9,68481
1,20656,230,230,0,10,19677
0,2269235,81,81,0,0,2268255
0,1771461,163,163,0,4,1770454
1,1123510,43,43,0,0,1122552
0,2571118,241,241,0,12,2570141
1,2987289,102,102,0,0,2986294
0,175684,5,5,1,0,174773
1,90623,189,189,0,7,89650
1,155111,217,217,1,8,154099
1,3591099,119,119,0,0,3590238
1,3943402,131,131,0,0,3942518
1,1925586,70,70,0,0,1924600
0,2700655,208,208,0,7,2699685
1,566514,19,19,0,0,565550
1,173724,192,192,0,7,172733
0,2991514,257,257,0,12,2990543
0,1253998,145,145,0,2,1253021
1,605384,20,20,0,0,604369
1,220934,194,194,0,7,219956
1,2664333,89,89,0,0,2663373
1,1989967,73,73,0,0,1988968
0,2642245,206,206,0,7,2641489
1,2811023,93,93,0,0,2810056
1,2825953,94,94,0,0,2825009
0,2818375,250,250,0,12,2817354
1,1962233,72,72,0,0,1961243
0,705383,26,26,0,0,704423
1,1036988,40,40,0,0,1036017
0,2929889,254,254,0,12,2928926
1,1951701,71,71,0,0,1950744
1,613465,21,21,1,0,612696
1,1234677,137,137,0,1,1233707
1,3554822,117,117,0,0,3554085
1,22128,170,170,0,6,21118
1,2580660,84,84,0,0,2579676
1,2687685,90,90,1,0,2686888
0,1261944,146,146,0,2,1260960
1,2923780,97,97,1,0,2922814
0,2218428,229,229,1,9,2217492
1,98100,262,262,0,13,97104
1,194080,157,157,0,4,193107
0,2083278,224,224,0,9,2082312
1,34889,150,150,0,3,33931
0,89815,220,220,0,9,88823
1,3675676,122,122,0,0,3674736
1,1043987,41,41,0,0,1043027
0,2590362,242,242,0,12,2589354
0,2630816,205,205,0,7,2629838
0,1789660,165,165,1,4,1788675
0,3178788,107,107,0,0,3177802
0,2346965,199,199,0,7,2346009
1,127076,191,191,0,7,126066
0,3244723,110,110,0,0,3243964
0,320709,198,198,1,7,319707
1,250517,237,237,1,10,249557
0,1894910,177,177,1,6,1894237
1,278997,158,158,0,4,278392
1,8035,152,152,1,4,7042
1,311627,160,160,1,4,310667
0,1276401,147,147,0,2,1275562
1,530848,17,17,1,0,529877
0,63052,3,3,0,0,62038
1,3192903,109,109,0,0,3191963
0,2052986,223,223,0,9,2051981
0,2885211,252,252,0,12,2884260
0,3411054,113,113,0,0,3410011
1,204979,266,266,0,13,203989
0,1302731,138,138,1,1,1301798
1,3615342,120,120,0,0,3614358
0,2137083,78,78,0,0,2136116
0,829945,31,31,0,0,828981
0,2310802,82,82,0,0,2309816
1,1661637,60,60,1,0,1660898
0,3070241,105,105,0,0,3069280
1,80570,188,188,0,7,79583
0,1975350,222,222,1,9,1974370
1,3781213,125,125,0,0,3780167
0,1987656,179,179,0,6,1986653
1,243795,236,236,0,10,242828
0,1227129,47,47,0,0,1226153
0,2191993,228,228,1,9,2191163
1,1896974,69,69,0,0,1895961
1,196537,176,176,1,6,195815
1,2569200,83,83,0,0,2568416
0,2026638,180,180,0,6,2025643
1,2012514,75,75,0,0,2011537
1,143681,151,151,0,3,142743
0,350270,10,10,0,0,349232
0,961008,37,37,0,0,960057
0,818515,30,30,0,0,817520
0,1798060,166,166,0,4,1797042
1,74070,135,135,0,1,73103
0,2500826,202,202,1,7,2499858
1,3747742,124,124,0,0,3746758
0,96817,221,221,0,9,95832
0,1493581,53,53,0,0,1492608
0,2790671,92,92,0,0,2789740
1,164600,264,264,0,13,163581
1,81446,173,173,0,6,80444
0,2363219,200,200,0,7,2362256
1,3501883,116,116,0,0,3500926
1,1169323,45,45,0,0,1168314
1,2609560,87,87,0,0,2608581
0,37712,1,1,1,0,36728
0,2599688,203,203,0,7,2598686
1,3907034,130,130,0,0,3906026
0,756430,28,28,0,0,755452
0,2620539,244,244,1,12,2619563
1,1379,133,133,0,1,408
1,1719528,62,62,1,0,1718592
0,2922898,253,253,0,12,2921940
0,29762,0,0,0,0,28779
1,146994,174,174,1,6,146054
1,3832545,127,127,1,0,3831499
0,1944091,178,178,1,6,1943137
1,2931247,98,98,0,0,2930282
1,56587,187,187,0,7,55870
1,3864794,128,128,1,0,3863936
1,10066,218,218,0,9,9119
0,2768159,211,211,0,7,2767187
1,2970973,101,101,0,0,2969987
0,1819402,167,167,0,4,1818421
0,2886495,95,95,0,0,2885569
1,1029803,39,39,2,0,1028849
0,2799553,213,213,0,7,2798511
1,1831592,66,66,0,0,1830638
0,1202243,143,143,0,2,1201265
0,1323924,49,49,0,0,1322970
0,2950391,255,255,0,12,2949454
0,1609442,57,57,1,0,1608554
0,325126,9,9,0,0,324116
0,2866118,251,251,1,12,2865319
1,232090,195,195,0,7,231104
0,825304,168,168,1,5,824320
0,797603,29,29,0,0,796557
1,62075,134,134,1,1,61062
1,61311,231,231,0,10,60333
1,130190,234,234,0,10,129258
0,101259,4,4,0,0,100271
1,3485524,115,115,0,0,3484511
0,854400,34,34,0,0,853408
1,474134,16,16,1,0,473342
1,93901,155,155,0,4,93026
0,2164937,226,226,1,9,2163912
1,3565904,118,118,1,0,3564858
0,2718036,248,248,0,12,2717006
1,3958204,132,132,0,0,3957431
1,1842055,67,67,0,0,1841258
1,3896577,129,129,0,0,3895570
1,3626724,121,121,0,0,3625683
0,264759,7,7,0,0,263742
1,1863193,68,68,0,0,1862233
0,418380,13,13,0,0,417494
0,1314686,149,149,0,2,1313668
1,1158170,44,44,0,0,1157129
1,188127,193,193,1,7,187156
1,1104725,42,42,0,0,1103973
1,47733,215,215,0,8,46712
1,3129,140,140,1,2,2111
0,2491047,240,240,0,12,2490060
