Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,0,1160395,347,347,3,55,1159709,0
1,0,18293,404,404,3,155,17649,0
0,0,7200,134,134,4,24,6637,0
0,0,55025,359,359,4,99,54438,0
0,0,1464254,88,88,4,95,1463646,0
0,0,494817,203,203,4,14,494134,1
0,0,2016292,329,329,4,61,2015537,0
0,0,9057,388,388,4,89,8128,0
0,0,4555,132,132,4,129,3962,0
0,0,683253,98,98,4,57,682675,0
1,0,844685,368,368,3,111,844098,0
1,0,112468,401,401,1,37,111971,0
0,0,4870,340,340,4,138,4217,0
0,0,2682,264,264,4,129,1954,0
0,0,163066,8,8,4,141,162521,1
0,0,1955674,332,332,4,159,1955171,0
0,0,756041,99,99,4,95,755460,1
0,0,1368555,309,309,4,74,1367977,1
0,0,1487064,92,92,4,28,1486369,1
1,0,44362,301,301,3,120,43754,1
0,0,265007,258,258,4,5,264339,0
0,0,128464,416,416,2,7,128075,0
0,0,1921473,108,108,4,57,1920904,1
0,0,458814,352,352,4,98,458125,0
0,0,316703,371,371,4,46,316059,0
0,0,548591,226,226,2,41,548190,0
0,0,1604078,116,116,4,74,1603452,0
0,0,85370,62,62,4,75,84681,0
0,0,17407,261,261,4,42,16820,0
0,0,1033564,298,298,4,166,1032920,0
1,0,1738968,28,28,3,41,1738420,0
0,0,6677,379,379,4,88,6162,1
0,0,278070,222,222,4,156,277438,1
0,0,1731530,336,336,4,57,1730895,0
0,0,477620,206,206,4,111,476973,0
0,0,567879,381,381,2,87,567310,0
0,0,10321,126,126,4,42,9749,0
0,0,1686468,112,112,4,95,1685914,0
0,0,7629,230,230,4,42,6979,0
0,0,1645,356,356,4,103,1004,0
0,0,376974,56,56,4,149,376393,1
1,0,807869,25,25,3,116,807330,1
0,0,426818,137,137,4,127,426186,1
0,0,39701,53,53,4,42,39237,1
0,0,307213,259,259,4,14,306524,0
0,0,782,47,47,4,125,129,1
0,0,1132814,317,317,4,57,1132212,1
0,0,36247,73,73,4,62,35642,1
0,0,170789,69,69,4,31,170208,1
0,0,717564,270,270,4,121,716974,1
0,0,1637787,114,114,4,57,1637185,1
0,0,487905,170,170,4,149,487330,0
1,0,628319,184,184,3,64,627354,1
0,0,1932015,107,107,4,95,1931470,0
0,0,2027,40,40,4,70,1341,0
0,0,1743790,335,335,4,57,1743146,0
0,0,515441,207,207,4,64,514617,0
0,0,1118634,319,319,4,151,1117975,1
1,0,347837,18,18,3,9,347313,0
0,0,250738,323,323,4,156,250097,0
0,0,1579,3,3,4,165,1004,1
0,0,570400,77,77,4,113,569783,0
0,0,552848,145,145,4,162,552180,1
0,0,52129,265,265,4,129,51491,0
1,0,19103,380,380,3,31,18480,1
0,0,4829,257,257,4,38,4128,0
0,0,599763,233,233,4,6,598996,1
0,0,436400,12,12,4,26,435816,0
0,0,1148872,410,410,4,34,1148204,0
0,0,339516,225,225,4,81,338926,0
0,0,1581481,215,215,4,83,1580900,1
0,0,1081012,406,406,4,168,1080440,1
0,0,15668,344,344,4,20,15015,0
0,0,6518,304,304,4,149,5874,1
0,0,33001,20,20,4,47,32291,1
1,0,504309,428,428,3,144,503911,1
0,0,668902,149,149,4,76,668282,1
0,0,1995197,217,217,4,148,1994529,0
0,0,216763,322,322,4,142,216122,0
1,0,588625,157,157,3,107,587969,1
0,0,416038,383,383,4,63,415541,0
1,0,463493,101,101,3,78,462885,1
0,0,14001,394,394,4,152,13402,1
1,0,385637,21,21,3,55,384969,0
0,0,602338,320,320,4,91,601643,1
0,0,1845,389,389,2,86,1489,1
0,0,375081,122,122,4,25,374536,1
0,0,1473130,87,87,4,27,1472456,0
0,0,1134002,408,408,4,48,1133424,1
0,0,444695,32,32,4,109,444042,0
0,0,42175,386,386,4,148,41594,0
0,0,9261,128,128,4,42,8539,0
0,0,382637,58,58,4,156,382086,0
0,0,35038,303,303,4,119,34388,1
0,0,416102,247,247,4,23,415509,0
1,0,13194,349,349,3,104,12661,1
0,0,653543,84,84,4,54,652923,1
0,0,320021,423,423,4,96,319437,1
0,0,78452,300,300,4,84,77844,0
0,0,2893,384,384,4,146,2228,0
0,0,38888,80,80,4,56,38181,1
0,0,22995,305,305,2,56,22609,1
0,0,1066542,405,405,4,68,1065931,1
0,0,438865,351,351,4,21,438233,0
0,0,345916,154,154,4,132,345353,0
