Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,1169344,41,1,0,1158920
1,7614,2,0,0,1030
1,609988,158,1,0,605538
0,1211309,163,1,0,1200861
1,71128,81,1,0,60752
1,18759,152,3,1,8548
1,52109,55,1,0,41772
1,64484,127,2,0,55971
0,424181,138,1,0,413739
0,225503,223,1,0,215040
0,1026196,141,3,1,1015775
0,330111,109,1,0,322282
1,458221,50,1,0,447770
0,685626,119,1,0,675331
0,18045,174,1,0,7588
1,108909,130,1,0,98518
1,47512,124,1,0,39092
0,775910,131,1,0,765552
1,22103,171,1,0,14689
0,332104,168,1,0,321641
1,7780,8,2,0,2
1,11317,86,3,1,5433
0,573981,159,1,0,563530
1,459416,61,1,0,449073
1,5380,25,3,1,2
1,214744,9,3,1,206012
1,31572,75,1,0,21127
1,63253,175,1,0,52823
0,286931,192,1,0,283691
0,149649,115,2,0,143326
1,14171,180,2,0,4392
1,11492,32,1,0,5925
1,26884,60,1,0,16478
1,45907,207,2,0,38978
0,13390,161,1,0,2987
0,193120,185,2,0,183374
0,9732,193,1,0,1
1,1233807,178,3,1,1224493
1,62951,94,1,0,52593
1,970184,186,1,0,959784
1,138304,216,1,0,127910
1,13701,153,1,0,3220
0,689245,14,1,0,678794
1,5595,6,2,0,1
0,213628,100,1,0,203258
0,24168,112,3,1,13795
1,31191,121,1,0,20812
0,3034,91,2,0,2
1,347060,220,2,0,339083
1,127990,150,3,1,117557
1,390898,219,1,0,380639
1,60872,208,1,0,50520
1,225073,35,1,0,217409
0,842551,213,1,0,832124
0,475972,77,2,0,470489
1,534898,113,2,0,529028
1,59093,69,1,0,53591
0,2345983,166,1,0,2335691
0,33876,201,1,0,23431
0,2017022,4,2,0,2011656
0,796435,42,3,1,786038
0,908777,38,1,0,898398
0,1020605,202,3,1,1014285
1,25728,93,3,1,21774
0,13163,65,1,0,2601
0,789447,214,3,1,779023
0,7954,194,2,0,2
0,743366,12,3,1,733188
0,1028641,19,1,0,1018586
1,69531,218,1,0,59128
0,5243,68,1,0,2
0,9826,22,2,0,2831
1,12411,133,3,1,1858
0,6482,3,2,0,3
1,78813,198,1,0,72588
1,12312,197,2,0,7990
1,40663,199,1,0,30197
1,51361,101,1,0,40991
0,288082,210,1,0,277652
0,328819,64,1,0,318764
1,127475,172,1,0,117093
1,32850,188,1,0,28143
0,207695,52,1,0,204667
1,36235,217,1,0,25871
0,11147,33,2,0,4143
0,1351353,155,3,1,1340908
0,30892,74,1,0,20468
0,745319,40,1,0,734937
1,353296,97,2,0,348857
0,7476,0,2,0,127
1,21015,76,1,0,14486
0,5481,156,2,0,1
1,5231,27,1,0,1
1,78745,63,1,0,68291
0,574518,142,3,1,565420
1,27113,195,3,1,16665
0,647211,116,3,1,636820
1,802151,13,1,0,791817
0,65194,21,1,0,54806
1,6388,123,1,0,323
0,296067,110,3,1,288610
0,62219,39,1,0,51870
1,19188,34,1,0,11071
1,34912,170,1,0,27714
0,239506,162,2,0,231410
0,595061,48,3,1,584655
1,52443,44,3,1,42064
0,5929,151,1,0,3
1,35770,43,3,1,25298
0,5956,20,1,0,733
0,586972,46,1,0,576509
1,88568,200,1,0,78117
0,13525,108,3,1,3143
0,623676,90,1,0,613279
1,11537,176,1,0,1098
0,505288,11,1,0,494840
1,39653,24,1,0,33702
1,158064,215,1,0,147781
1,54831,125,1,0,44338
1,1392969,105,1,0,1382515
0,2345195,167,1,0,2334792
0,5893,36,1,0,1
0,1174010,190,2,0,1168695
1,563694,143,1,0,556752
1,89016,118,1,0,78604
1,487135,85,1,0,478468
0,3341,191,2,0,3
0,5467,73,2,0,2
1,6015,148,2,0,103
1,6046,79,2,0,2
1,24830,102,1,0,14646
0,548110,154,1,0,541838
0,8611,117,1,0,3
1,940675,89,1,0,930293
0,566844,204,3,1,556376
1,94486,147,1,0,84056
1,19647,54,1,0,9304
1,1142692,88,2,0,1136952
1,17336,67,1,0,6891
1,6309,70,3,1,1
0,6144,62,1,0,3
0,818767,120,1,0,810066
0,252780,212,1,0,242332
0,6275,17,3,1,3
1,9243,23,3,1,3028
0,230403,211,1,0,222871
0,638425,173,1,0,628055
1,54812,5,1,0,50482
0,5690,78,3,1,3
1,6239,135,2,0,3
0,47046,57,3,1,36631
0,1352921,107,1,0,1342479
0,536745,47,1,0,531839
0,1415129,7,3,1,1406220
1,53597,31,1,0,43140
0,6877,30,1,0,2
1,82139,164,1,0,71676
1,571446,182,3,1,561022
1,97751,80,2,0,91272
1,40882,92,3,1,30431
0,64329,98,1,0,53935
0,19778,83,1,0,9420
1,409474,181,1,0,399029
0,501262,103,1,0,494255
0,1441553,106,1,0,1431102
