GeneClassification,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,3,12909,143,111,10807,1,1
0,121,6110,99,99,3849,1,0
1,40,457048,89,9,454787,0,0
0,134,478833,231,6,476677,1,0
0,89,16869,152,114,14662,1,0
1,49,552888,220,15,550654,0,0
0,96,835809,96,28,833647,1,0
0,121,3770,49,87,732,2,1
1,11,1069200,210,45,1067095,0,0
1,42,9061,54,72,6806,0,1
0,41,2776,155,115,509,1,0
1,30,76342,180,33,73994,0,1
1,108,1167843,145,41,1165567,0,0
0,1,3747,24,70,1363,1,1
0,87,692573,68,19,690150,1,0
0,86,27924,7,17,26149,3,1
0,0,754574,176,26,752403,1,0
1,50,1157625,117,42,1155433,0,0
1,36,12933,113,39,10912,0,1
1,25,96434,222,5,94266,0,1
1,24,45480,197,120,43330,0,1
0,65,604953,79,20,602554,1,0
1,2,5633,13,60,4134,0,0
1,109,763015,82,37,760970,0,0
0,48,4215,70,19,1969,1,1
0,85,480713,37,4,478230,1,0
1,66,114439,9,3,112868,0,1
0,60,14957,63,74,12933,1,0
1,29,356577,106,51,354673,0,0
0,21,45278,100,18,42840,1,0
1,55,50723,121,104,48507,0,1
1,67,562476,174,10,560179,0,0
0,31,56175,84,5,53914,1,1
1,83,1621,64,93,2,0,1
0,114,1009290,44,38,1006993,1,0
0,121,11646,124,105,9286,1,1
0,69,487264,94,17,485114,1,0
0,1,47037,178,118,44773,1,1
0,21,371476,173,18,369323,1,0
0,129,477337,11,9,476408,3,0
0,104,1835184,66,46,1832923,1,0
1,36,53359,115,39,52601,0,1
0,88,1062,3,69,1,3,0
1,12,441740,92,29,439797,0,1
1,7,81519,12,5,79698,0,1
0,111,71686,214,49,69566,1,1
0,116,707127,47,23,704929,1,0
0,58,65232,219,50,62692,1,1
1,110,777368,224,31,775140,0,0
0,54,3230,128,22,921,1,1
0,121,2056,48,86,2,3,1
0,121,4947,45,84,2638,1,0
1,12,372955,230,29,370655,0,1
0,108,2326647,17,52,2325364,3,0
1,64,11060,142,31,8994,0,1
0,120,4184,235,35,1923,1,1
0,84,59089,40,55,56687,1,1
1,49,113111,168,15,111105,0,1
0,84,79561,118,55,77369,1,1
1,70,1451239,129,50,1449053,0,0
1,43,805063,181,38,803291,0,0
1,23,1835456,206,47,1833030,0,0
0,121,4516,52,89,3179,3,1
0,94,611448,111,10,610807,2,0
0,106,5046,160,116,2860,1,1
1,16,1204656,198,44,1202680,0,0
0,16,4025,166,16,1761,1,1
0,41,2650,25,34,386,1,1
1,10,689616,81,52,687517,0,0
1,9,335828,156,29,333633,0,1
1,63,480279,205,44,478171,0,0
1,64,7012,6,31,5501,0,1
1,115,2096,146,112,747,0,1
0,121,1138,5,106,2,3,0
1,38,1116077,153,40,1113876,0,0
0,98,76316,29,50,74154,1,1
1,123,496899,101,1,495853,0,0
0,59,15153,207,30,12949,1,1
0,96,1027491,75,37,1024990,1,0
1,89,170211,123,48,168412,0,1
1,64,799420,225,31,796943,0,0
0,3,391932,8,57,389746,1,1
0,75,3932,163,117,1401,1,0
0,13,914046,62,33,913312,3,0
0,122,244454,159,19,243822,2,0
0,129,394758,20,9,393970,2,0
0,34,574603,171,21,572120,1,0
1,11,4883,41,81,2628,0,1
1,119,252998,132,28,250869,0,0
0,72,2976,165,76,781,1,0
1,108,92964,93,41,90784,0,1
0,121,7454,51,88,5259,1,1
1,29,654471,74,51,652312,0,1
0,93,2907,35,71,667,1,0
0,44,4593,1,17,2230,1,1
0,108,1705791,88,52,1703299,1,1
1,9,598394,170,21,596190,0,0
0,52,2152,10,59,38,1,0
0,31,507624,192,3,505363,1,0
1,67,459000,175,10,456733,0,0
1,56,123424,232,8,121439,0,0
0,118,53099,223,38,50910,1,1
0,74,3147,42,82,535,1,1
0,121,7548,53,90,5362,1,0
0,121,11573,109,102,9210,1,0
0,58,81116,4,13,80040,2,1
0,21,703891,71,23,701787,2,0
0,4,351915,201,56,350539,2,1
0,8,6111,23,67,4843,2,1
1,76,299939,227,11,297915,0,1
0,112,115059,161,22,112891,1,1
0,53,1036,15,62,2,3,1
0,129,28523,80,37,26538,1,1
1,20,547726,135,7,545198,0,0
0,114,19404,200,121,17227,1,0
0,129,1039862,76,37,1037046,1,0
0,126,2191081,87,52,2188577,1,1
1,27,52834,185,0,50840,0,0
1,7,13918,122,104,11750,0,1
1,32,18062,134,107,16122,0,1
1,102,62927,150,24,60651,0,1
1,113,34512,90,96,32440,0,1
0,121,5683,55,91,3845,3,0
0,51,828692,195,47,827244,1,1
0,21,711734,31,23,710958,2,0
0,30,482055,112,10,479794,1,0
1,91,89110,208,16,86993,0,1
0,44,71096,139,40,68619,1,1
0,95,7735,187,78,5258,1,1
0,27,2352753,131,52,2351474,2,0
1,99,5117,218,80,2943,0,0
0,78,120751,188,3,119534,3,1
0,17,9642,212,123,7252,1,0
0,121,28514,110,103,26043,1,0
0,57,1699,85,8,101,3,1
1,17,3774,18,64,1570,0,0
1,129,468090,39,2,465892,0,0
1,73,811009,211,32,808763,0,0
1,40,619207,204,9,617003,0,0
0,33,369971,59,54,367785,1,0
0,35,52112,103,43,49749,1,1
1,101,1108,162,75,1,0,0
0,121,3468,69,94,1171,1,0
1,109,813661,183,37,811541,0,0
0,82,560608,182,16,558551,1,0
1,18,961848,154,36,959689,0,0
0,67,915393,61,33,914149,2,0
0,110,6868,186,119,4559,1,1
0,131,50074,190,3,47909,1,1
0,119,487691,30,18,485538,1,0
1,125,17178,107,101,14941,0,1
0,13,669010,133,16,666635,1,0
0,15,2335,172,12,101,3,1
0,90,798,167,77,1,3,1
0,130,1159648,144,41,1157084,1,0
0,65,140815,228,11,140096,2,1
0,59,3637,164,33,1680,2,1
0,121,5471,138,110,3207,1,1
0,48,5333,21,65,3093,1,1
1,31,8253,102,41,6340,0,1
0,41,477141,199,7,476586,2,0
0,121,5583,98,98,3223,1,0
1,12,20192,203,29,18165,0,1
1,47,636865,78,20,634829,0,0
0,77,180595,119,58,178343,1,0
0,114,827,14,61,3,2,0
1,91,122003,229,11,119982,0,1
0,101,16433,194,79,14709,2,1
1,24,35613,196,120,33460,0,1
1,130,16106,72,95,14127,0,0
0,39,194620,125,53,192110,1,0
0,42,85349,65,4,84366,2,1
0,135,303473,217,12,301437,3,1
0,14,49973,26,23,48072,2,1
0,121,7225,105,100,4853,1,0
0,37,3201,58,73,2560,2,1
0,121,17152,137,109,14774,1,1
0,92,43304,158,55,40902,1,1
1,70,19107,104,43,16912,0,1
0,61,316113,226,11,313945,1,1
0,132,3704,22,66,1446,1,1
0,127,4679,114,39,2307,1,1
1,101,60946,147,52,58898,0,1
1,5,1287,19,68,1,0,0
0,121,3133,50,88,824,1,1
0,80,23314,236,2,21104,1,0
0,6,763294,177,26,761027,1,0
1,79,411395,36,13,410220,0,0
1,128,51771,234,35,49540,0,1
1,123,469090,33,1,466913,0,0
0,124,909502,73,34,907241,1,0
0,81,68193,148,25,66007,1,1
0,103,315631,216,12,313523,1,1
1,63,10067,28,44,8418,0,1
1,41,609383,77,20,607077,0,0
0,117,377705,97,57,375522,1,0
0,105,400277,27,10,398004,1,0
0,26,702444,213,22,701878,3,0
1,28,369509,60,13,367296,0,1
0,100,5540,43,83,3963,2,1
0,41,526037,38,3,525222,3,0
0,26,57522,126,22,55348,1,1
1,16,1375691,120,44,1373202,0,0
1,20,3258,209,122,754,0,1
0,120,66424,233,35,64094,1,1
1,64,16197,179,118,13717,0,1
0,121,1669,46,85,2,3,1
1,0,399311,91,14,397290,0,0
0,45,646569,184,12,644707,2,0
0,48,20107,67,49,17801,1,1
0,16,2152465,191,51,2150273,1,0
1,36,5726,0,124,3723,0,0
1,29,1909430,130,51,1907460,0,1
1,22,828777,108,46,827212,0,1
0,82,27070,141,16,24536,1,1
0,103,311650,215,12,309482,1,1
0,107,6765,193,79,4204,1,1
0,121,1518,57,92,1,3,1
1,25,477984,151,5,475453,0,0
0,38,1178466,116,42,1176085,1,0
1,133,2336,149,113,3,0,1
1,19,468765,83,52,466540,0,0
0,121,4334,95,97,1968,1,1
1,36,1028709,169,39,1026565,0,0
1,38,224206,202,34,222371,0,1
0,27,92121,140,40,90979,1,1
1,20,731499,32,23,729406,0,0
0,121,7491,127,22,5182,1,1
0,114,1333,16,63,3,2,0
0,46,14203,56,32,11819,1,1
0,76,1475,2,125,3,3,0
0,71,471716,221,5,470270,2,0
0,68,2123600,86,51,2121408,1,0
1,62,669243,189,18,667156,0,0
0,129,18709,34,27,16532,1,1
0,121,6479,136,108,5838,2,1
0,97,668634,157,24,666520,1,0
