GeneClassification,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,8,373963,27,8,372953,21,1
0,41,257891,50,8,256881,20,1
0,44,235050,56,9,234100,21,1
1,2,220225,39,12,218687,2,0
0,11,587198,71,3,585768,14,1
0,52,2377,105,22,1157,10,1
0,53,1381990,69,16,1381346,3,1
0,44,318674,65,9,317781,21,1
0,8,340298,29,8,339360,21,0
1,13,3259,103,33,2075,2,1
1,28,2882,67,21,2106,2,0
1,27,441837,113,2,440959,2,1
0,61,426250,89,8,425120,21,0
0,8,575815,96,8,574721,21,1
0,49,14514,81,30,13402,21,1
0,38,762518,23,16,761364,3,0
1,42,217615,120,6,216422,2,0
0,13,553985,24,3,552546,16,0
0,58,2612,3,18,1824,1,0
1,56,690506,68,15,689499,2,0
0,32,245389,41,12,244757,1,0
0,3,86161,13,25,85631,0,1
0,55,547086,18,10,545914,10,1
0,53,1253659,45,16,1252076,3,1
0,18,705562,22,16,704282,3,0
0,23,272650,51,8,271751,21,1
1,25,117411,119,0,116032,2,0
0,59,449733,1,12,448939,1,0
0,12,626457,20,15,625132,3,0
0,15,368482,28,8,367493,21,1
0,41,502004,92,8,500910,21,1
0,8,549818,101,8,548385,14,1
1,4,531481,17,10,530381,2,1
1,47,669822,44,15,668569,2,1
0,51,307709,77,8,306750,21,0
1,30,267266,52,8,266289,2,1
0,19,976612,63,15,975470,4,0
0,41,496221,91,8,495283,21,1
0,13,29669,80,30,28731,20,0
1,55,20974,82,31,19538,2,1
0,23,617521,99,8,616619,21,1
0,40,1127958,108,15,1127086,18,1
0,53,1798125,76,16,1796725,3,0
1,6,463276,61,11,461756,2,0
0,51,431585,90,8,430644,21,0
1,62,2899,109,35,1952,2,0
0,40,1973004,48,15,1972075,21,1
0,52,514925,15,10,513729,6,1
0,24,400165,2,13,399113,10,0
0,29,1027129,102,13,1026155,21,1
0,9,288343,117,9,287549,21,1
0,1,514203,114,2,514066,1,0
0,49,747400,62,15,746270,3,1
1,56,1905561,49,15,1904098,2,1
0,9,212824,57,9,211883,21,1
0,8,444750,88,8,443839,21,1
0,39,263994,8,13,262717,10,0
1,42,283947,40,12,282400,2,0
0,61,437122,87,8,436220,20,0
0,36,1855873,26,16,1854422,21,1
0,7,518865,115,2,517981,11,0
0,41,544003,98,8,543026,21,1
1,42,347997,36,11,346477,2,0
0,46,28060,83,31,27086,20,1
1,56,714,42,20,1,2,1
1,50,924009,58,13,922486,2,0
1,43,14110,53,28,13145,2,1
0,48,21643,54,29,20600,21,0
0,56,1564652,0,14,1564452,1,1
0,1,622717,37,2,621833,12,0
0,9,496985,116,4,495984,8,1
0,10,16755,12,19,15559,4,1
0,11,17420,33,27,16842,4,0
0,1,284733,112,2,283762,22,0
0,2,218013,32,7,216889,10,0
0,61,489099,95,8,488107,21,1
1,6,427442,59,11,425919,2,0
0,57,1562,19,26,393,20,1
0,33,514924,64,2,514307,0,0
0,16,19265,78,30,18156,21,1
0,49,1080003,107,15,1078741,7,1
0,35,67859,14,1,66546,3,0
0,17,523271,16,10,522144,6,1
0,57,315559,118,9,315128,0,1
0,54,2003523,75,15,2002453,21,0
0,9,229688,55,9,228501,20,1
0,53,1862763,25,16,1861267,3,1
1,37,604409,97,8,603339,2,1
0,47,2058209,7,16,2056686,24,1
1,3,64367,66,10,62844,2,1
0,42,25674,104,34,24613,1,0
0,32,493306,85,12,491759,16,0
0,44,579257,43,9,578298,20,1
0,34,1698039,4,14,1696570,16,1
0,51,507159,93,8,506107,21,1
0,44,437723,35,9,436782,21,1
0,27,1593162,46,14,1591861,13,0
0,15,625575,100,8,624448,21,1
0,60,1556126,74,14,1554660,14,1
0,15,220328,30,8,219990,0,1
0,9,418436,34,9,417618,21,0
0,26,3154,84,32,2129,21,0
0,21,48657,10,23,47974,5,1
0,5,481887,94,8,480445,16,1
0,14,24337,79,30,23213,19,0
1,20,546194,72,0,544968,2,1
0,44,273888,86,9,272725,21,1
0,0,9331,11,24,7841,15,0
1,56,1706820,5,15,1705558,23,1
0,40,1056372,106,15,1055425,9,1
0,53,1505678,21,16,1504257,21,0
0,56,1263503,73,14,1262121,17,0
0,58,213667,38,12,212129,16,0
1,22,381686,70,17,380409,2,1
0,45,8433,110,35,7429,21,0
0,41,212508,31,8,211570,21,1
1,6,400752,60,11,399232,2,0
0,40,1977944,47,15,1976967,21,0
0,16,197165,9,5,196203,7,1
0,31,319749,111,15,318496,3,0
0,31,1679690,6,15,1678407,3,0
